Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,100013.1321671675,-1057379.4924520405,100024.96918514476,99940.97968712317,99962.03399970733,99959.47418661596,100002.87782153432,99970.4544809741,99945.26018813555,100062.77043749225,-1057407.95402871,99955.9904925521,99974.87024572973,99995.81891050992,100012.70080257778,99996.42470144649,99998.87178830284,-1057402.7987968365,-1057407.9150711044,100004.99001689239,99912.00733122534,100037.23487963667,100010.22195311177,99930.1928784951,99999.51816398895
200000.0,200020.16939102375,-957357.3967369449,200038.49657032135,199893.43201497817,199924.62305855402,199930.16045036522,200005.53500731222,199938.99895620992,199873.55550553842,200082.83917103088,-957408.4428810397,199922.557292351,199943.51600285954,199990.69405678456,200018.51205456266,199990.0278969255,199998.0401901898,-957400.2419222877,-957408.3960807397,200006.9285771216,199818.29935293697,200062.75377403572,200018.69561827654,199869.82673978346,199999.04178603133
300000.0,300019.602134663,-857348.6818144692,300037.93674727075,299856.4824124084,299891.7114507814,299908.21342959726,300006.1227073776,299909.8279943509,299798.5761379842,300062.3661906848,-857408.9191873721,299897.03192906635,299911.5514415042,299985.4631555478,300017.05309562245,299982.28024095687,299997.3070762636,-857400.5385841567,-857408.8660155637,300005.800164275,299731.49020451115,300070.2537463061,300021.261271252,299820.8084084804,299998.5655187845
400000.0,400012.0457601421,-757357.1351520212,400024.48885477835,399824.5484538869,399864.06161474186,399886.3712836522,400003.57482818764,399884.5596009925,399729.7291755319,400011.9239349548,-757409.4585147584,399872.96344883717,399882.57910621073,399980.65295542014,400009.54174674104,399974.5089502465,399996.3812464406,-757403.6208244022,-757409.3615351674,400002.21117909515,399656.5417735927,400058.24472619494,400015.77512443153,399778.8276667825,399998.090133034
500000.0,499999.9796039015,-657381.576176516,500002.70939078566,499790.20976089337,499839.7546682038,499856.94804987445,499997.96317756653,499862.1608391964,499670.16355558357,499947.21905120905,-657410.1469736822,499842.89029763057,499857.45176420663,499976.34841878834,499998.4195706259,499967.5197130955,499994.9762822782,-657408.6022725306,-657409.9339683314,499997.2147426923,499590.62858882686,500030.4570519255,500002.8047552791,499735.8147062287,499997.6188880213
600000.0,599986.9443567666,-557416.0619721587,599979.0645826372,599747.5942246473,599815.5214474719,599815.016720391,599990.4903571982,599839.7664114985,599616.9371529272,599884.6301023414,-557411.0534773101,599801.4865579153,599834.4762982851,599972.2180603271,599986.6742813508,599961.410701098,599992.9175629179,-557414.0780291101,-557410.6354834816,599992.0321120238,599525.5907633884,599994.8068936379,599985.4897870749,599683.648741917,599997.1513397157
700000.0,699976.4409755392,-457451.4438561482,699959.9565403636,699695.2067748993,699788.4572061871,699760.7998105716,699983.1240132275,699814.1263001475,699563.2196962778,699836.8158540371,-457412.20141532784,699748.1080518102,699810.4792109667,699967.6887447494,699977.046905669,699955.634441228,699990.2269384493,-457418.57992756885,-457411.50089683896,699987.7456095126,699452.1712020951,699961.2112858999,699968.6108320081,699617.9570894702,699996.6774917791
800000.0,799970.8612388427,-357477.8460495007,799949.8077566184,799637.3038808005,799757.5662213297,799700.510467324,799977.9839617814,799783.2264261598,799501.8143224083,799809.604129612,-357413.54793933796,799687.9330293095,799782.3933554644,799962.2172559545,799971.3400287568,799949.2882323777,799987.1584397773,-357421.0473573889,-357412.52983379347,799985.044182076,799364.6894943278,799938.8631211178,799957.1438355893,799540.8066264418,799996.1754958674
900000.0,899970.7704066755,-257487.37971851448,899949.7700367413,899583.3595240747,899724.6409936184,899645.335556853,899976.6681696579,899747.5678117517,899428.8767616458,899800.9973998459,-257414.97769747605,899631.2987467552,899748.8642324144,899955.5746800164,899970.0121678398,899941.5434415494,899984.1709996716,-257421.1688058951,-257413.67448691637,899984.0867170589,899264.6617042759,899933.7236230618,899954.7292016565,899461.4095188287,899995.6151376647
1000000.0,999974.7585853685,-157476.33856594187,999957.4414517522,999545.7400006299,999694.1855483223,999608.7887171934,999979.7226652051,999710.6831519154,999346.6404023977,999802.5248297822,-157416.31483961473,999591.3570407972,999711.360432027,999948.0523184123,999972.1607590662,999932.0789755577,999981.8408118654,-157419.48775470039,-157414.83764853407,999984.5143971533,999162.1794472905,999946.9273465893,999962.5121298016,999394.5429157377,999994.9670784441
1100000.0,1099979.9096032435,-57446.26268899621,1099967.6796897706,1099536.2386311346,1099672.3822859458,1099603.1343582445,1099986.4194405847,1099678.6888907661,1099264.2421328838,1099802.495145755,-57417.35226868775,1099580.6601081318,1099674.4125962413,1099940.517993955,1099975.8865361442,1099921.3791120884,1099980.7329995346,-57417.236604802754,-57415.88318098439,1099985.6021315972,1099074.5178896473,1099974.5401160533,1099978.705475662,1099357.0463699596,1099994.2158520105
1200000.0,1199982.752183489,42596.43007167534,1199974.2754154508,1199562.4677443777,1199665.390746926,1199635.8641020886,1199994.916368944,1199658.9514930616,1199196.29877707,1199790.1536603102,42582.10772545283,1199607.6078246755,1199644.85724476,1199934.2933060639,1199978.9255871298,1199910.7922494537,1199981.2643873102,42584.05591988881,42583.34220998096,1199986.5014571075,1199022.2502428594,1200008.730580021,1199999.0175541537,1199363.3234277635,1199993.3730402302
1300000.0,1299980.4112629122,142642.14448086117,1299971.98949431,1299625.1693349392,1299677.470741472,1299707.2191028579,1300002.7593024438,1299658.207586274,1299159.5403956433,1299759.4873222548,142582.21005747953,1299673.7533284577,1299630.2520716335,1299930.8731880598,1299979.3615116777,1299902.3141946439,1299983.592153669,142583.06825849184,142582.97948510115,1299986.502952699,1299023.8751447902,1300040.0152318494,1300017.8329608378,1299421.0840867234,1299992.4856645702
1400000.0,1399971.6137464636,242680.66336394672,1399958.3441239644,1399717.2692023087,1399709.485990689,1399809.4893057924,1400007.5843234204,1399680.6478460203,1399168.380947368,1399711.537585166,242583.01128779148,1399772.7549529972,1399636.87746057,1399931.556742752,1399976.211900381,1399898.1404710142,1399987.5581696487,242579.1493304059,242583.12674660498,1399985.2439163674,1399090.421461717,1400059.932705204,1400029.8109024423,1399528.5414819752,1399991.6363066083
1500000.0,1499957.2399100051,342703.8393655277,1499934.6230535135,1499825.0172769397,1499758.2462736326,1499928.3439786215,1500007.8153545437,1499726.503175074,1499230.6414314886,1499654.531358248,342584.4605270383,1499891.3255109026,1499667.8727179833,1499937.0864375487,1499969.722850915,1499900.101017493,1499992.704443989,342572.59826202993,342583.8145369592,1499982.8044000734,1499221.5598443837,1500063.3842918717,1500031.4370468326,1499673.9135731864,1499990.9328250792
