Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,99752.83596691195,99955.63039103766,99925.71366506616,99981.89346909092,99931.30591165386,99962.55373529097,99989.30134946202,99973.23089941162,99840.51492826115,99954.37420918646,99954.3356975394,99758.05476229754,99965.69603468545,99900.26093723036,99907.05326692897,99881.00731780325,99982.92679184875,99665.23362568408,99921.31435355662,99880.21329360481,99821.4396413862,99902.8065783503,99943.34993970256,99777.72409892165,99993.58447224252,99932.9170017946,99947.04980085682,99945.81141740728,99881.35896099688,99874.59477309852,99983.11584939978,99964.70835579267,99828.83765359982,99891.73568795033,99774.5206718324,99890.05020439149,99765.27071944521,99715.39550009629,99986.70869210613,99845.35912152998,99971.48167705235,99922.15903382875,99986.76811958502,100003.28566501512,99975.20138611978,99852.9508930949,99918.18652339934,99921.82329668546,99849.57484337031,99987.24097710015,99663.76639300078,99925.32821048355,99886.06115750324,99746.68198636125,99982.78011972162,99983.82627242834,99966.39527535658,99991.09753501168,99981.10529459761,99836.88047429557,99823.08039463364,99913.69435358285,99935.53854736823,99915.78559522294,99949.73553904661,99922.47406979265,99802.77048576709,99480.49243493294,100000.84498815845,99951.80959966703,99995.76956767327,99874.14759498839,99841.99453886387,99880.30884634927,99741.50278819757,99858.39377312895,99993.52537083856,99973.96887617111,99965.7317303718,99982.68750811247,99928.48176538004,99918.82040173693,99997.69418591751,99764.58884978249,99903.00426690484,99755.20848394599,99926.64285770059,99783.95882590496,99831.65351597042,99955.24012700384,100001.38565852602,99884.95432485122,99940.7641044645,99912.89428001472,99649.63219236334,99959.5170244575,100000.21255607961,99959.3346992713,99774.7978114853,99990.95011839851
200000.0,199511.01070884542,199907.69189952352,199867.75665955132,199957.09047612894,199883.27118480584,199927.78901617616,199980.75660385756,199897.35681040015,199735.73576055176,199916.97205041454,199913.84198281376,199467.81050938438,199929.20837672282,199797.62166854538,199797.36976042305,199738.585325582,199970.5087278948,199333.0577789942,199810.55410664252,199789.8724760309,199556.24133794475,199814.77032333298,199865.650774001,199577.3019767703,199978.42269458453,199862.46214570466,199909.85692759935,199889.9686920299,199720.53150021395,199767.18274411513,199954.791384128,199931.14929037142,199696.58282815988,199763.52145299726,199523.1488898637,199779.40692835668,199500.33616646923,199339.17249797197,199976.51349393185,199657.63027897204,199947.7951195683,199820.68585892924,199980.81910317947,200004.95018229957,199955.752585781,199672.6360683688,199832.8989899684,199856.2949447524,199690.70663637924,199973.78875486305,199388.55368512162,199840.00045782284,199774.4630129639,199493.38163234727,199959.32449097163,199964.9410114527,199932.46241476588,199983.63208290146,199943.1223186946,199707.17847296773,199614.932549144,199851.30033340745,199873.50019259,199832.3592966448,199892.21935025978,199843.33996637067,199635.69960394633,199082.49558035776,199996.65471230098,199891.00495832108,199989.60579313105,199748.32528142043,199665.9767863133,199830.19575546862,199404.4003297203,199734.6355422742,199985.08397163413,199946.39236402078,199920.16464322698,199941.0300523387,199856.77198750837,199838.8390609688,199995.31394977,199504.69499377755,199811.92684341472,199510.8275536498,199826.85134274518,199542.5187105269,199713.88598306477,199925.9840197803,200001.29929473173,199770.7723499754,199884.26280172597,199816.22292286402,199388.17307390386,199902.48287586274,199999.4060761525,199926.8093456277,199593.48128797713,199975.57724110654
300000.0,299279.50473116036,299854.2326575486,299838.6629916277,299923.9250123351,299861.6540392872,299897.568820062,299972.6181906113,299794.73318028497,299692.4614738069,299882.0070520875,299882.16589371266,299157.8296756366,299889.6821088653,299707.2120046076,299685.9065946099,299569.98739152245,299963.02183538943,299080.8961186452,299685.3487521637,299738.93086180533,299272.7904157414,299732.3568237421,299785.7903701161,299375.0500254215,299958.5914754072,299777.9982376433,299881.6645356904,299829.0322215647,299557.0794983916,299666.2731610684,299922.328490602,299902.21470988914,299578.7154745836,299617.76283479534,299236.7538915808,299688.71838975034,299180.47314650496,298905.87154314003,299971.3495358074,299412.86027056584,299935.8317234234,299721.09156889835,299981.256007416,299999.26042948867,299938.38691081887,299508.6857064296,299767.33866100607,299804.1599348806,299497.8135501009,299960.8207793859,299160.34070987074,299740.7636659076,299694.2856685599,299193.4146461612,299927.4115076487,299947.90258560464,299907.42052496294,299979.2407483564,299888.71453284426,299621.55842938885,299434.8885860231,299829.09716200974,299810.74878401164,299762.9210243535,299841.5157239459,299783.22427015245,299498.5016039677,298791.3939441179,299988.23946475977,299824.1268285759,299983.01420203643,299658.23373683577,299516.2236462896,299863.164285362,299048.6776533831,299633.6174748118,299976.1223574846,299914.5986917229,299873.93894511164,299867.70755237126,299804.1704268484,299781.81130084797,299993.0923540167,299202.94769061956,299728.85030878097,299218.37492730294,299705.9545453303,299339.0721028287,299637.5077003892,299921.6362955864,299999.7156037268,299642.73166208016,299825.63320096734,299713.88670208916,299209.26667796314,299840.7791189415,299997.5979444476,299904.58289077005,299491.3179438396,299954.4266946479
400000.0,399051.8711281071,399796.90499064676,399840.4882064397,399884.3792148854,399863.22026446415,399872.12454942573,399963.4932138226,399693.9994991658,399694.16924838413,399843.67197050015,399858.67978784017,398881.58148537384,399847.7088362172,399634.6584914122,399595.21687864256,399385.6935811936,399958.8160702492,398948.7689475041,399573.6163345785,399721.81635777187,399049.67357615056,399647.88843736536,399725.4975086881,399147.1457966937,399939.1770486964,399679.0582045333,399850.3866338153,399765.39512902073,399435.08920346736,399558.81276179367,399894.1603969079,399878.38075146714,399446.9366981768,399469.2524363542,398926.7949581571,399626.70135380543,398807.2527166514,398485.791063936,399971.49757924746,399114.4093215134,399941.4387400021,399652.19731196953,399986.0771101651,399982.7994477864,399919.21531520726,399400.15580701566,399737.5550739631,399759.65655880456,399263.27739078435,399948.5094738805,398939.5221584873,399634.79020742496,399667.5509046885,398817.31677269214,399888.16797196405,399937.1776584337,399896.9909425163,399979.57722948096,399826.86243625317,399571.89222670277,399336.50403948786,399852.23545995035,399747.03161960584,399724.647617272,399812.51804216957,399762.672158796,399376.26674060273,398551.75247291796,399976.89985169604,399763.41844835266,399977.126082724,399627.77960875107,399439.6012198418,399969.93170373264,398760.32803422294,399547.2673662727,399967.6682527001,399875.848092803,399838.03633696015,399764.44928077806,399787.8363106617,399762.7787459219,399991.1732647569,398863.71803657047,399647.68652893265,398849.7915864936,399580.6013572169,399234.190940323,399578.8364584657,399944.7868563308,399996.92661407223,399495.36533979786,399762.62828666746,399617.1631368886,399076.1038572558,399790.16067191435,399995.0114323024,399890.1599159838,399472.6846827726,399929.7440750655
500000.0,498819.4779425799,499741.7189031437,499864.2371536891,499844.0508633468,499877.20019479294,499850.70390454325,499952.8878155553,499621.3832921842,499706.8350788626,499798.7942996142,499839.55254690663,498706.46041840536,499806.2960308943,499576.7339990254,499550.56609624746,499210.12893593597,499955.02593173,498930.24555257603,499506.210133171,499720.2039539769,498953.50596515485,499554.41471845354,499703.40874430723,498882.66244256316,499924.9294135886,499575.9298115079,499803.11699468165,499707.04953146935,499391.5057549814,499437.0003427366,499877.6296474143,499858.3890993813,499281.09338150854,499343.5450851218,498628.51874500583,499589.3574755895,498414.98325103737,498171.74509212194,499975.5744060542,498795.785009354,499967.2301454321,499636.9942492201,499992.7338825831,499955.50104875356,499895.4025176536,499365.54807471717,499748.1348724889,499713.82995305856,499003.27007491194,499936.33466821583,498679.8157446836,499538.5092486826,499703.61108829296,498369.2247547662,499846.35137195856,499936.02268356894,499901.71826935967,499985.7521005859,499770.7760313752,499535.90506548586,499351.9800647251,499913.1418603938,499686.45021086314,499733.4827370601,499816.8519511979,499795.5432992911,499248.15277675533,498292.93822684383,499963.8294403462,499724.0121051739,499972.4768455474,499661.95937872445,499471.1684729617,500119.76578278356,498627.4640258614,499459.8835884393,499960.2597548462,499829.00125840586,499821.2013102171,499642.9632593091,499818.0496989898,499786.0274711566,499989.60972625396,498518.7959568419,499558.27742360963,498412.6444355037,499475.80099861743,499269.25366450415,499509.32023442077,499989.84081699327,499993.4610468745,499336.7091733498,499697.66809912137,499543.56875241117,498938.0355063822,499765.889123696,499992.033046435,499877.7187590728,499510.52379540063,499905.23396672274
600000.0,598581.4049710621,599698.2953411848,599892.6933574247,599810.9980047665,599888.9046939007,599832.2781590751,599941.4148425715,599593.1662911868,599690.297238494,599748.5277886897,599819.7458844001,598696.9650922179,599771.057359072,599524.750162602,599573.5652216189,599077.9201437797,599948.642965938,598977.7117478456,599508.2489362924,599709.7024105828,599019.8730986058,599450.4005376467,599729.8411667076,598592.5505006263,599919.0634986346,599486.5458341339,599731.2059173675,599665.2443621058,599446.1180946982,599303.1837541682,599877.0981105684,599840.3257997392,599078.2795368759,599271.5270007479,598396.2638780818,599563.1905355484,598066.8591174921,598057.9217963637,599980.9957353233,598514.0006928146,600011.1136277076,599685.0106757934,599998.7349542805,599920.7752222449,599866.4804816471,599399.0774824687,599791.245610214,599658.8053345289,598755.9086363598,599923.653796306,598349.7697302884,599473.1384122359,599796.7330548263,597893.2513846532,599809.5427181529,599945.650457858,599916.8931650792,599997.8282810326,599734.5458869002,599486.1641424214,599482.4390454249,599993.4264189653,599637.2058693904,599798.4126078914,599859.4326658009,599883.8386051126,599097.7899353921,597958.5922621874,599949.7687571726,599719.9216359447,599968.9926932623,599745.3242504424,599622.2251469027,600267.9069662422,598714.0320528393,599356.0003868473,599954.0090166685,599775.967561958,599827.9283371434,599523.261721293,599895.041386935,599844.028200419,599988.3799164192,598224.2415009433,599452.2450077723,597954.41246122,599419.1597808594,599454.4651098782,599406.3324573103,600044.0204094498,599989.9548718196,599187.9733415373,599638.1897008757,599513.2877420865,598750.7761294642,599778.3242439748,599989.1350373471,599860.4926127943,599555.639970587,599885.4356827652
700000.0,698351.3702116307,699677.7404238522,699905.8800501509,699793.7533715153,699884.4576289097,699816.0810198924,699930.6176580058,699611.424315331,699611.8686549232,699698.5666927279,699795.2794825837,698896.3269584525,699749.4484281135,699469.4454279568,699675.9794193471,699026.3967148911,699937.6293173791,699020.4218509357,699591.5516907807,699668.4659098093,699242.6769397387,699342.637035834,699803.7254647154,698311.5735414759,699922.5197692012,699430.7424546353,699634.3681371773,699650.7981624696,699595.9074605387,699171.2633815631,699892.8888843257,699822.7182480114,698856.3678310007,699281.5134330473,698291.6834180063,699531.2939787444,697841.497422563,698215.8022099584,699984.778820939,698335.2727471077,700066.0734458506,699788.5280018086,700002.156313346,699884.7045781618,699834.897643303,699474.1007418525,699849.2934394812,699591.6497368918,698572.2195618527,699910.3169400804,697949.973414232,699458.2570261732,699927.5510432071,697467.6828810616,699786.4298387704,699964.901215977,699934.1063224277,700014.5458302643,699729.4341149362,699400.6392404624,699696.9676137015,700068.8445183878,699609.6435395444,699917.0629252315,699936.6634853248,700015.6277492301,698922.0252836877,697530.7089379588,699935.0118990769,699759.9420718448,699966.1692688352,699846.5787807206,699874.5063012504,700367.2809546583,699038.4958403843,699228.214485824,699948.7545083462,699722.4071418634,699857.5091391049,699429.6978783092,700008.3203999961,699919.6661108041,699987.4136748315,698048.8091025088,699328.6214564055,697554.43820987,699433.7748867532,699764.700019598,699261.9019828843,700090.5811530668,699987.0063689431,699078.6660550388,699595.1343404626,699544.0073682488,698493.9705586166,699829.7270956298,699986.7807915173,699833.4682768964,699553.2374271703,699874.8395242357
800000.0,798159.0265163431,799689.6857193653,799887.5718272027,799799.0409703292,799855.2787099967,799801.839388721,799922.478423973,799664.1626891384,799458.1495427641,799657.8170816315,799765.0450448634,799311.6194736757,799749.1644124269,799405.7062285214,799855.4346994098,799086.1365269811,799921.739811986,798989.7726775348,799750.3531496817,799585.1430477508,799575.0769144071,799246.3183912949,799912.5756205246,798092.3073887925,799933.8612647058,799423.6963328539,799522.526863069,799670.2415918654,799815.3674069121,799064.0974797483,799921.3243206881,799805.2948480007,798650.9179185723,799390.9820456068,798367.7300492522,799480.3244281237,797813.1582440136,798673.1673887532,799984.4559141932,798316.914672258,800121.4006763756,799923.9013368933,800001.953392286,799854.5374150481,799805.629202998,799552.5584881324,799900.4081447625,799516.5848366616,798502.4024433441,799897.0995576503,797520.4187344162,799505.3490739303,800068.0291639005,797188.2048489565,799784.6205948443,799990.5047984606,799943.9749263542,800033.3939821854,799760.804391472,799271.5804448792,799940.9313048576,800115.9798454908,799613.160634492,800074.172147759,800036.8360821755,800166.9109711089,798735.1764713713,797040.973670051,799919.7239043973,799844.6270669732,799963.369187415,799928.0486867144,800182.6485405465,800381.3628227559,799563.9837778584,799082.4108829465,799944.2382589998,799677.3456655112,799904.3566401383,799385.6236252321,800138.7757980261,799991.1391447117,799986.6214121841,798056.7052940181,799197.3063212013,797305.5302030126,799531.6677046813,800144.6578579785,799086.8052355762,800113.4186660565,799985.0508166406,799038.5307446265,799579.9843506857,799645.539361133,798180.8205573205,799913.2052990608,799985.3344088105,799795.5690218497,799461.7389042871,799876.9384695316
900000.0,898044.7588455499,899739.3162452414,899830.9256296214,899829.8209472011,899801.0258901366,899789.6786215235,899918.7709323139,899729.6614454777,899241.4992498214,899635.9173898959,899731.6013963654,899906.907487625,899776.0879210914,899335.5612654065,900094.3419635905,899272.0121468497,899902.8045633847,898843.8152044057,899961.6277216044,899463.7634977505,899942.0191740333,899182.0847949075,900035.5335325866,897992.5959134613,899949.8035337557,899470.5624962379,899414.721565141,899723.0240623167,900062.7937155853,899007.5997619706,899955.818564149,899789.1814059957,898506.3240039555,899600.279486947,898652.6005686059,899406.1313298658,898030.7140742623,899402.061777822,899978.8386989748,898490.3293344158,900165.1344019063,900057.7335311226,899998.0289520744,899836.8819897476,899784.9490149359,899597.4904857281,899925.1332904662,899444.8183624737,898581.1768608342,899885.7836615032,897135.4684535243,899613.2842405356,900188.601607561,897144.2119565434,899808.5669847031,900017.8635134726,899939.2249602258,900051.0519407486,899826.5200787969,899109.9809512064,900151.2994049448,900118.7969323446,899652.9231696292,900243.7185851377,900142.6924794387,900307.1086255172,898567.3640099586,896566.1536823799,899904.4032302897,899965.2581939566,899960.132895937,899957.2392369986,900484.6859751862,900294.6346502221,900203.6530518171,898938.6234814151,899940.2475727132,899651.6591121573,899959.4888269767,899407.9461586301,900263.0683898017,900038.1322004591,899985.9183365313,898289.1104876178,899079.0232870351,897289.8722675727,899709.5763150508,900522.2276277639,898908.8583680515,900101.7952192517,899984.2828211071,899088.5913093972,899601.2142020377,899815.7820572435,897857.0177580912,900014.1392259626,899984.9941792194,899750.6373827253,899268.1158769053,899893.4348016555
