Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,99712.39344063401,99912.20090696993,99930.17088808898,99852.80224774232,99952.39935975285,99940.71163743893,99991.05761754997,99996.0106946146,99928.62176780676,99937.36911346907,99954.2042904866,99950.67515325618,99876.51168065223,99866.48502575987,99998.315265608,99990.9018501737,99830.21410450598,99946.42964236802,99645.64040306456,99881.99271343587,99997.16002690876,99921.13328400024,99915.27262305497,99943.64833034821,99930.6154604199,99940.8124414773,99890.65830739074,99990.21544007777,99934.02880276101,99954.38782239846,99800.23921471533,99886.26835637144,99871.71876694428,99985.71035068536,99989.35667367328,99846.21755963513,99830.58571001815,99993.95282165759,99984.85456991762,99750.93616124756,99980.28862336361,99898.57250317105,99951.96115207538,99974.82322614195,99772.93078897355,99960.68581207999,99960.09375104071,99997.5869695231,99932.2704894056,99894.07943630184,99620.99860630058,99661.71401480817,99782.54571915895,99743.17503219789,99976.76564480909,99753.14986087003,99905.265149959,99872.33348958014,99743.18602510373,99975.00232879013,99799.43747714366,99719.30276109677,99986.22380257717,99935.89377615934,99932.18189469451,99995.7129416767,99919.87641665852,99958.92840918846,99858.0666751251,99786.80122238299,99911.3443990078,99925.61874590798,99784.30824541966,99898.83314429894,99889.78817674135,99893.75407642171,99963.10550860272,99899.31198837158,99888.48881979668,99833.44214162612,99989.1302595751,99869.52855041492,99966.16872251211,99939.04876127078,99681.63633501502,99815.88339483447,99996.95065551608,99998.68525231519,99987.85754794095,99956.55537709044,99978.66032849839,99768.14594163165,99908.09122638858,99936.32213786322,99883.98103461831,99920.25018191997,99901.70112593433,99968.46925177492,99787.71318691653,99960.51574626639
200000.0,199377.50632846475,199831.47572335473,199884.4052695019,199755.93894034377,199908.7832373271,199869.703549097,199982.3318858198,199991.48527495662,199880.62189410438,199871.81118885375,199905.3478208171,199917.56942537552,199743.39859461316,199740.46000964378,199996.3801124877,199984.7570059986,199630.46510099794,199891.2572901082,199227.79957810172,199744.79315127005,199993.81959638456,199826.10757325537,199830.57312899263,199878.2069713462,199868.93977438894,199872.36971709103,199760.04823141728,199979.35590402983,199856.17564844506,199906.46161933217,199622.87908780045,199812.0025070693,199786.91302827228,199971.0575960619,199977.49242090917,199743.74489333964,199626.34077760228,199989.6014125482,199968.3263664237,199462.82181816833,199957.84606406404,199828.40887378977,199894.25021854287,199951.03174711336,199531.15977687307,199921.7742202077,199915.4820617087,199995.37576060605,199887.7793544995,199779.43921765342,199178.02840887316,199265.3434564293,199627.91057528727,199440.49945814264,199960.04578638248,199495.09214926147,199821.97460012574,199732.17133210076,199572.1124445,199958.60735759835,199642.35137160763,199432.62189576324,199973.49602745072,199862.01252931962,199887.6520580638,199991.61598829526,199853.89672384743,199911.88595726382,199759.3570297321,199544.84532591747,199852.43358504405,199848.30700226626,199617.75391663803,199827.0112444582,199760.51256271495,199766.3564950908,199918.7310440834,199811.47188194984,199802.88961818666,199641.98327075536,199979.15659192842,199768.3501209715,199943.6704818224,199896.8687421069,199370.01334401025,199678.89750032648,199994.4734342806,199997.66436329077,199979.5255293559,199912.6624101648,199964.2952043895,199614.22633367433,199847.87084097863,199862.96712369012,199746.2057733218,199867.90260419887,199799.1763791325,199947.07676448947,199541.52694334308,199932.97400778858
300000.0,299053.8805405139,299744.5142558012,299866.35180177685,299719.16253110406,299861.98416517075,299789.82473109185,299972.58722271986,299986.2953476048,299863.60316518263,299820.14520420163,299848.77142577985,299905.7385839642,299632.7029544961,299602.2372908396,299994.2333550349,299982.308680591,299432.8069057754,299849.0340228185,298747.9452617565,299586.21160932176,299990.05559955846,299723.65081962326,299734.53933235904,299815.2190071368,299804.33513078507,299807.2117330543,299624.7184556078,299969.72564591747,299767.1379729534,299851.1671322788,299521.05685876147,299781.0750707739,299755.3783500845,299959.87445467093,299966.9159716725,299706.821285644,299403.6165894717,299986.4245544469,299954.20395378,299188.1339099835,299931.7223537302,299781.648814281,299833.2088628752,299924.9193199695,299334.6720859332,299894.083060792,299863.5612091408,299993.93798809074,299870.36602496885,299683.4247463693,298746.1389597418,298808.7042065735,299571.78061842127,299092.80430132564,299953.7079464775,299197.6077819911,299735.66225068434,299568.7835969571,299510.7566135675,299951.5215318103,299501.1496097414,299216.7445031164,299959.76163006644,299776.3943926451,299865.89148197114,299988.81304941815,299790.24783402146,299857.31026998645,299724.3809137549,299323.064145362,299820.3837877887,299759.3756710624,299546.9698992624,299774.80380849715,299611.8550238324,299632.34718428523,299871.4330289541,299721.09997006576,299728.5702847917,299462.0180871568,299972.95246293937,299724.8646571877,299931.5433072068,299881.8352239215,299153.2188830504,299624.907681893,299993.19733631425,299997.09404424427,299974.2679013387,299880.22365694924,299955.98644124833,299530.65713756287,299823.9241532269,299777.9523705928,299606.4608838887,299847.73606464936,299718.92302152584,299939.34419836773,299256.16250011534,299923.0208177031
400000.0,398818.11868289264,399641.0023600019,399869.44331672677,399730.4279777423,399806.4113880611,399710.9341955564,399961.09153164027,399980.74185922794,399874.3412821225,399798.49546143407,399784.11237712216,399912.7696805669,399577.33252426074,399438.2155860889,399992.0777693999,399982.98392685817,399281.56752415956,399833.23526710796,398249.9440501025,399418.072926652,399986.2523276283,399630.83623587334,399621.6207179897,399769.6763303102,399727.52756666136,399761.22020150925,399511.1679845604,399963.9021491482,399675.5323155795,399787.47812594764,399530.5544354664,399781.1295349114,399767.7640384231,399955.6736015188,399960.44613805326,399726.5095300739,399197.3388867544,399983.416542309,399946.49313407834,398993.69896581495,399903.2042647231,399740.80636548373,399779.91434667027,399893.90897116397,399243.32736510364,399886.8341826618,399806.0897540462,399993.6746092861,399873.9609931774,399634.3429521926,398425.5163180921,398329.918768325,399617.8531604549,398731.7214500899,399958.2678680873,398853.70620674937,399633.3342589086,399384.64640078816,399544.2946666636,399950.94055644673,399341.1246617573,399141.83970057085,399943.441463708,399684.58798250504,399857.53601561155,399988.17495775473,399716.08417106094,399798.3909085284,399752.35124298476,399179.403837518,399801.6979461533,399656.40219299245,399590.4407894652,399724.2031366991,399456.7035202119,399516.5588308984,399829.50625289837,399614.0514949708,399645.96833989513,399338.5656877057,399972.5884945793,399750.580876072,399924.7453716518,399893.1889820164,399105.0374264787,399664.2125759095,399993.4062116497,399996.98417482484,399970.0892056444,399869.84103747597,399950.4055094988,399481.96786947607,399827.4803846756,399686.7489409931,399494.0775174764,399852.7539434448,399686.19629825366,399944.06184423226,398951.4099294765,399930.4264019413
500000.0,498744.4256359319,499519.15558067244,499879.6261352839,499760.9613614573,499741.0396754534,499648.03310304624,499948.08013144357,499975.5477905009,499900.2809472916,499817.5720157992,499716.61246322765,499929.883651396,499601.54761986615,499248.6492359466,499990.2446003429,499985.1465914314,499221.6479460079,499852.2939565922,497814.4426650321,499265.2769212643,499983.0368119211,499569.1024348652,499496.08556491276,499755.9368358398,499635.30082148925,499749.2763165446,499449.167242872,499963.9998855607,499596.6516269444,499719.9161855341,499658.9863869705,499788.6550182337,499799.5695492557,499960.6131031182,499960.4145097803,499774.63403603615,499053.18990868196,499979.51048609836,499948.2669466337,498942.60861077404,499875.8974525037,499686.05025073,499747.4769115158,499858.0267577554,499299.54778062756,499904.91012737143,499749.63472293597,499994.6937375351,499885.12907365186,499653.309154412,498315.0613847507,497903.31103143794,499737.5144784706,498415.64843004715,499970.83164763625,498486.2787993749,499509.949942168,499197.96643300256,499625.5516932122,499951.7009979704,499135.90475944843,499250.80177676637,499924.2855633142,499599.44038178993,499848.1979314937,499990.075965015,499623.48578011675,499743.0559783819,499822.12793295796,499164.7504867122,499777.79732838867,499545.9547261128,499733.1646168755,499656.50693448895,499319.62532268895,499448.0063631835,499802.9911459094,499484.3960131134,499539.194944387,499312.9386871061,499978.7122306588,499836.8296419562,499916.22284770623,499921.6130263365,499262.97703364404,499778.8582291851,499994.9554658422,499997.2002546837,499964.5580451148,499887.66409815394,499943.18318744696,499419.29434474144,499840.0606894005,499602.0849262381,499440.35222991294,499867.1083329234,499717.59334232064,499955.88138343254,498671.00156043365,499949.3700023623
600000.0,598883.0083414539,599388.5270914631,599880.3596052265,599775.4008062667,599670.9335357213,599617.5317944842,599934.9085904158,599971.7059421918,599923.8281620038,599879.2549421074,599656.5771936831,599944.9453205821,599713.3411178245,599050.9639031285,599989.111777589,599986.6673776599,599285.5994982696,599906.8833823446,597540.7745157814,599160.3868838599,599981.1277968804,599558.5050558522,599372.8521929778,599783.4967370505,599533.2629332958,599780.8682107923,599463.4399722096,599971.0207596417,599548.8803329336,599658.2481683965,599882.6848710087,599777.4663686248,599819.7179028231,599974.8024393241,599967.9570335571,599813.5197085111,599015.6154604723,599974.0193380909,599960.7162156764,599075.6557355861,599855.0247792029,599603.2079247069,599747.4428793872,599820.5414246108,599514.8641286686,599947.2386375992,599704.4032329982,599996.7696947834,599887.8359324404,599747.6544078072,598483.8486471007,597623.0797873859,599879.0931251108,598216.556849897,599986.0379019851,598147.058644786,599372.3638061937,599040.0144941058,599691.2874592263,599948.1491767924,598880.2729410116,599545.119750431,599903.8026453431,599538.3941180704,599823.8290704259,599994.2640818364,599513.8533745273,599702.344768043,599899.2191752745,599307.6231822163,599732.1132052516,599443.3759673053,599930.982233954,599560.1228979059,599231.3009874425,599451.8891014487,599800.9401237048,599338.7765744018,599403.4773218405,599410.4900250318,599990.3174903971,599957.2915636726,599899.5911420006,599952.3458486333,599615.4025967343,599928.1950457086,599997.3125419898,599997.508031289,599955.7665494604,599933.3727417745,599930.5962071681,599299.052992947,599840.0663928158,599541.272549659,599469.6747717626,599871.7055867286,599815.7187843467,599967.1400760028,598473.4088243651,599970.3772512054
700000.0,699243.3228203709,699269.1301569295,699858.3722374298,699743.9382769527,699606.7837125473,699632.6703497951,699923.8341665741,699970.2215817879,699928.1555379257,699975.4931884409,699617.0740116285,699946.4799245612,699900.954106671,698877.4575923608,699988.9983811814,699985.6396222118,699483.0997808307,699989.256557655,697520.9549563796,699135.154373357,699981.1393220956,699611.7963889396,699274.769036734,699853.8327794666,699435.7635486384,699856.909750086,699566.0344895,699984.4811557231,699548.7290674062,699615.3789932587,700152.4102247325,699728.0054730334,699801.11852817,699996.1539470071,699982.6004212851,699808.6064636532,699114.9080517167,699966.957931704,699982.6779433336,699397.4986846427,699846.1172604332,699490.005653822,699786.3149906411,699787.5395071366,699864.3121135148,700006.7885281477,699681.7433842325,699999.3957941018,699868.996179029,699907.8272001407,698948.2359647879,697578.8713347914,699984.0467327574,698201.0336507967,699997.72183761,697905.8819739819,699239.4292146927,698947.8565950576,699683.4232423347,699936.160677235,698596.2926683979,699981.6190669864,699885.1161253976,699518.993905724,699775.9841422511,699999.9042549426,699399.3283055549,699687.5856581805,699946.7862613227,699604.0046162514,699656.5550453315,699369.5764660294,700123.4956133652,699436.158695807,699220.3870306647,699541.9359873359,699828.7116039507,699196.7188803884,699249.0884796792,699631.9224585737,700004.972980251,700075.6702633462,699871.6083902001,699969.9080814217,700101.9211114588,700061.1501239171,699999.7095949334,699997.6468998133,699943.130372308,699999.8972934149,699911.053500441,699099.9746216058,699810.3094542735,699521.751522058,699591.854066857,699850.7981831325,699967.5206362315,699970.3710371972,698416.9028927978,699983.3354451046
800000.0,799787.2519180787,799187.0022338043,799808.4320207391,799652.7641927326,799562.5209618035,799699.3842739682,799917.4759057488,799971.8220775209,799902.7817404624,800089.8929355999,799610.4796596699,799927.4953890853,800134.6801236466,798767.8712442335,799990.0656164256,799981.0272856705,799795.9510483574,800084.8790868236,797812.5104305021,799211.29522962,799983.394467213,799730.0292376548,799227.0092822994,799959.2585432105,799362.8828519414,799968.7238055089,799751.6031138074,800002.4295991063,799605.8755472095,799603.9920225062,800406.4527365915,799634.6253697411,799730.0152488063,800020.8316894675,800002.2688378014,799740.1125969819,799356.9998098477,799959.1445570424,800010.7872378741,799871.7859159802,799853.4580252117,799358.596090677,799863.1971884832,799766.5205716251,800290.6821514069,800072.2077550419,799690.9965929152,800001.9166368853,799823.126548686,800108.7979767796,799661.5542862766,797829.5941840402,800005.2362068435,798410.5924776685,800000.812895038,797832.9609956549,799138.1021527189,798954.4011907681,799568.6865569237,799914.6991525807,798330.7337606375,800481.5929395842,799872.2667625567,799553.8412694441,799705.3724592957,800005.7842897677,799300.7124386104,799707.1591474793,799937.3586961433,800015.4966461236,799555.3624660723,799345.6657880662,800251.841753307,799300.0342258888,799305.0461475388,799715.3063655128,799886.0737809861,799086.6624903921,799100.4752063886,799950.8164744859,800019.4492085662,800156.2980024422,799833.6823021105,799963.0391087447,800627.5925426385,800131.6106353702,800001.3645099982,799997.4105726735,799927.7805215083,800074.992731255,799885.9242444079,798833.20850534,799744.2003455217,799556.0765563515,799797.891551185,799797.5681831505,800146.8867773088,799960.7527590954,798542.8500958012,799980.6948332774
900000.0,900434.8830093774,899167.3753683025,899735.6853664935,899509.6504557113,899551.6399886856,899813.8245718614,899918.1001996401,899976.7173721372,899847.2539966315,900201.6060371106,899644.838539572,899887.9671844634,900373.622187494,898758.7880881691,899992.25353161,899973.0517337705,900180.3330455297,900175.9386156322,898417.6598326494,899393.1305563833,899987.8034956678,899901.0132349721,899250.0940368611,900084.1922648759,899335.2711739109,900099.5546629943,899997.0809950745,900021.859532977,899719.643917607,899632.8690502009,900587.3900630843,899508.6388674189,899611.2940996625,900044.1804168854,900023.7189840196,899610.2215478084,899719.0426091994,899952.0455819799,900040.2234837692,900427.2156083218,899878.7222823662,899233.5382607303,899969.2824612365,899764.3892794345,900717.8289710322,900130.663894059,899736.5918047605,900003.7029580118,899754.6978672483,900315.71078339,900520.4473291636,898382.6846242202,899921.7561019433,898846.7749402846,899992.9096622246,897978.8299995417,899096.5491398675,899078.4957239584,899350.6768143016,899886.438631943,898144.3366771721,900950.1771062028,899869.1471150267,899646.4337380095,899622.5994805543,900010.6269496133,899242.3893820987,899763.769578216,899861.7421903565,900476.7856998252,899445.1373092809,899386.8954647542,900276.0116250671,899178.5392399252,899486.5640819853,899951.6303551773,899966.6923258195,899038.731350312,898990.7105842382,900318.3943748835,900030.5688488912,900174.5517888918,899791.9376642897,899928.3777452353,901087.2857769914,900112.3167074983,900001.7067166469,899996.7115865275,899912.4181008211,900144.2530594878,899859.4439953405,898542.399536121,899648.718457082,899647.7762263261,900060.5742931993,899717.0128858717,900320.8747178869,899937.7694514613,898861.8772420493,899959.9094593537
