Ip,0,1,2
0.0,-0.0,-4.5810458374988925e-09,0.0
200000.0,172063.6525644568,185526.5955761499,185406.53497490572
400000.0,362401.6043870769,369076.16097802005,368600.4248775431
600000.0,573885.8073909574,551432.4914681193,551679.9463724702
800000.0,732470.2456549974,738237.4850381615,741176.9459312021
1000000.0,923119.4247643047,936727.3477995552,943703.3777548207
1200000.0,1144949.641288145,1148601.599125707,1158213.2008817159
1400000.0,1329019.5578338197,1364190.8479060873,1372623.2461424004
1600000.0,1515083.1759205533,1569974.9984879901,1574953.1761903744
1800000.0,1659541.9673102612,1761987.2733096865,1764306.9316890826
2000000.0,1850970.9994498314,1945696.7234170437,1947343.2119593713
2200000.0,2047599.7429361504,2128213.3942284454,2130556.3399440623
2400000.0,2255309.7350838985,2312921.8379780534,2315975.4853742137
2600000.0,2583944.020631062,2498417.8428352633,2501353.039778328
2800000.0,2794134.5988848833,2681963.926220152,2684500.0792585346
3000000.0,2923492.6802258575,2864315.61633324,2867563.6827649917
3200000.0,3096618.2406167295,3051082.7805874427,3057117.1748373504
3400000.0,3271946.2755245995,3249508.7047994183,3259775.708306091
3600000.0,3492848.087960693,3461359.9914791333,3474429.200919599
3800000.0,3671071.822049553,3677027.803363799,3688907.7875553016
4000000.0,3856235.9571622643,3882941.08667914,3891231.2265553772
