Ip,0,1,2
0.0,-0.0,-0.0,-0.0
100000.0,96194.19506492505,97280.77970173467,98667.2669249545
200000.0,192553.29842404297,194545.42640181858,197457.17879572278
300000.0,289057.7472259538,291780.53600212943,296363.9959881147
400000.0,385675.57780420093,388976.43011610425,395374.5054252783
500000.0,482365.45187429496,486128.7202346587,494468.98351597704
600000.0,579080.1882944811,583239.6013044138,593622.4962739131
700000.0,675770.6176596744,680318.812797446,692806.4747973232
800000.0,772389.5479978132,777384.2235897407,791990.4858194406
900000.0,868895.6194570101,874462.0152437178,891144.1031491713
1000000.0,965256.8362115237,971586.4553455705,990238.7785298516
1100000.0,1061453.5928403693,1068799.2670854374,1089249.610435071
1200000.0,1157481.055430244,1166148.6131209787,1188156.916830109
1300000.0,1253350.807400615,1263687.7208991535,1286947.5317110047
1400000.0,1349091.719479599,1361473.1841828648,1385615.7639550972
1500000.0,1444750.0455607136,1459562.9823090585,1484163.9781244434
1600000.0,1540388.7773504064,1558014.2663735538,1582602.7785493378
1700000.0,1636086.3086231072,1656880.970933073,1680950.7980193507
1800000.0,1731934.46557944,1756211.3220887664,1779234.1097449118
1900000.0,1828035.9557262668,1856045.3277913134,1877485.2949241742
2000000.0,1924501.2783481127,1956412.353341272,1975742.2084813034
2100000.0,2021445.1301280998,2057328.9024489562,2074046.4927921193
2200000.0,2118982.335239154,2158796.7387932623,2172441.8942441535
2300000.0,2217223.3359440384,2260801.4911199613,2270972.4414836625
2400000.0,2316269.3020195523,2363311.8819869375,2369680.5478228857
2500000.0,2416206.958683872,2466279.7024269947,2468605.104155384
2600000.0,2517103.294218894,2569640.6196810715,2567779.633103953
2700000.0,2619000.386903835,2673315.852556243,2667230.579361071
2800000.0,2721910.6778450003,2777214.682454984,2766975.8145005065
2900000.0,2825813.0967530156,2881237.6946558426,2867023.4355702675
3000000.0,2930650.5002916744,2985280.5735196825,2967370.9337171917
3100000.0,3036328.8828425487,3089238.2178310673,3068004.8004493397
3200000.0,3142718.7452764264,3193008.9079545885,3168900.6236776933
3300000.0,3249658.846911979,3296498.2507271958,3270023.702771783
3400000.0,3356962.3269175533,3399622.6522971415,3371330.182456705
3500000.0,3464424.8944370276,3502312.118942562,3472768.6711806175
3600000.0,3571834.503163815,3604512.2530273627,3574282.273983666
3700000.0,3678981.705956143,3706185.384977745,3675810.9367725453
3800000.0,3785669.780031547,3807310.852307945,3777293.972611419
