0 Ex,0 Ey,3 Ex,3 Ey,6 Ex,6 Ey,9 Ex,9 Ey,12 Ex,12 Ey,15 Ex,15 Ey,18 Ex,18 Ey,21 Ex,21 Ey,24 Ex,24 Ey,27 Ex,27 Ey,30 Ex,30 Ey,33 Ex,33 Ey,36 Ex,36 Ey,39 Ex,39 Ey,42 Ex,42 Ey,45 Ex,45 Ey
(0.9990188557065706+0.042208461582629676j),(-6.575805538703346e-13+0.013407897386903723j),(0.9938623553665075+0.014232184657768834j),(0.10452846326693244-0.03329960767064891j),(0.9760070538534883+0.0007782276553178489j),(0.20791169081845864+0.06467112191507199j),(0.9498547104503429+0.006292158761694943j),(0.3090169943751339+0.04738074460758449j),(0.9131207552606166+0.027771367958958647j),(0.40673664307498586+0.002130871383000439j),(0.8657861098743047-0.020308359726940735j),(0.49999999999987527-0.001408003144100796j),(0.8089804667300174-0.007668719357764741j),(0.5877852522919359+0.0005407213999144528j),(0.7430482237848136+0.01037325995611997j),(0.6691306063582273-0.005997019397200591j),(0.6689024880739616-7.563649482427402e-05j),(0.743144825477084+0.01747066378485583j),(0.587612990092054-0.013492951965772944j),(0.8090169943744329-0.004518510217703856j),(0.4999003152852953-0.009825055247243109j),(0.8660254037835877-0.0017728698190895018j),(0.4067102820698959-0.003932413257645452j),(0.9135454576421347+0.0024452821739723123j),(0.30897266298198206-0.004007683865390943j),(0.9510565162946829+0.003366721281567565j),(0.2077596840697796+0.004770490199463528j),(0.9781476007332767-0.006358244814902537j),(0.1044651511600953+0.0024449955507497845j),(0.994521895367647-0.0026932922458157565j),(1.2622324672974496e-12+2.9667240886155355e-14j),(0.9999999999994561-2.0659038715842293e-13j)
(0.9992386162269151-0.02843201539561297j),(5.783062610197739e-13+0.026717191847994773j),(0.9936067545319405+0.0007413327714022987j),(0.10452846326747334+0.04264819034772193j),(0.9779127684771992+0.017532315225843084j),(0.207911690818436-0.012327367598135448j),(0.943759550790277-0.0007432219059467227j),(0.30901699437364855-0.11758339636367807j),(0.9129865246679999-0.027873500995164675j),(0.40673664307526264-0.015619759780796822j),(0.8650254674557221+0.041196832287383425j),(0.4999999999993782-0.0058104786324120385j),(0.8083894153413406-0.024942403458730687j),(0.587785252291853-0.019822382824063428j),(0.741514930756687-0.03394885805299118j),(0.669130606359162+0.0355993558099686j),(0.6686530132325373+0.01045483379819107j),(0.7431448254769554+0.023013315949770217j),(0.5876354093496676+0.013266815682079245j),(0.8090169943746308+0.00034654296332823666j),(0.4987648331550348-0.00887194015277204j),(0.866025403784401+0.033984259366969846j),(0.40660300737105914-0.00635638386987999j),(0.91354545764212-0.008263631240178749j),(0.30877779828838225-0.011736019141505957j),(0.9510565162945737-0.003168588241469216j),(0.20789058968674273+0.001849617314200325j),(0.9781476007333796-0.002313614908915309j),(0.10449539140372206+0.002365060713872177j),(0.9945218953677252-0.0011486062494230967j),(4.288504193594842e-13+2.773788143617395e-13j),(0.9999999999994477+4.204041628708133e-13j)
(0.9994762486634896+0.00769227276245674j),(-5.503426081080143e-13-0.03143337869361636j),(0.9936146211320831-0.00985666456325527j),(0.1045284632666352-0.0413113931278437j),(0.9769864147785523-0.03645814751748345j),(0.20791169081662783-0.030676988742428857j),(0.9500651157496388+0.034944642441042395j),(0.3090169943751071-0.025761307934019817j),(0.9127318945506859+0.007917363025992477j),(0.4067366430757619+0.03772409324159488j),(0.8635406982273024-0.06550538497825117j),(0.4999999999995642+0.002550890670433008j),(0.8066752271908489+0.008301096663198473j),(0.58778525229239+0.06094806655824391j),(0.7428940014749801+0.019063711526605222j),(0.669130606358402+0.0030510831893173053j),(0.6690063856509272+0.010255301702669677j),(0.7431448254773866+0.007813648975472336j),(0.5872439365557102-0.02235388397781971j),(0.8090169943743966-0.011677570892651947j),(0.49996621948295106-0.004871062725878632j),(0.8660254037841121+0.0031705083678587984j),(0.40486259859427964+0.0006066353638620112j),(0.9135454576426162+0.03899493649792814j),(0.3087375700663019+0.00954612074914482j),(0.9510565162947565+0.009027027216805096j),(0.20786864497428312-0.0004412459822851645j),(0.9781476007331719-0.004207483495225281j),(0.10442272129865192-0.002109270580585767j),(0.9945218953678506+0.004200700784295847j),(3.625371562168524e-13-4.752621907133658e-13j),(0.9999999999994464-2.650830943640159e-13j)
(0.9993331861004306-0.02335870969549088j),(2.255797179219465e-13+0.028063389647062013j),(0.9927946692359008+0.03912513831039979j),(0.10452846326743202-0.043609272577241884j),(0.9776289269188304+0.03172364510103219j),(0.2079116908177825+0.0028320333905764213j),(0.9503303818992815-0.011477255699922568j),(0.30901699437557795+0.035340274852568694j),(0.9131889105990214-0.007075427834935682j),(0.4067366430762942+0.02452050280395762j),(0.8655801580252801+0.026678054607862912j),(0.4999999999992119-0.007698794378283577j),(0.8081155694841149-0.030022281315983904j),(0.5877852522911279-0.02358783944807245j),(0.7430355666335047+0.01206918557970674j),(0.6691306063580519-0.004088167175949618j),(0.6686482259165365+0.023432289167798805j),(0.7431448254772686+0.009810513149145881j),(0.5872447061583201-0.01678871436576493j),(0.8090169943745882+0.018796195651680423j),(0.49915749317109226+0.02899832783895155j),(0.8660254037839912+0.000945512228501668j),(0.4065154680321741+0.012183177417861794j),(0.9135454576419137-0.005607250602735935j),(0.3089282336479383+0.001364197555587407j),(0.9510565162946089+0.007279301661119862j),(0.20736727489540838-0.014791451048269698j),(0.9781476007332894-0.0027013805643690617j),(0.10435704714244033-0.004512878629333979j),(0.9945218953677522+0.003929411056474541j),(-6.689464783207263e-13+5.4421050998954e-13j),(0.9999999999994489-1.8415130531579393e-13j)
(0.9982787777499575+0.04698348832786379j),(5.469122231125396e-13+0.03510033785265693j),(0.99401678636859+0.03155279193364863j),(0.10452846326749583+0.002974912497699629j),(0.9759776682719716-0.013290781017230741j),(0.20791169081689542-0.063746960671041j),(0.9500333053049047-0.036376687098117935j),(0.309016994374691+0.0249389781998945j),(0.9131194243653976-0.010611056440744419j),(0.40673664307590424-0.02579971910631077j),(0.8656112023768765+0.005355454037035095j),(0.4999999999995884-0.026240530309840943j),(0.8083132522410396-0.031107978430367986j),(0.5877852522921408-0.013056688561669832j),(0.7412779018053662+0.03888966828699553j),(0.669130606358228-0.035480947409420906j),(0.668990682336342-0.013681688887675644j),(0.7431448254772867-0.00021610539414316284j),(0.586896460950414-0.03076503592150068j),(0.8090169943744104+0.009877221313941802j),(0.49963191565297493+0.0014118659313424944j),(0.8660254037838166-0.019129963290377933j),(0.40638348001377006+0.012636501876511833j),(0.9135454576419618+0.011290828705642702j),(0.3090087993864319-0.0005940903044991397j),(0.9510565162946154+0.0021706614071851497j),(0.2074448272702935-0.010820223950547896j),(0.9781476007332791+0.008765704255486326j),(0.10448512459839972+0.0019406897717185873j),(0.9945218953677019-0.0023004551754749678j),(-1.6877142082678812e-13+8.048475080846273e-13j),(0.9999999999994493-2.1464134723064854e-13j)
(0.9984686278418231-0.02274128690810042j),(7.676154392247869e-13+0.05043047773127422j),(0.9919021360833389+0.06022181387994495j),(0.10452846326760763-0.03971505925980531j),(0.9775021221734308+0.032403876822121605j),(0.2079116908175902-0.014571161020034036j),(0.9506144184402788-0.027221760342748397j),(0.3090169943743769+0.009985008958553828j),(0.9114097861466002-0.04927016260543683j),(0.40673664307515256-0.03834000484888296j),(0.865889378587052+0.014815308581030652j),(0.49999999999938377-0.004011319138033861j),(0.8082008694921778-0.03606397121143974j),(0.5877852522919491+0.0043865384387805975j),(0.7428272651249787-0.021023418245988416j),(0.6691306063584274-0.0054682451892776466j),(0.6685027685817547-0.013532149398505649j),(0.7431448254767113-0.025626113580325644j),(0.5875856291462411+0.009115208561154416j),(0.8090169943739032-0.012310329272805875j),(0.49938120204456365+0.0016086136376532098j),(0.866025403783798-0.024815870057143887j),(0.405119939840628-0.03168709952138741j),(0.9135454576420811+0.017562997690543203j),(0.3086395118849413+0.008201674137187375j),(0.9510565162948497+0.01287971493382569j),(0.2077015344514388+0.009196677914408048j),(0.9781476007332776+0.0016627929760939623j),(0.10446555932558986-0.0008697818830925262j),(0.9945218953678291+0.003519947039003828j),(-5.114700289280128e-13+6.246739236992482e-14j),(0.9999999999994529+1.6417943393687295e-13j)
(0.9958651316876529+0.007231206645592571j),(-9.2787687473302e-13-0.09055577915279847j),(0.99428122397303+0.0188741569922882j),(0.10452846326765747-0.01106409590536769j),(0.9779054954239336-0.014661574903611696j),(0.207911690817985+0.01608132646961968j),(0.9498102959172572-0.002413158622645192j),(0.3090169943739507-0.048611476236643775j),(0.9134013599714064+0.011793269890307155j),(0.4067366430757299+0.01114349882111729j),(0.8658929243696091+0.011143701826523588j),(0.49999999999997685+0.010259699561891846j),(0.8086405822061886-0.00843652293463714j),(0.5877852522919786+0.023189029235731125j),(0.7431331414750706-0.004161205118164797j),(0.6691306063587019-0.0002237101408796196j),(0.6688536266513074-0.019240512130229006j),(0.7431448254772199-0.0006302171553751491j),(0.5876189577907645-0.004318917047943717j),(0.8090169943742611-0.013297000148254676j),(0.49966855729183635-0.0057518159959828695j),(0.8660254037838809-0.01726990059330555j),(0.4057972746663786+0.017113648811150153j),(0.9135454576418207-0.02168851582301997j),(0.3086539321974961+0.011959904929271105j),(0.9510565162942604-0.009011860309812797j),(0.20751016169363964+0.004473455482962702j),(0.9781476007332093-0.012115781803077215j),(0.10450449678356988+0.001989644867907205j),(0.9945218953677935-0.0010252308459483984j),(-2.8808448755409464e-13-1.0333053857003449e-13j),(0.9999999999994585+2.7359885190758604e-13j)
(0.9997578848934806+0.015572857464237127j),(-1.7164660841816268e-13-0.015545343434524485j),(0.9921417449737723-0.01410916951178141j),(0.10452846326838383+0.06730148275936132j),(0.9771951152404752-0.04313447201394498j),(0.20791169081755043-0.0013612106471062166j),(0.9498242134291813+0.0480254840193856j),(0.30901699437469715+0.00600113778748386j),(0.9130136781388131+0.007793539324601927j),(0.4067366430750851-0.03017594165979874j),(0.8659606229811674+0.010261725192605594j),(0.5000000000001025+0.0026261075500690094j),(0.8077076339653356+0.044881774627853324j),(0.5877852522918847-0.010124303798194545j),(0.7431414316228067+0.002244021374122199j),(0.669130606358636+9.277203620913018e-05j),(0.6688319662992828+0.01624849149964501j),(0.7431448254770007-0.011642840969685856j),(0.5876742623017684+0.010365464754110154j),(0.8090169943743601+0.004798060115329948j),(0.4992163451396183+0.0031519966727206923j),(0.866025403783469-0.027804777700339813j),(0.4065318526074318+0.012901575404772724j),(0.9135454576421954+0.00031462339088130994j),(0.3084555678576323-0.003335715397772644j),(0.9510565162949229+0.018317709253337016j),(0.20780257236239869-0.0039944079748544525j),(0.9781476007332072-0.005422804007417578j),(0.1044761539283521-0.0006853726998144304j),(0.9945218953677527+0.0032346804559329058j),(3.7806722853088627e-13-8.39432690025177e-14j),(0.9999999999994599+1.5733594982414445e-13j)
(0.9988902391174569-0.04335638678651999j),(1.1869036163141086e-13-0.018398747769356807j),(0.994184582558451+0.00223492090483457j),(0.10452846326776574+0.025803513274396582j),(0.9774420411880781-0.030896604333954438j),(0.20791169081711267-0.02062000919147683j),(0.9510419430657818+0.0028200629187701935j),(0.30901699437471225-0.004446005085363651j),(0.9127103592981144+0.008286469901228699j),(0.4067366430762533+0.03816330206278632j),(0.8646454270300455-0.045858310651282j),(0.4999999999993576-0.01689085136088939j),(0.8088534628663892+0.013909275432647234j),(0.5877852522925933+0.008432369308543165j),(0.7418453584228357+0.002057568204679259j),(0.669130606359083+0.04388008924290667j),(0.6680801800439626-0.020872433041730795j),(0.7431448254765121-0.031128490771288736j),(0.5876643889713916+0.01191047294982581j),(0.8090169943744095-0.00045758199219593856j),(0.4999442605597389-0.0010929855819091392j),(0.8660254037839875-0.007385236324441009j),(0.4066165676116925+0.006070967569233211j),(0.9135454576422427+0.00779789180444347j),(0.3088837205510575+0.0018643749156519833j),(0.9510565162944264-0.008881109026070004j),(0.2076401869265809+0.009370246264163452j),(0.9781476007333222+0.00500224315567711j),(0.10426095507481085-0.006738032520330449j),(0.9945218953677355+0.0032329240190110027j),(4.637422206344949e-13-1.5291327571027337e-13j),(0.9999999999994478+1.237931198522224e-13j)
(0.9999880993132455+0.00398961100868515j),(-1.0929307985182635e-14+0.0028078879312926496j),(0.9927166070326139+0.03714551333991713j),(0.10452846326857487+0.046986693072236865j),(0.9777566814720391-0.024548346519630986j),(0.20791169081820773+0.012727110427692508j),(0.9504357343861912-0.014225272177790235j),(0.30901699437421304-0.031273848819735495j),(0.9126716659420189+0.03596243598280058j),(0.4067366430755905+0.017390703355857094j),(0.8622750293736506-0.06988789068393846j),(0.4999999999998767+0.03996819302054782j),(0.8081310399467718+0.03678109719942281j),(0.5877852522920776-0.008937021322941583j),(0.7428116761821512-0.021336310167623062j),(0.6691306063586281-0.006309297020612684j),(0.6678558373472533-0.04121501270126947j),(0.743144825477163-0.0023815151907004423j),(0.5875441463221922+0.010534287594492098j),(0.8090169943747315+0.013130411995526056j),(0.49915549986140495-0.023724748725239064j),(0.8660254037841972+0.016760765357064916j),(0.40627020706349015+0.01164068564605001j),(0.9135454576422987+0.015611217451540784j),(0.3088904901724948-0.008797279520317908j),(0.9510565162946172-0.0008807760738372417j),(0.20736399528812893-0.003890971281718454j),(0.9781476007331784-0.014570689053536591j),(0.10448533020737487+0.002513051504065834j),(0.9945218953677027-0.001643160595013694j),(-4.0296738510981427e-13-9.707313078366475e-13j),(0.9999999999994627+3.7629968585584095e-13j)
