0 Ex,0 Ey,2 Ex,2 Ey,4 Ex,4 Ey,6 Ex,6 Ey,8 Ex,8 Ey,10 Ex,10 Ey,12 Ex,12 Ey,14 Ex,14 Ey,16 Ex,16 Ey,18 Ex,18 Ey,20 Ex,20 Ey,22 Ex,22 Ey,24 Ex,24 Ey,26 Ex,26 Ey,28 Ex,28 Ey,30 Ex,30 Ey,32 Ex,32 Ey,34 Ex,34 Ey,36 Ex,36 Ey,38 Ex,38 Ey,40 Ex,40 Ey,42 Ex,42 Ey,44 Ex,44 Ey,46 Ex,46 Ey,48 Ex,48 Ey
(4.499928931555236e-13+3.6129432778864157e-13j),(0.9999999999994407-1.0167214292700066e-13j),(-0.006980365934328274+0.00010098413618783633j),(0.9999756307048511+4.7843191955007115e-05j),(-0.013953017189614605+0.00046057201266942304j),(0.999902524008753-0.00020896067128782503j),(-0.020931001124899984+0.00030588675835786783j),(0.9997806834743169+0.000620141714787914j),(-0.02791448643553645-0.00012088844754645431j),(0.9996101150398058+0.0006202757552106861j),(-0.03488249592764009-0.0006974110207993225j),(0.9993908270185634-0.0008366395742889794j),(-0.04174759091130154+0.003163242607525355j),(0.999122830098296-0.0008384059667512489j),(-0.048847284838938465-0.0004646955965915949j),(0.9988061373409022+0.00016380141436919248j),(-0.05580203808834121+0.001185353059789682j),(0.9984407641814292+0.0008763007528360921j),(-0.06254924164243231-0.0010449123118442816j),(0.9980267284276827-0.005399062051576852j),(-0.06973125943250029+0.0015676280540437475j),(0.9975640502592895+0.0010293830382303287j),(-0.07662621257589365-0.0030891860921963086j),(0.9970527522264044+0.0021655835815488807j),(-0.08365809369359237+0.00046269808519384253j),(0.9964928592489339-0.0017580485850164451j),(-0.09060547484188497+0.0022152869731530563j),(0.9958843986154189-7.089164243742965e-05j),(-0.09742362899177524-0.0003071298646345512j),(0.9952273999812576-0.0055645764227290955j),(-0.10439422862611586-0.0018423327175554997j),(0.994521895367693-0.004964924258651325j),(-0.1113905927144899-0.004177757752773452j),(0.9937679191600419+7.100778134169067e-05j),(-0.11837948620422133-0.00019888254590955286j),(0.992965508105915+0.0023994588166648227j),(-0.12528681766953728+0.003161026029231715j),(0.992114701314033+0.0012808856974706462j),(-0.13224789967461448-0.0009622749415495583j),(0.9912155402510094-0.0011488352325533012j),(-0.13908614388404078-0.0018212755524508219j),(0.9902680687410406-0.0045694163317324945j),(-0.14606262916724724+0.0016269710666493445j),(0.9892723329624343+0.0018200439195554538j),(-0.15273334577580328-0.0015357828577106034j),(0.9882283814458619-0.008650581651902689j),(-0.159762354203181-0.001986300819183908j),(0.9871362650726027+0.005834292238057223j),(-0.16653558326507506+0.0031434057257037178j),(0.9859960370700264+0.008236102724956975j)
(-1.6936777613046593e-14-5.521702886590596e-13j),(0.999999999999453-1.8063502082998895e-13j),(-0.006966636009797795-0.0004293054851571849j),(0.9999756307048497-0.00014026712822506546j),(-0.013961102253389977+0.00016998010335801217j),(0.9999025240087546-3.4791507592469954e-05j),(-0.020935674977219227+0.0002848040906909873j),(0.9997806834742944-0.0004487209046625971j),(-0.027901477681304788-0.0007760049788073601j),(0.9996101150398058-0.0007233729947609437j),(-0.034897984570663974-3.784582019723034e-05j),(0.9993908270185421+0.0003226618916166184j),(-0.041832425002597255+0.00044954897526736093j),(0.9991228300983472+0.0018483774786057705j),(-0.04876466048709453-0.0010404792800200353j),(0.9988061373408517-0.002687991739740013j),(-0.055749537575706866+0.002395625609488059j),(0.9984407641814448-0.0015134258188878903j),(-0.06271158193661909+0.00037258148201707586j),(0.9980267284277697+0.003125382650209386j),(-0.06960123033590082-0.004403539448009102j),(0.9975640502592737-0.0014977333867088813j),(-0.07663924643376045+0.003169421335408486j),(0.997052752226426+0.0014798483296206942j),(-0.08366937130696928+0.0010467431861119138j),(0.9964928592489467+0.0005675372714845821j),(-0.09055070240465063-0.0005069355784608764j),(0.9958843986153451-0.003818102120285186j),(-0.09758085859057573-0.0006256897495130492j),(0.9952273999812237+8.291311671969554e-05j),(-0.10444353950072202+0.0003713819703678421j),(0.9945218953677796+0.0041962798977422415j),(-0.1114364509751482+0.0010045940900494758j),(0.993767919160007-0.0024962035338486426j),(-0.11835225480596472+0.0031269025663147243j),(0.9929655081060595-0.0015703417635171066j),(-0.1253053386744663-0.0016754292687984748j),(0.9921147013139587+0.002045598220369313j),(-0.1322206170135514-0.0010606147028328385j),(0.991215540251056+0.002887264576576416j),(-0.13915590593472357+0.0021684658397313488j),(0.9902680687410765-0.0002891886655092407j),(-0.14607706278338745-0.0011583082603075362j),(0.9892723329623508-0.0006334703499655948j),(-0.15274722965976806-0.001960766403870707j),(0.9882283814459354-0.00831296156725917j),(-0.15986984713764324+0.001284930314384924j),(0.9871362650724611+0.0014053853438567143j),(-0.16657658261887845-0.007969415653396296j),(0.9859960370700426+0.0007385243687344986j)
(2.1992792642056026e-13+4.39273617480751e-13j),(0.9999999999994563-5.594032181921449e-13j),(-0.006968127388823752+0.0002881921658490702j),(0.9999756307048591+0.00031645111235064846j),(-0.01395525749944283-0.0004342515475707167j),(0.9999025240087567-6.850950828254758e-05j),(-0.020902737964409106+0.000768394709177958j),(0.9997806834743181+0.0010344398007264763j),(-0.02790029951087588+0.0005325587291078425j),(0.9996101150397985-0.0009526685852903616j),(-0.03483938152808423+0.0011022149717752408j),(0.9993908270185566+0.001725539616090458j),(-0.041737705303778884-0.0025189721243272546j),(0.9991228300982711-0.0022779619699793696j),(-0.048803675454716075+0.002084682807945597j),(0.9988061373409205+0.000394168391903052j),(-0.05570279424619856-0.003503315558586774j),(0.9984407641814409+0.0009828087050344318j),(-0.06259778714985105-0.0038286683009363734j),(0.9980267284276823-0.0030834535564667233j),(-0.06959670920061821-0.0013167798571774858j),(0.9975640502592145-0.004530980974597571j),(-0.07663742374752845-0.0010199175844072782j),(0.9970527522263171-0.003387377496881422j),(-0.08366000682170924-0.0017082183431548254j),(0.9964928592489541-0.0002582894381105254j),(-0.09056372608086297-0.0008458129090693663j),(0.995884398615457-0.0034293894696829073j),(-0.09748532187052966-0.00230688138887946j),(0.9952273999813006+0.0037030586580028176j),(-0.10444483062425816-0.00016072402292857668j),(0.994521895367717-0.004177458171529041j),(-0.1112699480828761-0.005950800618025966j),(0.9937679191600705+0.0029848740033895545j),(-0.11828029463656559+0.005104817379757329j),(0.9929655081060799+0.0017923310921588546j),(-0.12532762357379298-0.001125500005244826j),(0.9921147013139675-0.0003734363326898674j),(-0.1321068358817863+0.005982841055296976j),(0.9912155402510013-0.0019344999493036003j),(-0.1388485100102395+0.0032355161113613307j),(0.990268068741108+0.008931670285443439j),(-0.14571483982405994+0.0020251963414733704j),(0.9892723329623722-0.010165395658859164j),(-0.15239909331125845-0.007815327363836767j),(0.9882283814459414-0.010867525925365492j),(-0.15961392964799492+0.009129346358848546j),(0.987136265072489+0.0014292218286732425j),(-0.16670351358641525-0.003323051319892984j),(0.9859960370700588+0.0032727311088754044j)
(1.932006465211329e-13-2.529001313922308e-13j),(0.9999999999994481+4.829470157119431e-15j),(-0.006967811404248727-0.00038768158774915053j),(0.9999756307048637+0.00019313869251737573j),(-0.013949903984313828+0.0005805547743991299j),(0.9999025240087538+7.493196970664168e-05j),(-0.02094093606021308+0.00024108222947130924j),(0.9997806834743089+6.34574760065348e-05j),(-0.027803685882526498+0.0017065022846838654j),(0.9996101150397889-0.0019133244244084954j),(-0.03488042953677994+0.0005614897830548103j),(0.999390827018555+0.0010075885267044355j),(-0.041838558755256154-0.0011672180817163189j),(0.9991228300982785-0.0013202191273203566j),(-0.048617929366266535-0.004675660036804442j),(0.9988061373409118+0.0008574126239052071j),(-0.05579395637601518-0.0013602806577846724j),(0.9984407641814571+0.001106565901417075j),(-0.06276817172817184-0.0016399071905619294j),(0.9980267284277221-0.0003415626876379328j),(-0.06959733918838396-0.002563383452894301j),(0.997564050259341+0.00395032558962417j),(-0.07671691569959727-0.0005634986195630859j),(0.9970527522263902-8.11883768990036e-05j),(-0.08363755169906165-0.0008002622314431194j),(0.9964928592489266-0.0024700184087478147j),(-0.09060952542832196+0.001493270678152231j),(0.9958843986154114+0.0013959361232489184j),(-0.09751814828051182-0.0008418831054663803j),(0.9952273999812465-0.0034531600388765784j),(-0.10417075957214358+0.005274462173079076j),(0.9945218953676076-0.00684342985960976j),(-0.11141859855362675+0.0018662698375631268j),(0.9937679191601764+0.002781327055988184j),(-0.1181664482633828-0.00012961222865554706j),(0.9929655081058972-0.007494892687808674j),(-0.12511427197473343-0.005945217956548825j),(0.9921147013140362+0.004415061398778536j),(-0.1321695097615264+0.001495272936918323j),(0.9912155402509579-0.004553856842682819j),(-0.1390514223872742-0.004228372568300071j),(0.9902680687409614-0.003996852315510752j),(-0.14593610232394694+0.006464052933161523j),(0.9892723329624711-0.0010589107857412496j),(-0.15269002290760325+0.007105815995262249j),(0.9882283814459808-0.0063190495374783814j),(-0.15970045592526658+0.005545512365664796j),(0.9871362650725638+0.005196715055916878j),(-0.16621816492108174+0.013480068204918459j),(0.9859960370700329+0.0012744773600461903j)
(-9.272011797766558e-13+4.224225136351123e-13j),(0.9999999999994676-3.4888064659455154e-13j),(-0.006973579329217738+0.00014392674292505042j),(0.9999756307048507-0.0002940608621734928j),(-0.013931905693395067+4.753249887942679e-05j),(0.9999025240087684+0.0009177277481631917j),(-0.020916420846109982+0.0008437093791319114j),(0.999780683474308+0.000613550342127827j),(-0.027907308962538974+8.924327824193223e-05j),(0.9996101150398146+0.0008899725311551623j),(-0.03484139932123157+0.001857494497912818j),(0.9993908270185536+0.0007755498734950718j),(-0.04182228356559794+0.00034972066916837477j),(0.999122830098284-0.002084386747855073j),(-0.04883138127021179-0.0013200047656823357j),(0.9988061373408794+0.00023194776399000812j),(-0.05568594208697669+0.0012336999288304826j),(0.9984407641815004+0.003687039186383377j),(-0.06252944456424717+0.0012561252300391443j),(0.9980267284277873+0.005580327455936331j),(-0.06956608034424991+0.00491421363410114j),(0.9975640502592745+0.0015416222323804962j),(-0.07656696177944144+0.001918178403507935j),(0.997052752226394+0.004430601781471949j),(-0.083669436062472-0.0008796549623952569j),(0.996492859248931-0.0007957015285503678j),(-0.09061077575350428+0.0018795951234361935j),(0.995884398615399-0.0006473274792002121j),(-0.09730054491862318+0.0066203890285040454j),(0.995227399981278-0.003346151981402576j),(-0.10435954707868568+0.004672542106403775j),(0.9945218953678037+0.0036676854738545046j),(-0.11135016969074071+0.0032212667184586784j),(0.9937679191600758+0.004010735311704237j),(-0.11825886304169116+0.00012321581690888025j),(0.9929655081059425-0.005858825886140793j),(-0.12529655475000087-0.0012462323021188333j),(0.9921147013139319+0.002764002259355786j),(-0.13218510944059672-0.003779471995423129j),(0.9912155402510002-0.002136632261500567j),(-0.13896044372228264+0.0018724710873825635j),(0.9902680687410458+0.007459287051941472j),(-0.1460789597413044-0.0009393725888924914j),(0.9892723329624393-0.0005534744708356821j),(-0.1528749520163348-0.0021640072854962576j),(0.9882283814460372+0.005406683079681786j),(-0.15986520707944807-0.0014177846578924558j),(0.9871362650725325+0.0017605765153869651j),(-0.16665894198469464+0.0060405578324723395j),(0.9859960370699286-0.00035156638417164j)
(7.458873156395092e-13+2.2530761978334368e-13j),(0.9999999999994545-7.269879143123603e-14j),(-0.0069614231212150775-0.0003708522481657914j),(0.999975630704851+0.00037289687326935717j),(-0.01395709834936044-0.0003698196625413243j),(0.999902524008754-7.154656232463176e-05j),(-0.020901709683735434-0.001186474207167219j),(0.9997806834742987+0.0005438398801882807j),(-0.027920338308523873-6.81311946203432e-05j),(0.999610115039809+0.00026072183676051526j),(-0.034876343897012385+0.0009368949358698232j),(0.9993908270185361+0.0008589146370857233j),(-0.041815631638816256+0.0021461791671554594j),(0.9991228300982995-0.0006459418778842901j),(-0.04880598412927619+0.002054620457859669j),(0.9988061373408865+0.00023336033841987736j),(-0.055699328466630664+0.003635148449869342j),(0.9984407641814443+0.000641033381689797j),(-0.06269192671994618+0.002292002858060367j),(0.998026728427745+0.00266803106287216j),(-0.06975156650804183-0.0003868159718721292j),(0.9975640502592971+0.0007314179660598071j),(-0.0765523278287826+0.002661880967988594j),(0.9970527522263355-0.004297065337865646j),(-0.08366756365824979-0.0013112628205641983j),(0.9964928592489627-2.908708978970921e-05j),(-0.09054020458704745-0.0005579558633625088j),(0.9958843986153394-0.004052731432848211j),(-0.09746742799874582-0.0036298800844688315j),(0.9952273999813255-0.003057249611314386j),(-0.10433716768612937+0.0013542264013945704j),(0.9945218953676558-0.006174232204357045j),(-0.11103814438448406-0.0014505490289735273j),(0.9937679191599414-0.009682419460823074j),(-0.11812974035221323-0.008053165498115869j),(0.9929655081060481+0.00010334599239555237j),(-0.12532932641827754-0.0008851757910028307j),(0.9921147013139083+0.0004425370720298424j),(-0.132200988427364+0.0034873342162694415j),(0.9912155402510405+0.0015779488703650604j),(-0.13893489864431727+0.0044115089182988135j),(0.9902680687411213+0.0068399238589112645j),(-0.1457857295480915-0.0032760244960992266j),(0.989272332962576+0.008720089294974344j),(-0.15285710410618925-0.0011832013249743097j),(0.9882283814459616-0.006162131328020871j),(-0.1598611650711759+0.0007695206319799884j),(0.9871362650724994+0.002410377088523062j),(-0.16667230816029593+0.0052381245870193206j),(0.9859960370699954-0.0021722395090526536j)
(3.3607882663830764e-13+7.388568923349936e-13j),(0.9999999999994504-7.95370713735366e-15j),(-0.006978684665709437+2.425870461949392e-06j),(0.9999756307048453+0.0001896043033009973j),(-0.013937764133293448-0.0007847329317721696j),(0.9999025240087589-0.0002557440558927891j),(-0.02093038541175798+1.5369894691703856e-05j),(0.9997806834743076+0.0007097047567869199j),(-0.02782219086823776+0.001708075092526573j),(0.9996101150398033-0.001620519605235314j),(-0.03489127260456599+1.4171994772070595e-05j),(0.9993908270185364-0.000757472983840496j),(-0.04185150694637281+0.0003935294030246797j),(0.9991228300982768-0.001366336798186759j),(-0.048841220387727785+0.0008692308745673494j),(0.9988061373409258+0.00028220157488396264j),(-0.05582069305208602+0.0001510835424870247j),(0.9984407641814484+0.00026042390361818383j),(-0.0626693601013175-0.001703183551646087j),(0.9980267284276821-0.003507108941334611j),(-0.06972895314239622-0.000994796417188578j),(0.9975640502592762-0.0016879286087701489j),(-0.0767146393992617-0.0007950516267964118j),(0.9970527522263924+0.0002031537474972648j),(-0.08366073452684829+0.001600501599748704j),(0.9964928592490089+0.0005489605685063022j),(-0.09063030338519137-0.0003207570355600064j),(0.9958843986153995+0.000556611700349994j),(-0.09751434591443238+0.00295857075608914j),(0.9952273999813093-0.0021497733173961083j),(-0.10449258691005056+0.001186823977439121j),(0.9945218953676764-0.0024678660588726307j),(-0.11131708479107344-0.0037776372796676644j),(0.993767919160045+0.004422548746042773j),(-0.11835042297783249+0.003207611948693249j),(0.9929655081058898-0.0015454182121770708j),(-0.12492149343173245+0.010065521637189174j),(0.99211470131386-0.001313464409939874j),(-0.13205700873897236-0.005439614637053678j),(0.9912155402509276-0.004807265279516103j),(-0.1390861631815233+0.004518410057402766j),(0.9902680687409994-0.0019429907072083755j),(-0.14570703338921087+0.003179709351730252j),(0.9892723329624311-0.009980035237351855j),(-0.15295643490720617-0.002409895770345131j),(0.9882283814459796+0.0017853645035367568j),(-0.15984092732252328-0.00012219393401865543j),(0.9871362650723919+0.003585693676449787j),(-0.16665916223325442-0.005944136430909852j),(0.9859960370699653+0.001098074233067934j)
(-2.9012514708446185e-13-8.407094465034959e-13j),(0.9999999999994542+3.2129507387956835e-13j),(-0.006978159557060166+3.170020034490295e-05j),(0.9999756307048548+0.0002056201446313942j),(-0.013958616534787818-0.00030983345996708983j),(0.9999025240087638+5.922382630030136e-05j),(-0.020912611043465004-0.0010397658190791116j),(0.9997806834743047-0.0004080893935197172j),(-0.02789150782232054+0.0012956324276287912j),(0.9996101150397974-5.5109365320760856e-05j),(-0.03489334799435748+0.00023814372516266225j),(0.9993908270185813+0.0006102649715683185j),(-0.041829662163726106-0.001481901910995712j),(0.9991228300983248+0.0012859646993852274j),(-0.04884625972395784-0.0005555617474574833j),(0.9988061373408764+0.00018512485534847353j),(-0.055811057083575026+0.0005090038619295686j),(0.9984407641814214-0.0009524925231948773j),(-0.0626683927726878+0.0004243687581124596j),(0.9980267284276979-0.0038912467485585104j),(-0.06972146154555219+0.0001312976409868112j),(0.9975640502592872-0.0022059442608983767j),(-0.07662663416786132+0.003459150421867351j),(0.9970527522263369-0.0014840792620526323j),(-0.08352226436615476+0.0043849681493797945j),(0.9964928592489741-0.0026047791039214736j),(-0.09047022788364364+0.004320563315266614j),(0.9958843986154701+0.0032764603666454173j),(-0.09755694525620145+0.0022500133251837475j),(0.9952273999813027+4.687935351683527e-05j),(-0.1044079535985304+0.0001907346189359109j),(0.9945218953677878+0.005014227618075146j),(-0.11131995361065394-0.000805065518987326j),(0.9937679191601426+0.005704616080794746j),(-0.11830455034242363-0.0010082289681670985j),(0.9929655081060399+0.0047451610356197115j),(-0.1253180739023672+0.0017285179851994877j),(0.9921147013138648-0.0009011186323844827j),(-0.13194160754379136-0.0036378299413473217j),(0.9912155402510823+0.00836248502258138j),(-0.13898974277020285+0.002348205417421291j),(0.9902680687409954-0.006744580554652177j),(-0.14578757336480924+0.0005906547777984467j),(0.9892723329623491-0.009267459925586637j),(-0.15241659173915742+0.013058183297319208j),(0.9882283814460306+0.001825517750224201j),(-0.15976163445278682-0.004521356479036148j),(0.9871362650724181-0.00421564589908929j),(-0.1667607307595354-0.0006104331324013976j),(0.9859960370699392+0.0015168814099575654j)
(2.983385501064916e-13+8.902566184243454e-13j),(0.9999999999994528-2.2556609358126423e-13j),(-0.0069795613370007385-0.00014701263720528135j),(0.9999756307048515+4.589306231894512e-05j),(-0.013945930252903228+0.0006594906719502658j),(0.9999025240087642-0.00013631308811400816j),(-0.0209216612495132-0.00041089425052515463j),(0.9997806834742995-0.0008367837635108923j),(-0.027906310840203872+0.0009030344415217628j),(0.9996101150398231-0.00020063169461635721j),(-0.034681458256359717-0.0038239274127898574j),(0.9993908270185521-0.0007408795021252301j),(-0.04183578134974551+0.0015658285654408122j),(0.9991228300983418+0.000941251790197821j),(-0.04883729255930924-0.000809473363209013j),(0.998806137340876-0.000750744604795137j),(-0.05580567767349881-0.0005687467728914489j),(0.9984407641814339-0.0012013684800820292j),(-0.06268576041320732-8.507028187722254e-05j),(0.998026728427756+0.0036245754460673667j),(-0.06966869779804345+0.0023738348712785094j),(0.9975640502593421+0.0025696467096695402j),(-0.07666009661956137-0.002946919329997206j),(0.9970527522263916+0.0005954237518239064j),(-0.08358591839256684-0.0037282439265656055j),(0.9964928592489891-0.0012148696897320184j),(-0.09042480885131052+0.00593016824560069j),(0.9958843986155115+0.0015657719935963793j),(-0.09756782634159707+0.0013063945371073497j),(0.9952273999812589-0.0011112703254519919j),(-0.10451800930831072-0.0014572886444681656j),(0.9945218953677101-0.00024834079459686974j),(-0.11131024218847455+0.003583090254752456j),(0.9937679191600709+0.004744923112057466j),(-0.11837002543550716+0.0015159132806383934j),(0.9929655081059813-0.0023955784372693767j),(-0.12516079485060838-0.0012731142801914105j),(0.9921147013138176-0.006447794065013914j),(-0.13223532617041786-0.0004847759214455412j),(0.9912155402509885+0.002310036526237902j),(-0.1389100078704054-0.00044729144256249256j),(0.9902680687411733+0.008541760610423502j),(-0.14597664073434036-0.004243740330598055j),(0.9892723329624211+0.003614175134961409j),(-0.152964552673686-0.0010381046806490274j),(0.9882283814458965-0.002331108694287218j),(-0.15985722272191247-0.000925422721908771j),(0.9871362650725405+0.0026088529955347385j),(-0.16616978857261258-0.013152154185881743j),(0.9859960370698747-0.005141700830262129j)
(-3.3975707169944327e-13+2.1761412116738654e-13j),(0.9999999999994559+2.739013443137095e-13j),(-0.006973874685470022-0.00031337278177483684j),(0.9999756307048461-6.974750488402542e-05j),(-0.013942396838620412+0.00024426548226044037j),(0.9999025240087517-0.0007017012155501653j),(-0.020940829693636604+0.00018144253577831709j),(0.9997806834743113-0.00018352362094276042j),(-0.027915150720388245+0.0005859325447063681j),(0.999610115039794+0.00013766750489350305j),(-0.03489764023931078+2.7535200054725796e-05j),(0.9993908270185483-0.0003589117359271073j),(-0.041702174230792595+0.0026910871128350278j),(0.9991228300982776-0.002693898641177025j),(-0.04884020593875554+0.0007599657690936365j),(0.9988061373409182+0.0005972813005740768j),(-0.055730908057343896+0.00271871502658793j),(0.9984407641814219-0.0016476939754719831j),(-0.06272278831604439-0.0025538370604039507j),(0.9980267284277202-0.0014067995235965483j),(-0.06944018395503442-0.0014892728201769817j),(0.9975640502592099-0.006465952994542034j),(-0.07667668622321928-0.0024972974600056706j),(0.997052752226363-0.0005084997079771968j),(-0.08365826619671082+0.0013526803202080166j),(0.9964928592489684-0.0012025878851835963j),(-0.09037947418677006+0.003370327247055011j),(0.9958843986154964+0.0058699346799856705j),(-0.09751507803895379-0.0017106981678251063j),(0.9952273999813019-0.0032102012756109553j),(-0.10438561159781864+0.005388941673378265j),(0.9945218953677694-0.000896120533949156j),(-0.11146412710768627-0.001008106403670543j),(0.9937679191600731+0.00023438590263329378j),(-0.11840129500589434+9.958184774186678e-05j),(0.9929655081059738+0.0007893891068484302j),(-0.12530716595962202-0.0019030456550650074j),(0.9921147013139529+0.0017064618479476629j),(-0.13211196125350466+0.005421371026079057j),(0.9912155402509658-0.002964994746546188j),(-0.1390206151886268+0.005117596947947469j),(0.9902680687410738+0.004028744815302805j),(-0.1460328776556973-0.0011738552615780714j),(0.9892723329623991-0.0036430675885186876j),(-0.1528262034209432+0.0050683292708348475j),(0.9882283814459124-0.004809333634716452j),(-0.1598354629203311+0.0019274718180246862j),(0.9871362650724157+0.0033020937628877043j),(-0.16667359488107655-0.004958244431510224j),(0.9859960370700351+0.0026727256982555583j)
