Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,92632.40570861934,93789.78222795666,92710.21023631624,93912.908758579,91178.68213137377,93043.34679364016,93471.21719156652,92666.03740201601,94255.94319234198,94456.63445409882,93163.47897162173,93986.33571304876,93820.75502470449,93797.30994736272,92960.12366208833,93399.81170648933,94192.94807550541,93789.55729570247,93937.66030098157,94583.1284495418,94311.92875183461,94277.86101980224,93531.86918386079,93144.80716646118,93603.79865060138,92832.2140573424,93290.7862224975,93062.24944853169,93839.06831558661,93202.7394219505,94345.35355028686,93078.79862098968,93966.9531152067,93856.24187069482,93018.03015749778,93997.46642703246,92655.9184941718,94309.11991186503,93675.96657606018,94367.66706638024,95458.95691545143,92786.05325102278,93582.60448137425,92540.49931899499,93115.47005920231,94712.39101697785,92086.31630254186,93192.57703417956,92543.64410575552,92357.83366085737
200000.0,184791.9839515578,187546.9233713922,185430.02157369038,187877.13245132755,182178.59289382646,185632.2869377355,186453.40404948773,185057.06915448865,188151.62015268212,188646.16494082112,185988.8278939237,187696.99226793635,187439.86325593258,187585.0330407916,185170.12240233808,186411.1208164232,188473.4185904292,187290.67653765893,187583.36519524216,188932.47968350234,188598.32629932067,188429.24747821756,186701.52485882177,186190.4897736762,186996.52688087823,185406.85850457588,186779.62073971657,185547.33283331298,187425.61395654496,186217.9099345634,188395.30442338635,185929.8000211932,187786.65658896157,187656.51497813422,185647.989242757,187579.78535582722,185058.815880113,188640.7651573637,187215.2623298603,188631.2173285295,190828.28810286277,185146.6589332,186893.96445489652,184900.22700959313,185683.9026202051,189396.47101989665,184071.40974874943,186362.27855154712,185117.23655827792,184462.8522125501
300000.0,276166.9944287399,280895.09084385016,277649.57345141313,281506.1444340667,272392.5127534386,277511.21032776305,278821.2903053743,276764.1706171263,281604.3188707516,282403.672800746,278153.2186520541,280891.31431741134,280576.24125722714,280975.3776773179,276635.2095068881,278777.0244834926,282481.51333665586,280253.0124262589,280725.81362009916,282871.08944914944,282547.71062522003,282162.11814991874,279293.4570935386,278701.34421516827,279870.9480247319,277321.5085132572,279993.14334987826,277277.36932937324,280501.55701230926,278644.1557447368,281987.21443102194,278176.7121186283,281127.69310233585,281039.7726860974,277577.1471429258,280609.11194594327,276770.6386351144,282665.9085292605,280282.03466044733,282518.9916204465,285966.88707137393,276777.9623834503,279639.6247875441,276631.4108589618,277543.6201215778,283786.7406756238,275396.9973384099,279065.77065559704,277181.16034728737,275870.7820006069
400000.0,366812.6827103497,373649.6889143132,369081.30987042893,374567.76403027715,361561.0539425111,368765.1507879801,370769.0137779123,367687.649616935,374775.26751247724,375781.4335424213,369639.9901303426,373577.11418842134,373186.0375518495,373761.6482430147,367749.9769890747,370548.23543573025,375982.169866236,372685.5315553659,373405.60203684017,376422.94247072976,376010.2734181511,375376.43430945376,371383.31991020706,370483.40945500584,372167.4708557184,368472.9582528641,372588.11089328,368437.8367355529,373055.11246388627,370344.5177522791,375188.01280249126,369726.6431757297,373875.4981137523,373835.8153255301,368816.7385095378,373225.75723750616,367666.1018325975,376198.2093634701,372762.41002330615,375940.68881989265,380847.04384575156,367720.1415172785,371789.7982193924,367578.3651786252,368883.5254176148,377758.30447907234,365796.31138232676,371070.46614370093,368425.3524179899,366459.01819753135
500000.0,457198.92380480433,465918.75466166635,459804.38233786373,467098.35624019103,449918.95034290134,459855.10012968536,462811.20229176484,458128.14116528374,468066.85900377424,469073.17321254767,460800.4365210749,466054.42461872025,465522.9322070377,466026.3041917683,459257.5873472769,462123.05628558417,468976.9915349105,464903.54206833424,465950.9002660662,469843.81628283614,469081.657618489,468234.8931672995,463369.44372106256,461696.038282753,464142.9087230923,459146.90075374604,464506.663263869,459587.2389284733,465373.19238632434,461541.2620724127,468316.48092371307,460853.16355059703,466211.1319367468,466162.2994855911,459758.37087784725,465855.08467896574,458028.4947867872,469289.43511637126,464847.9402367755,469053.25383079675,475584.3456742625,458408.6979705459,463640.40703912516,457984.5569473283,460251.89837754995,471397.5536919244,455435.71307292214,462477.97464719886,458920.3692931124,456525.7836541619
600000.0,548165.458608971,558121.8622656428,550307.0886038811,559439.2457625776,538218.479412077,551567.5861601944,555710.3673466359,548779.4418813323,562058.6195745802,562775.2074206745,552326.6390995553,558884.6580244233,558120.3566400071,558167.3823351694,552139.4894993965,554204.5642099876,561746.2723777089,557498.4704147301,558940.1033573161,563590.7185036914,562116.8403886419,561162.0449003245,555925.9675712389,552868.5525319789,556357.2502314583,550010.9127329058,556045.4862792594,551586.6593384916,558017.1935812025,552817.6353900165,561900.7325320023,552186.3863853895,558610.7296473036,558441.8495941263,551141.0643577966,559145.4539005357,548543.8963016132,562256.0405913171,557037.3003414589,562258.3202927706,570426.3963384047,549635.232133236,555792.0383629204,548497.7758181917,552486.5953871956,565012.1823900817,544942.413051514,553754.955234042,549162.0077891381,546785.7455216501
700000.0,640808.0341428099,650934.4057495169,641439.1291429995,652197.2511709252,627663.8995583933,644898.1426202649,650345.771569215,640644.3027270491,657394.7695791874,657496.0017102833,645154.3183784276,652798.7026762752,651708.0936895536,650849.0199042882,647446.3661123718,647692.7920139991,654819.1415952062,651244.4278584028,653104.7977751148,658240.1123516482,655678.5093336273,654779.9162917885,649893.305358167,644835.9244477528,649591.6728696197,642030.8410290093,647835.4291057258,645467.3088337491,651735.0917528713,645042.8841762596,656583.0740783485,644627.9777316204,651776.3615214651,651346.3929494972,643948.9983905077,653851.951410861,640216.6196426844,655638.2283113849,650066.9013997124,656138.482796502,665704.7014130998,642438.8106973405,649061.5735626649,640093.5955985703,646583.4142713741,659083.4916692798,635341.8425561797,645680.8725051747,640022.9633202538,638285.730131078
800000.0,736300.2905755546,745173.1849023426,734295.8262721393,746144.5387148242,719783.3290010483,740874.1884675148,747528.8882896478,734887.0176925736,754635.0186596565,753826.5393868631,740306.3649307457,748555.9938720871,747076.2209603756,744892.0701514261,746063.1300345244,743520.6967151198,748884.7641050714,746952.8752507542,749184.2538693456,754367.3079856355,750433.5172873973,749793.7060811946,746114.8417034876,738611.5983438005,744710.6360049606,736324.8973874426,740749.4885139497,742236.5557680952,747321.6665292984,739236.5343739195,752984.1622446381,739205.2455251748,746512.9632369388,745683.8415171547,739248.6848301805,750675.6222674277,734221.8219956345,750104.5295411026,744784.5550832228,751345.6664157915,761760.1565219722,737934.2541650817,744338.3456419676,733933.9870942029,743503.8327881527,754173.0619291706,727929.3489928757,739231.054248682,732635.7637641843,732255.7075054103
900000.0,835632.8556872563,841632.2903784137,830037.6380677475,842069.1464842191,816216.2629757544,840308.5437590089,847770.3014720357,832611.7913858006,854085.1982593974,852184.7208952646,838671.2917493474,846761.917531169,844893.200642443,841114.1799392023,848409.8604557499,842431.980498099,844657.2808261681,845280.2897939052,847739.5002568904,852400.0050125556,847009.3109226099,846837.5782112327,845222.8205898108,835199.3029370737,842471.6947478324,833947.471552245,835752.6193515095,842613.218028712,845432.6803538309,836370.9170357373,851538.8775389041,836861.1230136326,843558.7386106912,842235.6619441911,837956.0619258116,850068.4950048544,831685.2360770839,846314.0135893575,841971.761067842,848453.090527476,858855.7847055667,837063.5049793212,842386.545762565,831153.1877225223,843916.2322980475,850796.8322036439,824068.6274657573,835400.1244578725,828210.2915572547,829881.1706338751
