Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,93277.27496246297,93400.65217845027,93616.67296119347,93644.29229794927,92566.2808780506,94822.96221303623,93979.59731473368,93569.16443732056,94353.4337081876,91575.86383819244,92859.73592760057,94539.50178664547,92585.79404307633,93282.71919019397,92425.10386719547,92848.76789120428,93297.505108901,92116.66374118904,93310.16082321748,93818.07201437141,93631.18998165481,93062.52061389793,93101.58434778561,95105.35411511168,93368.73585592273,92108.27355675904,93115.92849896007,93968.5904763741,94171.53102281946,92768.80317013495,94334.15796999821,93571.34498178019,93555.50394412687,93063.81650858141,94039.34704687128,92096.8662089818,92817.59335840234,92743.4646913877,94129.24764058237,94385.31369482387,93268.53927119904,92878.9793023758,92444.85549563401,92905.50964790855,93334.98661157527,93481.64174853801,93021.83760991576,93503.16185843087,92680.09228034776,93538.34267856365
200000.0,186140.1558921756,186491.41384051254,186719.6469178085,186718.24923156886,184387.86356469468,189483.68962002927,187733.0711122132,186716.3236714188,188250.85774958183,182242.04556509425,185003.4232647557,188911.26536556406,184373.3942387364,185992.7791205452,184264.61593124992,185056.8613241185,186261.84890751628,183551.51429625487,185974.37011445343,187225.33057271075,186705.9134144805,185740.3575093207,185504.0486179232,190025.1353795012,186172.91070240672,183452.75901169766,185538.2162083975,187524.0138049897,187939.3458628461,184752.47082394664,188201.42141641007,186582.99001107886,186656.99558764746,185415.09047050696,187684.00662077471,183418.12017605148,184951.38215428856,184762.41139003733,187778.45582061703,188531.82518452161,185944.58409572762,185481.63446197574,184105.41562942593,185393.8919338302,186426.39017455274,186520.0435265517,185443.7994720776,186997.48024532016,184725.31993942734,186475.7599880663
300000.0,278270.94298631244,278909.0346359263,279173.99813550164,279216.4329521009,275395.5407425325,283751.3899256282,280930.9166412948,279202.6313734729,281734.63318781625,271896.6814263046,276405.5165249034,282842.6824068928,275441.1417634941,277982.1454791779,275199.6275788207,276468.07843121816,278534.08616005693,274029.0665420606,278015.64759963244,280011.53612474893,279201.139402715,277667.4314771011,277272.9166222208,284598.3906303589,278305.4356006196,273847.58968867536,277493.6754580261,280487.69195063034,281173.3416248772,276150.91602784576,281704.3430550269,278971.07886085217,279075.97393792716,277126.9719365307,280756.01781959244,273782.7489660339,276295.3168806091,276016.1828234445,280931.61597249785,282194.1317476768,277915.4933679699,277325.9073561387,274937.7346064685,277089.4901770757,278846.95751223725,278865.5961727416,277083.4965484005,279977.43644056,275933.6853523424,278806.99116588285
400000.0,369667.7379082777,370576.1742552081,371151.0434138987,371438.9141609604,365917.89770335006,377564.870196275,373481.9404304467,371085.13082291983,375082.89211767283,360909.64070343866,367413.0695156824,376248.15091852273,366257.6974262839,369442.5558453423,365299.11845166795,367295.30765930953,370048.5440574031,363695.80602842727,369789.4308674131,372249.3244905658,371397.39696425037,368797.0451752417,368822.2917717577,378818.99450131383,369984.9736665404,363538.56643723365,369530.7938176149,372951.7286329452,373997.27536443213,367525.94542834186,375175.3558334115,370982.3502885328,370888.72180789436,368623.5769335571,373341.61216572643,363446.46322375257,367120.5003615522,366846.30082222586,373833.7656060138,375340.7852004928,369405.8177301272,368238.8263296035,365305.11274616467,367952.9569558436,370443.0607377442,370574.72924373945,368118.199620417,372140.0149110766,366483.99469028594,370843.7931282478
500000.0,460703.5744657736,461779.7479748953,463138.744258685,463966.8572670304,456668.8165137804,471086.6748729258,465607.3994992018,462757.54952571046,468777.9575552159,450115.8460393935,458725.2350491751,469295.02921887493,457637.3708275827,460914.181223865,455071.8252445252,458132.6623347317,461110.0566550106,453155.2626695234,461952.51395021967,464326.0704677366,463860.5145664482,459475.86315690726,460872.9201335604,472869.40076135047,461758.4006956997,453215.67859170685,462444.7627797027,465304.4761943303,466802.5410190322,459731.12639860564,469130.27397284564,463166.29886108177,462511.79803663073,460637.1271199872,465816.6453666213,453110.8985425892,458072.81906629616,457958.5989860334,466972.8636421998,468206.5462323657,460979.8566251679,458465.64679655404,455960.141727025,458354.4015946054,461435.2625819807,462052.03374487156,459101.2540503125,463526.7967636613,456957.6444326682,463189.7376929419
600000.0,552098.2652926836,553159.7529822628,555881.3532519495,557575.6169451778,548662.1287396778,564696.9742775984,557834.4143516023,554912.6414704379,563424.3874069599,540734.1018941158,551303.8116637168,562402.0488779582,550630.4289503248,553219.5535343793,545426.9326148331,549890.4654429485,552381.4425311739,543414.6954221686,555368.3809593964,556901.3490047386,557359.8504515811,550425.3361411997,554347.2890802942,567103.6551304761,554432.3237316251,543944.4898970156,557146.6774478868,558185.9178864795,560197.6173053778,553782.3699323463,564175.1567684794,556300.8992372053,554659.4802984447,554102.423228375,558802.5807654762,543851.8876085081,550096.4558808039,550334.84169332,561004.264297716,561275.6969809025,553472.2193331571,548674.8879803575,547955.3029764818,549051.9653838356,552423.9237358528,554012.295414975,550899.8869218471,554569.1077500617,548279.076969701,556651.5792950512
700000.0,644822.5885910185,645626.5271374704,650262.2085855904,653096.3338601892,643065.5490619366,658933.4470760219,650921.4953484914,648441.9199163527,659627.5750778207,634225.5284186169,646224.9143752704,656177.4867212985,646352.5184206497,647338.3408085293,637568.6149436517,643669.1287393463,644799.6494851602,635768.1799308549,650958.13415277,650804.8768647364,652734.0723841282,642651.8579832696,650208.8675134047,661985.847909805,648946.9925884496,637035.9757709679,654479.3392010957,652386.3328905329,654905.3088606496,650669.217399618,660877.4631575906,651263.877812159,648239.5034966813,649995.142330384,653066.2952558374,636986.3617014093,644297.3228301839,645084.5434903457,656629.0360735594,655206.5798888066,647860.1870673893,639883.3425969299,642492.6206428547,641099.1559290781,644317.8667634169,647379.2768179146,644571.7855861095,646045.2241989678,641593.5874027442,652098.024502623
800000.0,739944.1134893878,740219.6060672753,747133.6079492498,751229.3692455259,740981.0865101853,754388.8086658148,745730.1088925555,744280.2425785074,757843.85313037,732061.7290693417,744462.4879701566,751309.4965012987,745737.6713835605,744223.8159574362,732825.7496171556,740567.2614565195,739432.8469638088,731609.8775428318,749495.2095388803,746883.2707295363,750707.5181636225,737296.8243171402,749240.5027529455,757994.8343849486,746193.2626354743,733840.8495285184,754981.1064512319,748696.3640691712,751616.418950179,751098.0198441405,759614.4038638781,748851.6066363828,744193.7724641566,749107.9336217098,749372.5113085762,733863.190587685,741739.0154171273,743226.3544171684,754434.2001982231,750709.3587184381,745077.1348296754,733320.2277889787,740696.0871169015,735691.5254620988,738203.0471201291,743128.2980158672,741179.368236047,738971.736379244,738078.2765642811,750267.4980601968
900000.0,838405.2249177756,837903.3511066894,847093.7922863348,852320.8230213132,843131.1582375877,851577.1851777816,843046.5254581165,843191.818817069,858223.5212552225,835340.5696546332,846594.4388423128,848417.9629111716,849211.0580697295,844554.5315488111,832385.0289304701,841405.3400826949,837271.4267454509,832135.6177925528,851351.2927373381,845797.0995063138,851666.2205595106,835414.427157904,851770.4391162914,855507.8983126881,846769.9658033397,835425.548833623,858632.2734879002,847712.321835986,850808.3278532065,855188.5301059077,860425.3807194243,849549.3645811373,843279.8753712066,851772.0392409187,848294.1397737749,835535.013091026,843154.7123689711,845385.8917203441,854710.1213212819,848385.326758007,845761.2793095609,830220.4881706832,843283.3832956641,833936.7543823163,835147.6187319781,842066.7976953614,841527.1955593745,834436.6873065148,838661.9714219145,851533.8974489074
