Ip,0,1,2,3
200000.0,197944.49161444238,198817.40724321915,176024.97036735553,184431.72655542108
400000.0,395575.6325704464,397363.7010460974,351570.7540854038,368515.3354119792
600000.0,593316.7456083765,595876.8834666678,522648.9100002653,555736.5823105575
800000.0,792196.3860252927,794705.674421237,702840.8820707493,757465.266309366
1000000.0,992869.1932102902,994157.7138509188,916666.4839363127,981061.1378135029
1200000.0,1194734.855144247,1194126.383165393,1179587.5964902055,1215122.2903055153
1400000.0,1396190.0760506296,1394077.663791452,1447010.7701053056,1435637.2026631965
1600000.0,1595943.3689623438,1593470.3360257319,1666768.0902625446,1634307.04687525
1800000.0,1794027.1033246461,1792203.1051950348,1849280.2253392586,1820069.3571343417
2000000.0,1991500.324979759,1990635.5175933759,2020069.3637858778,2004178.2336747274
2200000.0,2189303.0239476077,2189184.3834173298,2194690.019142624,2191852.99467169
2400000.0,2387446.9073566184,2387923.05675093,2375782.2144676237,2380765.2891960884
2600000.0,2585314.0193944927,2586594.0792589732,2555834.995309617,2566404.701238096
2800000.0,2782702.742661385,2785012.7581066624,2728711.166413865,2749814.7305899477
3000000.0,2980426.4400572614,2983408.3762909235,2899742.3699664637,2939847.096860319
3200000.0,3179747.3378986125,3182303.9311753185,3087219.245762899,3148735.099534447
3400000.0,3381119.5641885875,3382019.21175859,3318132.181547103,3379548.8428647653
3600000.0,3583468.743233804,3582285.3628802584,3593428.257780707,3613282.351947563
3800000.0,3784921.72011591,3782395.2443254804,3849455.7905170796,3827352.7537447447
4000000.0,3984371.0725137736,3981782.2432814105,4054247.7494410123,4020635.0064472323
4200000.0,4182212.4177618115,4180447.4841033095,4230288.848722204,4204708.902369269
4400000.0,4379638.184019826,4378831.455788592,4401067.614378368,4389548.2648500735
4600000.0,4577416.757816468,4577325.842766187,4577797.498065884,4577758.533138373
4800000.0,4775386.0654238975,4775950.995809531,4758918.12190501,4765629.387562377
5000000.0,4973078.062483705,4974506.137008355,4936295.166212148,4950248.761790491
5200000.0,5170688.650489009,5172975.451893319,5107776.909913695,5135755.375472841
5400000.0,5369216.159848613,5371685.932604776,5283921.725645436,5332901.213027184
5600000.0,5569511.464715467,5570996.190711957,5487431.759419259,5551404.550884516
5800000.0,5771169.164416864,5770834.993097111,5740078.554021477,5784796.727614719
