Ip,0,1,2,3
200000.0,197944.49161444238,198088.51184328023,196157.677577208,189066.80488175142
400000.0,395575.6325704464,395928.5803972031,395498.1539423343,390735.66524992563
600000.0,593316.7456083765,594148.2922906001,594333.7582460598,593318.8408981117
800000.0,792196.3860252927,793577.1415988738,790514.8681663441,787152.4053910767
1000000.0,992869.1932102902,994419.4784022134,985484.175289616,973575.9610667679
1200000.0,1194734.855144247,1195812.3854769652,1183139.3184481224,1163565.3359278203
1400000.0,1396190.0760506296,1396409.158942327,1385972.2626231043,1368563.7663902955
1600000.0,1595943.3689623438,1595490.4411143113,1591899.0430233707,1587937.136484001
1800000.0,1794027.1033246461,1793451.1496755756,1795685.1605527196,1804508.060813461
2000000.0,1991500.324979759,1991238.1697927248,1994267.1778140238,2004477.9554070164
2200000.0,2189303.0239476077,2189400.080475878,2189366.5027735354,2191744.559138115
2400000.0,2387446.9073566184,2387696.77643934,2385012.4918162604,2379029.035072687
2600000.0,2585314.0193944927,2585631.3446467035,2583445.9617263116,2575928.508739765
2800000.0,2782702.742661385,2783297.2318469663,2783095.065434475,2780510.1210556636
3000000.0,2980426.4400572614,2981571.391516245,2980735.6039407,2981068.5543428576
3200000.0,3179747.3378986125,3181378.298818621,3175660.9238117663,3170952.832757962
3400000.0,3381119.5641885875,3382696.072308094,3370964.396218582,3356289.51238906
3600000.0,3583468.743233804,3584331.6150009655,3570807.8194512306,3550160.4729513726
3800000.0,3784921.72011591,3784844.180862858,3776148.904937238,3761826.434797265
4000000.0,3984371.0725137736,3983716.0662408527,3982845.073228102,3983970.551862414
4200000.0,4182212.4177618115,4181566.496445082,4185385.8498216574,4196586.113789718
4400000.0,4379638.184019826,4379342.043614064,4382359.068944128,4391472.237653644
4600000.0,4577416.757816468,4577420.228529783,4576955.417443706,4577301.519464715
4800000.0,4775386.0654238975,4775504.81148108,4773215.339385834,4766928.650479004
5000000.0,4973078.062483705,4973334.694628292,4972270.300141196,4966518.68140669
5200000.0,5170688.650489009,5171338.2362699825,5171699.551724382,5169981.744449407
5400000.0,5369216.159848613,5370417.636133698,5368799.418307272,5366360.429030683
5600000.0,5569511.464715467,5570999.875410214,5564068.378323642,5553955.322554107
5800000.0,5771169.164416864,5772332.838400451,5760905.1183766015,5742170.625297736
6000000.0,5972549.94028869,5972929.664779719,5962134.312228381,5943172.210613772
6200000.0,6172162.915991507,6171862.448112162,6166640.960450353,6159653.420003038
6400000.0,6369969.260630967,6369534.316556512,6369901.846730206,6377017.850352566
6600000.0,6567220.941399024,6567152.375906334,6568659.844141503,6579201.423170152
6800000.0,6765122.925114828,6765504.712629507,6764041.652029859,6767124.111776086
7000000.0,6963681.439068473,6964246.29537551,6959806.978842804,6953165.323813349
7200000.0,7161885.3513622265,7162429.213113711,7158365.968523456,7148815.977458292
7400000.0,7359073.601900903,7359750.017280808,7358347.388202487,7354656.674808912
7600000.0,7555994.895868568,7557151.725181345,7556328.839199972,7558580.231543631
7800000.0,7754385.398661816,7756112.28935166,7751152.628777796,7750607.253600889
8000000.0,7955398.262414338,7957242.74448547,7945739.957967976,7934669.651143404
8200000.0,8158286.746468485,8159500.692316403,8144684.583626385,8124099.719702423
8400000.0,8360783.900557174,8360951.561256992,8349815.653262539,8331285.194036704
8600000.0,8561038.984340964,8560418.872404184,8557448.540787624,8553915.924060285
8800000.0,8759037.044348445,8758270.335395077,8761409.776756117,8771680.473592764
9000000.0,8956132.51065958,8955698.23937235,8959200.745705511,8970783.194814648
9200000.0,9153535.060621558,9153475.161090605,9153566.2019654,9157089.44381273
9400000.0,9351348.089815807,9351449.89433011,9348963.329473639,9344180.060652629
9600000.0,9548989.45922063,9549179.85702139,9547415.248315498,9540989.410380194
9800000.0,9746382.436930958,9746874.961049521,9747080.08891415,9744383.81166499
10000000.0,9944453.699393006,9945478.49941894,9944920.69887597,9943006.182040574
10200000.0,10144274.34761481,10145688.505476115,10140570.711696543,10132099.293168006
10400000.0,10345687.896436451,10346927.582875466,10336849.369056199,10319061.85995583
10600000.0,10547009.130652612,10547541.20494315,10536716.490365043,10516353.102556592
10800000.0,10746451.656919926,10746277.63412482,10739810.971475815,10729596.937610662
11000000.0,10943828.748025134,10943478.146711776,10942302.888185304,10947231.849826472
11200000.0,11140636.032322545,11140691.32130817,11140931.666058274,11151561.503974618
11400000.0,11338509.82527104,11339138.93592564,11336392.352085698,11340235.671475774
11600000.0,11537583.06287944,11538491.868820706,11532200.499411834,11524867.926865458
11800000.0,11736376.796024028,11737229.897324733,11730865.016831946,11718681.88960142
12000000.0,11933518.916727323,11934367.639596768,11931128.04761467,11925235.687724147
12200000.0,12129488.896561518,12130714.420385491,12129335.048054699,12132778.4316165
12400000.0,12326511.272146389,12328353.603901215,12323904.941797717,12327712.892987644
12600000.0,12526693.991782166,12528829.091618864,12517630.020445483,12511099.917616323
12800000.0,12729953.655756358,12731580.109123677,12715556.654823603,12696122.001466557
13000000.0,12933719.22721229,12934212.480056839,12920407.196335139,12897845.366850711
13200000.0,13135132.213395663,13134599.4311547,13129007.557754312,13119560.019454109
13400000.0,13333449.0358265,13332562.704082754,13334510.983252048,13342552.220854962
13600000.0,13530090.48838001,13529481.860725608,13533229.356949577,13547013.196277132
13800000.0,13726834.15292577,13726676.477142818,13727373.902257033,13734675.889913714
14000000.0,13924237.858299213,13924321.644531056,13921763.343032293,13919394.893253122
14200000.0,14121680.824519753,14121831.531734485,14119302.4367014,14112730.289320223
14400000.0,14318741.26270612,14319098.788150653,14318841.549812568,14314985.754145062
14600000.0,14516187.843258513,14517031.216415005,14517188.48700232,14515405.89336914
14800000.0,14715335.662882382,14716654.682317745,14713192.811687663,14706261.23310976
15000000.0,14916383.135396603,14917690.772069478,14909047.50257749,14892409.920143852
15200000.0,15117630.079374662,15118325.156349415,15107704.96030175,15086154.9703555
15400000.0,15316864.880096076,15316818.039894475,15309373.577657519,15295717.100524552
15600000.0,15513602.758802874,15513296.41132823,15510852.831059916,15513010.185663996
15800000.0,15709610.31686042,15709713.15117288,15709009.64302247,15719398.186741697
16000000.0,15907196.994648859,15908013.333107395,15904280.141216353,15908921.608096726
16200000.0,16106883.08756182,16108150.793451501,16100015.940805618,16091920.953799443
16400000.0,16306678.341801753,16307934.415386051,16298788.408006476,16283178.897490555
16600000.0,16504109.283287082,16505253.416415328,16499327.977767624,16489755.528274087
16800000.0,16699009.950313602,16700401.901371796,16697626.837398991,16701267.775051074
17000000.0,16894043.48378339,16896054.540828913,16891667.40086284,16900134.806324337
17200000.0,17092614.995184395,17095087.44759769,17084205.15641033,17083525.38828016
17400000.0,17295873.51735796,17298002.903700188,17280866.657119714,17264045.28069626
17600000.0,17501228.26408988,17502163.026634473,17485392.57683523,17459077.81839584
17800000.0,17704449.21190745,17704081.749514453,17695169.771255396,17678034.246054213
18000000.0,17903478.230914187,17902480.257256113,17902518.030588914,17906281.769927256
