Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
200000.0,198496.1168643843,197042.74785821192,198550.8723726248,197710.24096078597,197323.06855394936,198422.1289904237,196437.44814326172,198375.53253709053,197675.35737420473,198725.06287819927,197852.74263255295,197718.44898301142,197764.80865708587,195903.7669702061,197537.30610084196,198643.30202348763,198603.38781395194,197173.1283781782,199108.79553501587,197667.6799199577,198667.48692332758,196925.19803648803,198335.7110526311,198829.50238908853,197698.80422400925,197320.13211976708,198112.0241487203,197799.80294176977,198154.75100605225,197206.45396087226,197273.19588586636,198896.38900040754,199072.65095950142,197847.83725984252,197978.04167400865,197263.35091765958,198276.2245316957,198385.88022854272,198026.22199091225,198544.97294489015,195442.27412935864,197569.66932872383,198274.12159278913,198509.0276214381,197633.01234354897,198195.68814961656,198271.85490593046,196373.80043311333,198369.6142718428,197802.71740136982,198515.3824607396,196822.13563287997,196426.29281713918,199077.20783771912,198637.6004557116,198216.0820067297,195960.05338655878,199040.62678286483,197706.84637625283,197816.3816962532,198302.6863654722,198009.45134747014,196229.68489609883,195661.726769473,197683.46779741484,196521.16630686584,195581.9060865166,198829.4173299411,198325.36494465076,198950.24972774147,197453.59351828296,198086.01913912932,197920.0763820537,198347.15344945094,198753.60491915426,198550.75519929995,197708.41467330584,199017.06425025855,197726.2795101262,198501.5031023863,196582.78920430865,196950.71392271982,197967.17618724453,198473.89759430857,197948.45576531536,197881.99374012416,197201.26392498158,198944.69094464096,197139.7049651808,198941.92526524584,196538.9187750638,195868.6244748088,198389.1833569475,196399.44453501332,197343.43029970815,198557.64304043623,198390.60627695892,198943.22005669406,197165.81392405854,197591.78335470505
400000.0,396750.3483052326,394016.4579951058,396835.92836902227,395290.3534957271,394314.81769884937,396574.3675585156,392723.2806183168,396459.5747059037,395140.67107051035,397279.2583619357,395386.6349678625,395665.6398870547,395495.1548075556,391433.1743256776,394742.7302097805,397024.7855708238,397022.33581892663,394711.6303928985,397962.80035942275,395034.0865992138,397109.14337711694,393890.6693577438,396463.1511308906,397407.06559505843,395071.49781694723,394327.39611891576,396068.6675073627,395370.4624117476,396083.0247239397,394249.6127493957,394438.4079893678,397615.9780832895,397913.47999240924,395795.82915581943,395650.54163396533,394278.93913530547,396833.7091384828,396476.55738779757,395744.95999304304,396892.8284912115,390564.84854087007,394830.1703342238,396268.4750761645,396841.51542853157,395015.6576772211,396113.100488825,396259.354934628,392484.7855242692,396447.2570360505,395416.2224990549,397153.741886846,393818.19915444497,392475.06757989957,397947.66645284294,397228.91047618847,396139.64595935435,391575.9211074571,397823.5976960569,395095.2985041302,395504.93225984793,396340.9745534191,395814.7958725445,392077.26515703567,390963.1412467736,395455.7951005632,393080.250120771,390763.6505870813,397442.0594012166,396585.72070902115,397658.58418942324,395073.1364370474,395901.8695526009,395637.7000388576,396536.08269266394,397256.3636091745,396814.54618007713,395114.22873846034,397770.0222729618,395290.0037818414,396905.43771721376,393490.3567889127,393552.131450565,395619.9857980445,396667.6804829634,395581.0757765827,395589.36480297695,394090.93140994565,397677.1975078137,394222.8228771306,397814.8646747271,392704.8060615773,391787.9457822344,396533.69820208725,392811.08562930924,394551.9759746444,397061.28838681366,396636.5645542763,397754.07694403833,393997.55853076436,394996.2731950017
600000.0,595280.2855728093,592076.0672795313,595004.6991935159,592335.0517148002,591537.8450503772,594586.972078275,590108.5480991746,594658.4309880916,592176.7636415049,596167.4503522856,593012.8669033137,594835.7911707867,594123.3015598292,586679.8756387426,591937.2735049025,595297.6815101622,595798.7755413768,593868.5935050689,596795.9143274475,592705.4920478931,595375.4094515837,592168.3434172352,594311.021914708,596129.7374256364,592445.2508389897,591109.3542772833,593623.135001669,593458.7470897277,594431.0483356796,590684.4574097577,590936.9600586036,596588.4840880948,596859.5778738357,594774.7904301742,593230.2307776067,590854.5323996848,594908.012228449,594629.5123288544,593419.0842835074,595598.9270146106,586534.3227804563,592385.1395072725,594127.5883649653,595580.5815084463,592904.3233018813,594278.22623095,594125.019614999,589405.8272752528,594635.7105036118,592593.5692788181,595424.4357169411,592359.5970872523,588498.0960842264,596738.8238263914,595518.7773842781,593971.8914117822,586764.8015786842,596579.464640188,592397.4394055819,593923.0972346397,594199.7233569325,594135.9232680211,587835.064061412,586860.6098191136,592520.0510260514,591084.2885923799,586267.1095747681,596277.0353600902,594436.0951600542,596283.8095725263,593972.700957416,594029.2782705288,592971.8524827989,595219.1442354684,595931.4412311796,595138.4752702428,592805.4529645331,596532.6855675309,593546.4884966796,594975.2916332165,592231.7073139772,590382.0045337593,593346.7815083434,595011.7093931576,593265.1945718784,592859.2303056023,590719.4851208545,596291.7732480741,590549.3946916007,596538.3510768134,588877.8016331733,589389.7169706903,594471.7738611039,590664.6168394798,591141.301264658,595234.7128882429,594548.2771178543,596412.9756636827,590672.9702595893,591916.289513811
800000.0,794614.4133073913,792562.0091319737,793596.5562245596,789822.3320654805,790490.1898845694,793096.6725033161,790489.4799408424,793659.9474248257,789887.8893915868,795654.2214984098,791833.8433610598,795664.4922124468,794412.6310667167,784210.8262252782,790470.5836842848,793928.8435408453,795304.04820066,795288.4860625536,795724.1815006669,791889.1012791423,793872.0712728277,793034.2754540481,792505.607569029,795302.8264343016,791045.3675496954,789151.6607498653,791497.3280977128,793074.0845026715,793948.7663917952,787891.5835473848,788032.7281591637,795967.3299577958,796016.2776741837,795304.4853665965,791717.6923322701,788436.2893160665,792544.1348964557,793532.3551556333,792016.5817021813,795092.4154892106,786199.4348253243,791523.5144988592,792608.3895024438,795152.2315105192,792458.3012103761,793486.580630976,792631.9559293772,789229.7709724241,793628.0441423096,790320.5821759058,793400.1869344374,793614.2541139578,786699.0673545082,795531.0683098844,793707.5563026349,792526.3355646998,784012.4349296712,795478.178948249,790825.6339296241,793926.3887808669,792596.8208576136,793796.0800711989,785851.9942479007,786092.0793318554,789599.6979402804,792112.4145050369,784934.7303315123,795589.741158321,792331.4912620261,795043.9678257576,794865.67566104,793330.2433359643,790842.9852877838,794912.8222082879,795136.538743319,794080.3153268066,791962.0185058329,795498.2315520991,793464.6762929665,793077.4774413506,793944.9656095532,789230.7407076726,792162.1663847892,794106.1410284908,792031.5264230422,790602.508791992,788655.97325787,794974.4375400083,787413.9122758616,795114.4399955723,787176.3131048909,790720.6907129977,792834.9845846937,791663.6273375226,788357.4280278751,793349.8591240717,792634.1347789008,795005.1022912534,788813.1745257463,789487.9315471384
1000000.0,994846.5997443299,995342.0454994264,993177.7039113196,989305.5563118168,992054.9755600134,992779.3112663857,994116.4621311256,993849.2792889202,989739.7133070799,995600.7471253312,992584.8897181714,997339.8488365717,996022.9437893605,986478.4147969763,991404.0051666141,993420.0334166448,995447.0078433953,997923.4183498335,994864.9217877281,993154.7507685216,993161.928487432,996094.7099674031,991930.5121239584,994992.0047474337,991819.3936946196,989912.1615274368,990845.9195822388,994408.3086220048,994739.5696703541,987827.369250888,987695.218952687,995620.9980562343,995352.899582108,996785.1375477472,992004.5086495051,988764.3426934459,990774.0591440287,993631.3110548409,992336.081788777,995316.2775994497,990847.4739905464,992890.680033616,992469.4959507008,995452.689660862,993990.035308638,994055.5433226755,992526.2519586409,992668.7402420127,993816.5289437649,989990.0432473726,991876.1521931392,996901.09434004,988870.4617673253,994521.2908648067,992484.4812904447,992543.8133264597,985903.6369882936,994684.6238693008,991429.3788956841,995390.2250517706,992326.3268313984,994856.2033729886,988130.105195201,990144.8358320118,988406.787971943,995848.4448726894,988669.7757765013,995337.6868857035,991282.8760578475,994224.0649770661,997039.606076244,994102.1169643251,990508.6806305926,995491.4759109899,994947.4892848772,993988.3295247024,993154.6602985607,994799.6619156058,995032.1805356117,992035.4527811678,997666.2481495044,991223.380069858,992754.0508430587,994229.9979268874,992608.6920295402,990161.442139314,989476.5819676069,994049.1642715754,986959.5657602759,993871.088488909,989274.4243224728,995553.7106517456,992394.2044339338,995578.8920314251,988079.5699465252,992178.8109116799,991794.5617659326,993877.2442846945,989893.3489304808,989288.4282254732
1200000.0,1195386.8200650504,1198444.0640152094,1193688.628215542,1191297.4008870062,1195259.9810030644,1193576.5198508566,1198685.0221481135,1194766.2698557405,1191978.8536633307,1195489.6429737555,1194661.3412612078,1198312.2078893934,1197530.2919529139,1192909.0949642132,1194182.2640511296,1193731.8372275876,1195626.2712671314,1199664.530825914,1194195.3108554794,1195558.781891374,1193351.106971946,1199153.3835952582,1192774.947003026,1194868.9361090548,1194246.8742336666,1193120.8634147565,1192046.0235912332,1196338.4576136817,1195927.9016672461,1190954.855499309,1190555.5321087376,1195186.0715267102,1194690.1983578727,1197808.657686206,1193805.6626662929,1191957.454139133,1190651.9201710739,1194537.2654532997,1194026.1789820266,1195633.4845828954,1198027.4539757082,1195520.4147798743,1193590.7361621857,1195793.3349907692,1196314.4611152739,1195301.5932494204,1193666.189458212,1197694.1521399254,1194741.9748255885,1191918.037697058,1191612.751680117,1199830.718020433,1194145.8213459868,1193815.4626300859,1192344.788616672,1193809.8244049752,1192148.637285224,1194159.731594276,1193825.1917392528,1197023.7331522016,1193359.4891922262,1196291.0069159197,1193852.2224462144,1196986.2762490888,1189954.9413969407,1199759.4977199894,1195800.2317027368,1195130.4938730528,1191834.277930426,1193856.980838443,1198692.4559543226,1195548.0040195624,1192210.386701176,1196119.92674921,1194978.9733987157,1194530.653535971,1195478.2538003267,1194332.5475213942,1196937.3992636937,1192292.8640097212,1200710.0196145643,1195268.8050877862,1194580.1930523824,1194915.7171028715,1194480.6983132954,1191889.436111211,1192939.3113534574,1193630.3261333476,1189983.5182821257,1193145.2367605087,1194281.6413619404,1200783.9797435147,1193204.6304529628,1199803.7351762506,1190856.671438812,1192220.6326157015,1192383.936007045,1193289.0013816704,1193480.0417635622,1191653.1110859006
1400000.0,1395368.7388163453,1399579.5572160902,1394314.0618508684,1394335.0451377872,1397732.7187679934,1394527.3326282033,1401027.171636522,1395336.3683128303,1394940.6413154292,1394830.6850333754,1396346.1727485852,1397597.790600247,1397564.1791387585,1399377.733194477,1396708.5928512372,1394158.2273027094,1395187.8186820245,1399135.1106084906,1393530.945995555,1397181.6015285745,1393827.8423190208,1399973.794094696,1394100.646106587,1394433.696995438,1396428.9758763772,1396485.7370735416,1394018.9825893117,1397211.7765392305,1396280.3787697551,1395181.9856782206,1394710.1233477076,1394355.4877913692,1393835.459406447,1397322.0317277373,1395590.9288626192,1395806.7284767549,1392037.6006852014,1395185.26077591,1395601.7194229048,1395306.2893839276,1402996.8027024386,1397365.3007758812,1394825.7777397896,1395428.0670840899,1397549.382630016,1395958.812610808,1394894.871927029,1400861.2208557623,1395322.7675857935,1394625.4519152923,1392442.1986782386,1400280.8312238653,1399008.5138467713,1393275.634386502,1392960.9760978457,1395085.8967138024,1398779.1878634149,1393638.1680186514,1396146.3082613507,1397360.4419277557,1394613.9762328595,1396732.8928481808,1399257.5385366352,1402096.007459044,1393164.6435385158,1401115.16431224,1401651.138854882,1394522.1565940112,1393296.9591571232,1393607.1933221149,1398431.339018765,1396286.7562077444,1394565.9929566353,1395895.0917502006,1394645.922911839,1394841.943349742,1397059.922894308,1393792.8294915687,1397551.0601232713,1393290.655410277,1400938.055496089,1398515.5485226363,1396064.9608197936,1395216.1544947969,1396050.0345039628,1394422.654436685,1396619.4763819014,1393427.27786895,1394538.0038260908,1392885.3960386976,1398823.8902023747,1402903.9915831094,1394317.239553076,1401414.8610150383,1394812.0016814766,1393046.509943505,1393638.3310739223,1393083.1858247498,1397051.9801682748,1394870.2814808579
1600000.0,1594358.569261308,1598051.1920285732,1594115.5865805584,1596002.748872212,1597687.1236001798,1594510.6513334515,1599825.801798472,1594745.3202058072,1596291.0649392977,1593557.6842174479,1596217.6701861713,1595513.1637003499,1595917.2514319797,1601665.5756388707,1597062.2418154858,1593871.4084596438,1593955.9441731125,1596721.3288706606,1592669.2305705089,1596725.4831152367,1593711.302180536,1598121.6917229774,1594527.1278597491,1593424.3490916751,1596637.3852795875,1597535.1486418128,1594985.3083298001,1596219.3254000586,1595223.09773494,1597398.0240386194,1597065.846024482,1593126.1762959762,1592742.3664976305,1595445.0473515433,1595807.2681206963,1597481.4541994845,1593451.4645838602,1594697.381974504,1595640.9603932987,1594098.7728878986,1602933.650675974,1597004.3067758305,1594900.2748044573,1594160.6860942033,1596688.8916536304,1595220.4618320244,1594947.9638462064,1600283.9336355887,1594736.5214895867,1595917.277363017,1593224.520573785,1598109.913748482,1600256.6512939718,1592605.9179273222,1593330.3512346793,1595093.119629046,1601415.3061242725,1592836.26684051,1596551.018179429,1595963.7648716916,1594787.725719172,1595600.643717445,1600814.5056685633,1602447.4353906966,1595460.1950826503,1599268.8562720509,1602650.1996711995,1593375.514315984,1594166.8241720034,1593021.3078163692,1596362.3662232314,1595494.1553576912,1595591.7889605227,1594580.8561398748,1593642.0665425356,1594223.87150357,1596615.5448713982,1592921.6249109688,1596275.321545643,1593806.5231597794,1598449.8728313344,1598759.8566406698,1595886.25939107,1594476.3889675466,1595939.8859872937,1595661.2557478314,1597856.8255542847,1592947.0108520126,1597268.601737357,1592616.8085838265,1599889.0994511275,1600992.9820344972,1594495.844162641,1599633.8182247337,1596984.7420644613,1593527.5760139928,1594194.3207064278,1592754.5157408572,1598055.2029405762,1596442.3081324135
1800000.0,1792647.424455625,1795001.7411128667,1792815.764879264,1795041.7323476698,1795296.833640218,1793182.1035029867,1796308.2862760285,1793069.4941578317,1795044.2869831643,1792021.3431274742,1794271.2504099435,1793156.2211504828,1793496.2220123992,1799080.0626990914,1795056.529065782,1792614.8745452785,1792306.4914641925,1793880.784562306,1791563.5113074852,1794475.4861828669,1792600.9626437845,1794943.3045178908,1793411.9644697802,1792004.565950066,1794710.9972498287,1795699.3214447992,1794002.912253597,1793911.8301021575,1793204.1617686953,1796212.0251064545,1796075.6116913587,1791761.4403842604,1791536.6281701573,1793147.3029293562,1794157.3754053286,1795979.1754893095,1793354.2441254198,1793076.5520252783,1793944.3499733403,1792394.9307634637,1798884.7507953146,1794704.5809223163,1793473.1074511623,1792420.8219896464,1794273.5694684326,1793329.1953882503,1793503.333201164,1796876.914850175,1793057.6394594482,1794781.625293707,1792833.1217446404,1794846.5403361164,1797639.7075297488,1791611.69088816,1792642.808739404,1793566.5615624974,1799084.2576914874,1791692.5643289546,1794737.1594372713,1793597.379476234,1793452.9411071439,1793441.5945893135,1798164.275698481,1798739.614081656,1795047.517973719,1795734.7904171366,1799131.312379144,1791935.5578558177,1793430.6800098375,1791914.9872360406,1793700.0285501534,1793489.2891364666,1794411.0345274035,1792693.0477672678,1792156.5658396482,1792696.523965256,1794405.7937447599,1791718.830352545,1793845.8832963428,1793012.179653742,1795002.190981535,1796158.5559436034,1794022.1141172738,1792829.5416635599,1794090.98102626,1794587.2010408721,1796008.1544374453,1791919.36776056,1796403.6507421613,1791852.7948252794,1797290.029524157,1796877.4033616935,1793263.027489101,1795995.8797206155,1795936.8745803582,1792814.0473064075,1793265.6996684351,1791889.041656925,1796033.615283593,1795257.133708379
2000000.0,1990866.3216941846,1992024.4500688217,1990925.2007234253,1992218.2235296695,1992108.747071589,1991135.0148493606,1992590.1297396687,1991043.8859489786,1992143.789815365,1990606.341394966,1991631.5734414672,1991283.208496371,1991304.1817117115,1994142.200315058,1992025.3522805972,1990832.053376108,1990739.723370618,1991646.6709030746,1990349.855717527,1991718.09219721,1990850.2494271947,1992012.9708987272,1991278.6923189706,1990550.2932706005,1991865.217935447,1992382.1929527002,1991633.6538783,1991441.3988734016,1991103.003317367,1992791.5728474285,1992760.891718774,1990514.39788466,1990381.1000173292,1991229.1528349759,1991606.2426961965,1992594.2836170166,1991522.5188591548,1991040.4610001354,1991462.763482398,1990748.8066220242,1993846.4396843596,1991828.1179591487,1991257.652527742,1990771.8213380554,1991593.7890737508,1991162.5102031084,1991284.545524773,1992893.2231099417,1991024.6015001296,1992035.2708385228,1991152.2474708364,1992004.6527251652,1993347.5317440736,1990367.0986396421,1990968.2201184172,1991291.1191514996,1994191.1876906785,1990395.3177059798,1991879.976008183,1991315.6065460576,1991266.7625068983,1991230.4324534442,1993633.7075501839,1993823.171317409,1992343.4484115841,1992395.5263885902,1994007.8548242273,1990550.551094457,1991370.8979710394,1990500.3448179814,1991478.051818995,1991230.2985143047,1991799.0836310186,1990905.9613281116,1990625.0782057268,1990852.9198705116,1991685.7290843185,1990408.750817452,1991416.413081694,1991136.9232240836,1992130.1399330774,1992544.3983029788,1991506.9747387914,1990938.2403153484,1991546.1066180298,1991939.7718120045,1992551.1637249135,1990508.2456660126,1992965.6327966852,1990536.8629541527,1993136.3196753033,1992907.9789716753,1991180.1398451906,1992497.323396326,1992686.2097092003,1991040.2531868073,1991231.4726506788,1990525.1623689863,1992548.6091934973,1992270.0525086436
