Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
200000.0,199955.73695727726,199973.27298585535,199753.68895528224,199953.01160821636,199578.06489639604,199873.0710414664,199862.8579962473,199924.28392126298,199746.20342471334,199871.58894352202,199815.92129423158,199703.2165727307,199907.40807315407,199859.09892301788,199795.23907851585,199907.85537560264,199401.77191767137,199977.07274024707,199888.74561282265,199878.7646984137,199802.43426066745,199916.10540782285,199991.39527961548,199621.3204102829,199571.64709595934,199814.30502794063,199955.10844843535,199903.48747187064,199923.52882210433,199961.99548202637,199905.3535044755,199920.20239972626,199723.71762443395,199537.2066513866,199760.7100431493,199726.07424334466,199976.5326195096,199993.76350496037,199060.0502060255,199906.50574679757,199856.01993502272,199990.62631340942,199307.377032437,199375.41482173555,199981.93404143094,199952.3941527841,199896.3365211104,199878.4755246868,199704.8226221903,199932.80600211906,199833.82872508504,199292.89973094902,199814.38356153748,199912.42856515315,199378.0462367747,199581.2747460972,199876.91843964107,199876.20880091487,199904.55060544345,199953.11825399275,199993.67274127918,199928.96532513117,199988.15000785387,199816.55462879708,199829.38880415828,199943.47100516164,199712.35346005968,199591.35109012533,199469.653665762,199979.47454103123,199680.7962067799,199702.82264687205,199847.82106261223,199947.26055633102,199948.81426927773,199986.63427441876,199947.5324998633,199871.7114886601,199936.80752540744,199773.05603537042,199739.76336403415,199733.32791052456,199822.22352501735,199868.47864007554,199981.83374868735,199832.79380407854,199644.4883103766,199936.8911753949,199875.68647594596,199573.42727356328,199780.87969598273,199692.87967732272,199965.9609538197,199631.8765761608,199828.83643271885,199297.62477229495,199608.500965627,199815.8465552274,199918.58328150702,199812.2802422174
400000.0,399950.14984426607,399955.65726709255,399585.92951412493,399917.5589171757,399116.653016306,399875.58614887623,399722.2252464788,399827.0188485878,399730.41864607664,399796.3476743119,399576.91599382076,399621.7829373747,399792.02665591316,399684.0313301704,399686.09501550207,399827.39308414224,399209.3896944227,399960.93085122894,399874.6319353405,399884.68279033946,399761.39784771064,399862.0185226182,399981.43537267705,399435.0537057332,399213.20301920664,399761.3064082648,399910.2854750011,399837.00107824075,399869.6396536061,399948.4958637803,399824.7492560791,399824.1390872214,399543.84089924867,399005.0087213908,399453.8089704944,399518.03949789435,399947.3836249042,399992.8812560509,398383.9888999917,399804.5452315552,399734.08561971487,399984.87373579066,399370.55976807285,398883.09922025085,399970.50407924736,399935.4528774573,399761.8316096297,399724.52012532344,399704.29418041516,399940.2227899733,399618.4086596585,398986.97362264805,399733.42625440843,399895.64700825437,398608.9870183331,399337.1709857716,399751.915358282,399890.3034210291,399781.23939210793,399930.65602756856,399985.78583957884,399887.1595889541,399975.30830646283,399592.46368906024,399746.338955141,399936.6038191961,399373.5956657464,399323.13483197236,398922.9129069791,399980.4798291999,399612.74866534694,399736.2394758555,399863.38142699323,399904.4795756353,399941.4038079159,399980.79330527416,399914.173087004,399777.38680479204,399857.9964010087,399554.2839459949,399495.0018084571,399404.98496152594,399695.318382721,399881.70379826805,399973.8795959825,399615.6875431221,399312.1906731506,399942.6740963972,399819.1725265051,399384.4282072508,399539.2751200881,399482.1336537348,399945.2952989279,399191.8363524154,399647.8352785258,398667.0591858698,399099.9130038744,399764.9452388847,399844.84943968203,399663.5721962356
600000.0,599997.2531162087,599925.641369296,599699.2951057577,599932.871579896,598467.9612194941,599909.8993997216,599515.7520282795,599721.2678175459,600011.1384165826,599664.1549290922,599340.7910990433,599913.1487136432,599653.8408383315,599472.7944879126,599825.748846812,599837.6380692815,599771.8636703723,599970.0711124033,599857.8644032642,600014.1363440542,599965.6937987702,599905.0387588241,599968.4705865657,599715.2767481959,598635.3421439959,599667.1517303989,599903.0615906797,599879.7731134275,599778.4579656568,599924.4366635496,599839.2807947258,599702.0681797615,599684.3900569737,598289.159135759,599198.738510797,599607.874261616,599912.620078406,599992.5551328249,598761.5222428793,599769.0013445675,599757.8106197471,599989.5778270072,600072.5407522762,598074.1324151759,599979.625464848,599977.6558805954,599628.5305820089,599547.4470512468,600030.6689223753,599995.1949869543,599419.3850344295,599565.2521576633,599883.3000276408,599869.1338981374,598088.8736442291,599594.1684190886,599728.139791734,599985.9571279539,599671.4381777319,599965.4427875872,599979.4388206996,599929.5282117529,599970.5514253911,599449.5303211609,599597.0688997243,599929.2336841136,599193.1524187386,599528.155329869,598802.9562341054,600000.5777437219,599942.3347772832,600009.278506629,600009.7953603651,599916.3645837142,599931.8478527673,599970.6555195079,599856.590090211,599824.4836754362,599763.9482077163,599537.4520702849,599118.5675203573,599001.3999264151,599480.8833529202,599964.9755541533,599959.8984067261,599405.9472345365,598799.6509920015,599980.6329979198,599717.1925782547,599726.8114457311,599449.6351439066,599122.6147523773,599909.4679058004,598625.7257350609,599597.6732608565,598714.9627464665,598606.8805728671,599944.955044394,599848.5272538143,599713.9070790174
800000.0,800060.0764388165,799881.6447354577,800102.112437112,800005.5066496027,797894.2240077514,799838.2875878336,799314.3872851706,799677.4966179777,800351.7735763746,799453.9437365496,799283.9285475772,800399.7161792641,799573.1476867275,799346.8216738518,800174.1308712524,799968.551514211,800774.9878421422,800005.7470421457,799742.1962790762,800132.6735771256,800276.4693931194,800042.9889149098,799958.4808475745,800364.0886972322,797932.7084393454,799416.0321221483,799956.4046638081,800035.9233227272,799651.3554100455,799869.9540888836,799976.6124574135,799617.7155175144,800141.986621836,797718.4028555016,799220.6752368524,800038.0233479368,799892.2394780886,799987.2640990408,800286.0848964915,799861.1356202244,799968.4793881995,800003.7552334208,800594.2382281915,797038.2524743263,800008.2333989651,800056.3446354098,799595.4960160793,799456.8424329003,800380.3715467941,800016.0891841014,799395.9075100343,800779.7655103346,800199.7323977437,799765.665424374,798364.7876578944,800303.4439729858,799872.4477915105,800012.1333104782,799665.900128641,800044.1238239842,799979.93282927,800048.0201728982,799981.2278398651,799544.2669800774,799327.6541950721,799871.865646376,799398.3088192361,800205.266678028,799413.9849334143,800016.7190248683,800447.8584636811,800161.0688806089,800104.9946367028,799994.8992376205,799877.1066235421,799950.7200443904,799770.0666776003,800027.7651706956,799709.4987544583,799828.6114389962,798710.3580203513,798747.4094784309,799184.8098040108,799960.1047759112,799932.5419614579,799363.9412470162,798239.7256988985,799975.5693315053,799524.284025066,800457.8598720877,799660.2840545136,798611.1939830924,799853.8153314828,798222.1990239181,799782.396871496,799703.292796538,798505.4689862634,800246.251545,799960.0715158331,800001.5568843327
1000000.0,1000086.112020779,999853.1765838239,1000561.021056062,1000095.5334656262,997913.6421668198,999658.8860885082,999289.5938536042,999760.4925235758,1000455.1075289558,999302.4570584242,999535.3082922327,1000719.0816100276,999644.1672358911,999451.523263904,1000508.4098470329,1000156.962606133,1001490.2537799526,1000047.2654360594,999570.2220083206,1000117.427900624,1000452.2579445232,1000193.6374544215,999960.7635247972,1000955.6138414572,997632.5266846208,999135.4199780554,1000049.6045821083,1000215.3805315571,999576.846006404,999814.478348018,1000168.6941446579,999659.3308687622,1000645.6287757815,997842.144274823,999624.459089357,1000574.712577625,999909.5650762456,999978.1555354707,1002094.9479913074,1000056.2565083539,1000261.2837274321,1000018.3010833816,1000315.0837445385,996528.7843202873,1000038.730349102,1000115.2543407821,999735.5351889117,999568.573991022,1000425.6332419572,999960.3043244567,999646.4288266408,1001802.1018479484,1000468.3732050589,999630.2841989843,999556.681180955,1001024.6536007244,1000131.7713533972,999898.3873832515,999815.4705897107,1000114.353171675,999989.3463664455,1000169.2094757123,1000004.2703799587,999899.7571182182,999102.3662424338,999784.7940859487,999981.660116151,1000954.5695098793,1000543.1195403523,1000010.1217079498,1000737.9169962264,999967.0571978457,1000023.6195103246,1000099.2188658678,999798.0662401478,999932.180071391,999712.3507613805,1000274.3391955467,999758.4005036314,1000306.7227530436,998597.5634277929,998926.8217027305,999014.7080808403,999814.1924863035,999907.4075976682,999600.6189168397,998079.1251806231,999903.8947195202,999355.3080480089,1001083.564508594,1000119.5765221579,998300.4135218053,999814.6599452501,998397.8128602551,1000143.4344947601,1001171.7618798442,999060.0097831925,1000444.7240230407,1000127.9788699214,1000374.8944881145
1200000.0,1200059.0255348268,1199874.1851770047,1200793.7296241624,1200148.1598000452,1198778.904680227,1199529.7919814533,1199543.2030904565,1199954.8080796471,1200262.311064044,1199383.7256823906,1200018.6449262344,1200667.4078814916,1199872.0186348176,1199797.9035464856,1200618.4018139069,1200291.7415595055,1201461.3364218706,1200068.8881809798,1199500.9178785817,1199987.1201601345,1200381.3945967152,1200263.6498980627,1199978.2131173606,1201116.0272152536,1198201.9081297375,1199100.479645569,1200129.7444993055,1200307.8651052322,1199649.65254607,1199813.404923139,1200301.5853503095,1199845.9047515623,1200883.8730859936,1198865.7177818266,1200244.5035471662,1200892.5999638997,1199965.7125617948,1199972.9243617095,1203073.7857292988,1200248.5358721504,1200462.3949659327,1200023.7856567246,1199493.6293875321,1197272.651115655,1200051.8629648804,1200116.4553469121,1200006.3852786028,1199875.4576484796,1200152.1166480642,1199875.3533697454,1200081.909834933,1201982.1176297194,1200518.5420450028,1199590.8351902855,1201100.9030820115,1201306.7865926712,1200360.3080771514,1199741.9338955407,1200063.5509418622,1200131.4181150491,1200003.3766747818,1200217.2855233268,1200026.8830322744,1200344.3238973455,1199164.1961814053,1199748.005543327,1200646.0699398154,1201312.5622694194,1201556.4249761142,1199986.5775422498,1200628.5188470054,1199596.025094017,1199837.407498326,1200166.681810207,1199767.8405823612,1199933.6877909203,1199751.851102619,1200414.0918612413,1199913.4894658783,1200697.4752981479,1199018.6784707957,1199576.4046731377,1199190.2754406182,1199652.3827827682,1199910.1157452895,1200039.5390094747,1198649.0155389502,1199826.9039759275,1199389.1247485972,1201206.6802575001,1200580.0529626983,1198580.465135039,1199837.0155463687,1199258.5094268168,1200481.5466214435,1202254.065744476,1200094.0394819474,1200413.4861380218,1200254.0931337522,1200609.3417038268
1400000.0,1400012.5798694654,1399945.6120889192,1400711.5570729082,1400140.1968313097,1400123.1797781016,1399610.0752810629,1399976.3826301733,1400159.8455902578,1399999.644687246,1399719.8118600268,1400477.5205730668,1400376.8968093246,1400143.4881459135,1400214.6043927032,1400489.0214809899,1400306.546260938,1400901.6505195685,1400061.783428741,1399647.219216154,1399880.925603101,1400178.7878600277,1400228.7411072718,1400002.5066948808,1400849.5102510683,1399505.5525678839,1399448.2607814695,1400154.6468768644,1400277.2133868278,1399865.066263309,1399889.9127921714,1400310.8929152275,1400088.2447951147,1400773.3315365235,1400326.6047834198,1400744.2387730775,1400852.229189341,1400032.5519844128,1399977.9931262855,1402828.4130482385,1400334.4601597476,1400474.892616238,1400018.5783166073,1398995.8534522962,1399140.74055658,1400043.2647261964,1400073.474809995,1400264.526137149,1400221.9934493324,1399862.6581043042,1399851.3981145788,1400468.794893343,1401417.0795727342,1400372.0182916594,1399726.3504577123,1402147.157131958,1401080.069059241,1400437.5925028408,1399710.6274731683,1400276.5225338885,1400097.0948425324,1400014.0904401417,1400179.4568806863,1400036.6192727897,1400634.8714440174,1399575.212927869,1399819.4325344148,1401028.642622879,1401152.824812379,1401916.557236831,1399970.4328803357,1400302.1871173074,1399439.9489632314,1399742.504382453,1400165.598248433,1399836.8550220886,1399961.5860165209,1399892.499200726,1400387.5422224556,1400097.5004412532,1400799.1319497144,1399833.5987488434,1400378.1947333026,1399697.7602008465,1399653.0010938542,1399949.126902338,1400446.926825964,1399763.2770686338,1399829.560895094,1399678.289911726,1400873.6867535787,1400793.285158992,1399446.3298594682,1399925.4377638712,1400397.038791131,1400616.3043062128,1402411.919431393,1401055.163562602,1400233.5071409196,1400275.0244921616,1400597.636606946
1600000.0,1599993.002607963,1600027.4427753666,1600467.0413788394,1600095.1108261812,1601187.369696077,1599883.7416251542,1600344.94601959,1600266.4356948193,1599930.9030335082,1600124.9463991686,1600675.1228204852,1600151.0704543018,1600310.362739659,1600473.6950772747,1600285.9794985452,1600228.117203054,1600408.0609252385,1600039.1589592423,1599943.8701102438,1599909.8872915206,1600051.363892455,1600144.7860391957,1600019.8352262431,1600480.40139888,1600805.4504183098,1600001.3527586435,1600125.2468336385,1600181.6637460364,1600102.4968616604,1600003.6405316154,1600227.989484515,1600252.3566872634,1600497.0829901237,1601403.8320483349,1600883.3201529905,1600590.3347071372,1600073.404015285,1599991.2247707667,1601905.463858602,1600294.0038415752,1600348.0373239575,1600009.1822239743,1599382.3014105174,1601074.8480011735,1600025.1467474988,1600032.3704943531,1600376.587640467,1600420.8578599503,1599851.2787279242,1599925.0584129712,1600612.3770405033,1600754.949202955,1600197.2937887562,1599971.6942902328,1602247.1368559876,1600660.4951463498,1600361.493636274,1599863.6636841919,1600348.7190729368,1600051.7732805838,1600016.1781033308,1600108.2477055893,1600031.1183229797,1600650.5066511005,1600111.9014676244,1599967.5086779231,1600990.1552396172,1600744.492813781,1601601.9083058292,1599978.6420868384,1600092.9072008634,1599698.380034412,1599851.1035087015,1600117.249224916,1599973.559621812,1600000.6541172122,1600055.9703724275,1600263.1396916958,1600209.9958323708,1600635.8716011203,1600581.3327412072,1600890.9471696464,1600252.9129506275,1599855.7072650276,1600003.2424620253,1600614.2458506802,1600790.4763292111,1599928.881705021,1600066.5616582553,1600470.3715896085,1600705.6850072541,1600413.567498624,1600030.742851094,1601179.704935833,1600526.9121476894,1601830.3391192735,1601449.9542806225,1600092.8118578056,1600209.12865659,1600422.6694251667
1800000.0,1800010.440558264,1800070.8238107471,1800271.8493756189,1800053.4560375176,1801444.3264361266,1800155.9490375265,1800457.9255761113,1800241.7910325925,1800081.1916932375,1800354.0406904817,1800574.6490833363,1800143.6106239618,1800307.0620166443,1800472.1801547075,1800170.8233580834,1800135.167007087,1800327.8512930477,1800020.3526888278,1800190.313041137,1800038.8947421976,1800080.2297272389,1800082.5982141846,1800021.9713866964,1800295.8615539959,1801366.7913387467,1800400.5429770553,1800076.4510889824,1800104.0919286609,1800222.6868722136,1800081.679385628,1800134.3148646806,1800266.701811382,1800289.9264742997,1801591.8061705804,1800689.7923407683,1800345.9040594187,1800072.0547438478,1800003.0713955387,1801118.8841273796,1800191.0244102264,1800206.1704559133,1800002.8307106926,1800298.5960788291,1801959.5776423188,1800012.2000560665,1800022.3472196362,1800320.8236380767,1800400.6586911548,1800094.180150988,1800036.867033983,1800501.962816181,1800493.0900251642,1800126.273954057,1800163.8009208697,1801636.5616087522,1800390.8078033542,1800226.8788727573,1800080.4339418663,1800280.1077459592,1800030.0839193845,1800010.6700871445,1800061.7402115655,1800018.1230833174,1800466.574041239,1800441.6149162657,1800091.7150467837,1800684.705069972,1800435.4725290092,1801019.2070413071,1800002.5586315645,1800134.9834529897,1800154.5668213996,1800068.1434050165,1800067.155368182,1800085.7168917796,1800025.9777837473,1800144.4916614294,1800152.3060977121,1800206.9345872079,1800392.6076337448,1800857.1299424437,1800904.5769718613,1800530.8885485204,1800106.858528849,1800038.162142166,1800515.9308473163,1801172.4730732606,1800049.751296701,1800311.5755361777,1800302.243966873,1800464.5061760475,1800910.6046342836,1800089.333998599,1801261.3379768967,1800338.223223048,1801109.445763972,1801219.5787607413,1800087.1928045282,1800124.901636048,1800248.1046554134
