Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,93462.3162497966,94537.29729156313,94146.60260226615,92074.1651912493,93758.19107202918,94233.59331303679,94241.1162349094,94446.05638846944,94341.099399221,94291.10213900016,94690.41039048224,94507.96821688459,93563.74974357184,94004.42547011112,93548.85802472848,95356.00135508885,94469.67396287221,92466.88572219909,93144.45049299423,93944.17060795867
200000.0,186417.4827593418,189056.92065481623,187904.44594872964,183274.14623897223,187331.5211645962,188126.78379625178,188368.43613365683,188520.51497528018,188768.61935769883,188279.41405062162,189016.0251792824,188726.3657031031,186950.30948169803,187665.38120115132,186741.90598481294,190586.35964988178,188926.6325362146,184633.00368038463,185875.89889478323,187605.9140221114
300000.0,278746.8356344339,283247.2145257553,281152.83430877957,273738.7734628065,280387.4659598661,281524.78965720144,282074.39656980167,282142.65877329,282914.27621275646,281785.6400557438,282943.73586498277,282499.2143281658,279798.4591186066,280793.0596809907,279329.3543941574,285536.4820373385,283049.0420148882,276066.0122819166,277929.3357907218,280738.1490384906
400000.0,370662.7913095805,376946.90161950473,374041.49627505237,364055.1157428376,372834.8497426592,374528.79402259586,375247.6781877933,375480.43375714024,376534.63963981194,374875.0180499303,376670.9922905938,375899.80172142625,371995.5973626277,373467.1232511851,371357.6805677457,380191.1693363722,376667.3565028418,366666.5516250425,369369.3413849752,373352.0409437964
500000.0,462717.5756419683,470240.6004896865,467004.4006818561,455203.99628706696,464909.8215121327,467521.5219463209,468058.4123829539,468953.9539882803,469633.7459172975,467891.865175108,470616.4150399312,469259.3744435396,463772.209899667,466071.86318386655,463220.49028622,474713.8313601643,469863.2496297618,456770.832654173,460641.60636674485,465771.8483971581
600000.0,555736.0635305885,563484.5812836873,560704.4199501721,548436.0349757549,557176.7044479394,561122.8798226189,560967.0038227779,563175.9997078038,562513.1082910624,561423.6648297685,565353.7032630992,563129.6957726863,555707.2769361001,559256.6410088375,555626.2934921938,569435.6164305923,562997.2588804732,547149.4541559225,552537.0209596889,558611.2261311271
700000.0,650685.7885188982,657263.8899433318,655920.7571510196,645073.1796376016,650455.2546693214,656087.2860631106,654663.2568795352,658840.6926035214,655745.488620629,656205.8352578991,661499.8154078076,658189.8172299019,648657.2129898854,653834.1344770354,649498.1646073393,664798.634172934,656666.3288751976,638926.1719771642,646085.7711896108,652683.3336729811
800000.0,748484.0488467214,752292.6163478944,753386.2911958253,746200.7465248842,745686.6716926149,753151.0740693393,749948.182051502,756569.4148903906,750084.8516431005,752976.3908038689,759568.344712963,755106.9515221857,743621.5010908575,750624.0724755806,745811.9423999581,761263.4617608538,751603.3385048017,733428.8223680463,742385.2607602933,748854.0792963409
900000.0,849738.7107309656,849267.1833224434,853582.6987702068,852233.6274251638,843738.705111475,852837.2709214762,847565.0253149793,856727.2911466951,846323.6417815879,852287.6076530515,859806.2323713588,854361.4486719338,841543.3282866724,850245.6159977082,845367.5865303887,859194.0370663101,848528.2650091191,831950.2405426503,842347.7481366954,847840.0069131086
