Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,98685.18943909953,97894.32193519492,84152.1458507398,87174.84383235053,91057.02734654072,64644.70858166536,92859.16054941448,93318.34514304387,80011.21440042178,93430.864572111,92737.952027519,95978.08442757136,83612.15822545697,94717.47033548867,94929.78765492141,95121.43471679432,95924.72725001507,88267.00890985613,87501.29686296523,92807.40997603242,83859.52576828242,98191.99422865457,96294.09318356363,95797.00807728004,96522.60335980801,89020.77804978582,70837.56036448569,90553.14358584813,94760.71750949488,85147.13967767586,96265.2112348932,85465.41061275286,94854.40317545133,80398.265348872,89809.64028785261,99954.88998494548,97884.47964949744,91853.71686090414,99693.11626837113,96154.51306312287,95670.2676830205,98781.30207389162,88371.12199268922,94778.89794133537,80638.31524201199,95728.7549219878,98353.31547943027,97196.20959641613,79541.66645706787,97455.1496938149
200000.0,197223.1009465646,195503.68496905925,173292.71961610796,173009.63580893906,180806.64408768047,125250.56021346686,185423.3989863133,189202.2404673452,166726.68899666154,189312.79493991027,185536.25144994503,193333.38329139308,169176.02204482415,189511.81947843955,191823.89674437104,189429.02243826407,193273.45020745645,177290.35190954438,172706.7253278876,186079.24585773077,171231.13268376628,196213.96909677066,193172.0481051185,191252.73156680094,193034.97755082106,176202.0955131777,136404.23026364492,182408.8029260324,191522.82551223558,167731.8904088136,193082.8278953967,176198.70753835715,191713.8521129016,159867.93538054678,177732.2931817179,199911.35236374493,196286.95189457067,182272.90153547435,199366.68122215886,193696.94547702104,190861.0960186724,197447.1062762815,179378.3431035573,191029.68220754934,158182.89687444564,190828.8974783223,197259.85313623887,195106.4240083585,157172.5896647542,194576.95750300796
300000.0,295519.2595545895,292727.0748503982,269901.35829892487,259857.97790000663,268958.11201912013,185581.4321681871,276903.8886939932,287718.97275844467,262304.48786305625,288267.5500252573,280186.7410103049,292677.94027171284,260598.6395641668,285717.6333892997,290683.9871104105,283620.2424072016,292631.4674726311,265504.98919687746,256557.8488514591,281646.3535631386,265680.37083766324,294468.8459285439,290045.7942754828,287305.1253551353,289074.23691883154,261517.88349064274,197658.81483975172,274203.9593415819,290697.8399153352,249293.2587074877,289859.55472625425,272991.18053605343,290685.1365021552,242235.58088298715,264494.5850517434,299881.35073589924,295686.83092983585,272192.6917658689,298987.2852043074,293121.18489177624,285268.2317882896,295892.2376929954,271554.78803146683,288098.8204553643,234793.0980095313,286035.1245690664,296547.63437860017,293326.47365779104,236320.56184214453,291858.0929523417
400000.0,393615.3762030603,389686.3697551353,374657.8432060796,350787.6193692411,355973.96155639016,251153.0725248429,366992.238832126,387986.4291731495,366482.98531777743,389923.32631105604,378502.18479822826,394027.7035675715,361715.7838478621,384630.0526832221,390793.5445443181,378771.3149798468,393972.46691575344,351663.4794192704,340918.83922279556,381186.2220001504,369878.1448323912,393421.5360721367,386329.0943090461,385030.3250319042,384401.35325544287,345819.0092334117,256446.13795970075,364600.2148554515,391891.7075892153,332360.2358088084,386019.97253239946,374642.0565210636,391119.5769198037,332438.5831794209,351641.2023333353,399875.1267416691,396310.385293526,363191.6254025513,398550.1214629656,394331.4737724365,378989.9274234883,394132.710298124,362970.7435968279,384998.47671896545,313770.2694527435,382366.1711582177,395891.22946858814,391321.80656679475,321656.76241901034,389934.6234003427
500000.0,491708.07777876867,486737.7092037998,485358.800871821,449410.28610015736,443096.0879311278,332182.8717714414,456052.0472845481,488448.404697539,475555.97784820606,492939.0800139713,481880.7171465147,496750.1114880112,475050.3285954636,487164.9375530904,490961.0244760139,476157.87018568226,496620.5104542748,435309.571734756,428551.7967557503,485745.2323137372,484058.3393864076,493479.5518553818,481695.710458856,485399.09245929593,479145.1303947974,430824.82306562475,315663.9830831887,452822.47011121607,493986.7851116789,420523.2179259675,481261.5594994482,477980.20816927607,491819.3861328601,436651.0579450464,441459.06643526687,499898.1320289124,498047.0904828072,457339.5676374064,498088.5241488893,496636.861075495,472584.7025037883,492330.4441344219,451999.2124834063,480810.2606339819,399947.1908090676,480929.67937249393,494942.9827175468,488652.31205893634,419594.71178003156,489439.19688042905
600000.0,590120.7450655729,584416.9628527749,597042.1766604675,559286.7350499275,532300.7455271281,452360.5847227414,545149.4652518015,587471.3857279753,583339.9965203975,595447.1094719793,590709.0850983234,599736.5140754243,599383.7180200162,593475.7186133876,589972.4311167508,576993.7271255518,599441.9966826949,516970.73179442936,523150.128720995,595166.2812398905,604406.3162007348,594869.9300332526,576245.8494013911,588982.5242417001,573838.5952011843,519116.8646225481,380357.1545685087,538968.4612879175,595525.1170460522,518607.23767735093,575714.3002670837,579067.119041908,591484.4549840422,561024.689029255,536883.0939916853,599949.1793558713,600458.10588741,556949.8804977797,597671.1673984227,598960.595189876,567021.9168143871,590773.4243201601,537926.0319737934,575059.4346095269,500475.2863862452,582658.1203293452,593472.0689517035,585162.4847530029,538238.08828033,590827.6023529057
700000.0,689235.3239297897,683331.1267477795,704235.3298720801,682222.5158379717,626228.986983442,665191.7420210057,635989.4407624158,683982.2389528439,684341.0553771342,695779.4679025564,703803.7753780817,701783.5616614477,728032.4852535906,702674.1800020015,687054.6099681112,682068.4459078836,701240.7488456062,598160.1113156462,629194.2580266815,707729.5970143159,723789.8305756038,697543.0962195675,670544.3517055183,695659.2702667506,669356.9294534244,614161.0159472494,461669.64969067,624066.4522983852,695260.299902062,632431.6682885207,669972.1609437125,674978.4663894757,689208.8049311002,706359.8724904872,641216.5276456092,700020.3702588236,702895.8885574078,664076.3749491505,697387.3739345851,700219.3173354695,663548.1254926651,689816.4090214771,621172.9730826946,667917.5609961004,625130.3190120006,687983.5650700217,691463.2289280804,681075.3192302316,683578.5942015916,694209.3334707238
800000.0,789397.2412776104,784009.8851937529,803672.3853734074,815444.49806212,727995.351327542,965112.4978789992,730796.0024864081,777827.9947333097,776258.2604168566,793082.3923417915,818411.1349688077,802020.2283709098,851616.3458551144,812914.3145313356,782141.5909048053,791323.0766432716,801183.3115227013,681379.2104824467,750842.0750242006,820499.18852355,835636.9454452542,801142.0990559089,765548.1681264429,804465.4372891381,766776.5443625755,720145.9457319083,592787.0557269243,710015.2285301128,792602.6279564911,766526.0442684059,765015.8440147573,764833.9408535106,784794.0022129971,860568.8724220884,757221.506441022,800098.8593344039,804704.4614689405,779566.4250401757,797324.2265248422,799705.3582494492,763467.5772248252,789794.1758347498,703236.9403172657,760210.7964554584,781648.2035856947,796529.2108866341,789146.501196131,776976.8218824023,848257.8599176856,799238.0914675518
900000.0,890811.653501192,886737.9105425767,895146.6460678814,950570.749785425,840538.2063130494,1175588.5411431089,832067.7806588489,869780.9694331916,859960.0288845744,887530.6707550625,931148.7443747212,900180.5408138986,963888.4843570672,921970.6902433515,875887.904802423,903557.5305382536,899057.2015550691,770258.0659856923,888606.4308577569,930453.5401198588,937224.3675247205,905067.0036327414,862452.0402024597,913762.2361827064,867158.7276250292,840942.7763621385,880857.6690344521,799535.4352700431,887774.4511678094,917923.5652976629,862054.6929196204,849675.4847458352,878793.3890854606,1003869.9865746456,885090.9980329019,900169.9890105949,905423.0964216228,901853.7350473028,897541.421560818,897303.0126598702,867808.1178182592,890924.2160823779,786594.1607318881,853298.6557856373,959770.200173685,907002.5336460852,886956.2196125655,873712.0733450339,1007615.2182760505,905132.8343911876
