Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,99965.60118585924,99979.51367588477,99994.984120465,99905.58805953126,99929.96965962632,99966.2172013734,99938.10464349967,99999.51962025507,99998.71407978922,99994.93659396537,99993.48766295056,99981.80985350383,99958.21366539077,99927.57118103496,99986.21166910462,99986.7369557897,99860.041056268,99918.33231507383,99850.53536519824,99562.06270601564,99989.4507513339,99991.15142018981,100000.1895393414,99395.27764297064,99983.08038857565,99788.97592156213,99912.41926325961,99999.48322438431,99999.14561600424,99671.27607161405,99913.46047492816,99775.77899794486,99946.3742143048,99953.13358884363,99969.46058760486,99858.10878770027,99944.59985857613,99987.44932070824,100028.45465928467,100011.80815066224,99983.22176126664,99979.5899978062,99944.00979140527,99999.60560294935,99983.85631092962,99481.35186740773,100002.24320704312,99793.39786844779,99871.52813756019,100000.61589073364,100562.86607739252,99870.84776608858
200000.0,199920.33490167686,200015.45733861,200007.4619039751,199784.4950797469,199895.3904199053,200021.84650731308,199856.07296572946,199999.5802438272,200011.33522933247,199989.13143787973,199984.9577933885,200066.3030262465,199934.0063859969,199893.64181945557,200203.42758141528,199970.96554052038,199773.05759891163,199813.0762352913,199708.9362954446,199045.1546014123,199975.9912936482,200055.1523189327,200003.67270596727,198657.78842323387,200021.28479713984,199552.45116942888,199836.8589836117,200001.01825616122,200003.2563295629,199258.40702044067,199800.76530269987,199491.49936820896,199894.72507127735,199918.3244857399,199956.05777629762,199672.8059619045,199879.02037426984,199973.35559397112,200245.05500671614,200195.76039280216,199962.01829217593,200038.60887826863,199909.39141522968,199999.16757115503,199963.04885760343,198941.3865965216,200048.44206006415,199602.5413931817,199749.16201017686,200036.7385209485,200953.4661483645,199885.17721981823
300000.0,299861.1389311168,300106.8730656699,300036.1762581344,299628.6079301627,299912.86990222364,300165.8961032399,299747.37283994193,299999.59477284324,300035.5074467042,299983.18691645924,299974.4221465568,300242.2430604557,299937.2784960634,299915.6644145729,300608.89599488536,299942.25846391,299772.31926895445,299676.85638172925,299604.79432116594,298492.37673442706,299958.3325517206,300181.74498393835,300007.58578075,297824.5198852761,300112.5583059729,299318.39457770373,299792.0216963432,300001.8172781725,300006.8250160281,298765.3226577929,299624.63924460014,299149.56658534874,299855.3521046523,299906.2992432873,299967.12591022573,299419.2850039792,299808.0023717471,299959.4634555064,300548.37979459984,300496.118397337,299926.1625670838,300171.0970372181,299909.4780893157,299998.6582233327,299928.9196539837,298468.0494804764,300126.4592225405,299469.5075859662,299658.0732247948,300098.6559125419,301100.226238056,300074.20994396217
400000.0,399790.52218431287,400238.7526677946,400075.6408290414,399444.5385900487,399990.2613739064,400375.01972914225,399615.94000303326,399998.9768975845,400065.4648605728,399978.0641086911,399962.7923186394,400473.2921179911,399973.79383458226,400001.52316394384,401104.6148750072,399893.6550359044,399878.9083214087,399515.30088705313,399569.0147639643,397986.86405441037,399936.9259386404,400342.8068258796,400008.60136453534,396998.0203377159,400240.9490157385,399129.47618591203,399795.1268944775,399999.0016977408,400004.148151778,398237.72116843326,399367.518095675,398781.76636507077,399839.3324194204,399925.2713854746,400005.70741549646,399098.3155195626,399741.64496863063,399948.3201348936,400802.7533550824,400819.20014527615,399869.602068356,400351.6591185016,399952.6389897135,399998.0642062756,399876.70019635174,398170.2956231675,400214.0918753632,399436.63409649633,399624.8364358404,400168.798688309,400979.03295519936,400445.26229261915
500000.0,499717.1505334514,500385.20357799064,500117.41184493725,499255.0407935986,500123.661770985,500608.38889102463,499477.4514414515,499997.3352671318,500093.4698819,499974.8989921093,499951.8205253402,500706.6717131771,500043.1790451845,500146.2898289161,501562.4290470165,499824.7916280414,500094.5831929764,499348.310014282,499625.6324372929,497636.6152577063,499914.20322011464,500499.2316673913,500003.99940721114,496331.39697457396,500380.0495525261,499033.9627811617,499857.0037230516,499990.59236034687,499991.2281516706,497759.335281213,499041.815541854,498446.57914096,499855.5968382112,499978.3645653694,500069.2233589312,498741.89529460843,499693.5686403101,499942.74220622156,500879.3862790492,501059.5108093082,499793.44241423905,500541.3371770096,500039.3430273638,499997.3965481502,499808.00645631616,498152.78033727076,500285.026084819,499535.122895439,499670.41215298226,500226.4687862824,500619.470843761,500977.35488188337
600000.0,599654.5725924122,600515.7296415268,600152.2039199622,599095.4872155399,600297.2584021995,600817.5995521481,599357.082944809,599994.6138599106,600111.8818906031,599974.7407117563,599943.7777941893,600886.8340343696,600138.3607466492,600332.1446410684,601859.1121929991,599743.2387160441,600399.070437987,599206.963012568,599784.4861366921,597549.8914137727,599894.2083240182,600611.2542274147,599992.6232914604,595996.5719859045,600499.5151534394,599073.6487714174,599978.3624579157,599976.2947791105,599967.244611662,597436.1989157839,598691.7572474444,598218.031571651,599908.241120349,600062.1543716664,600149.5513527015,598409.7190792849,599677.7421245233,599945.1296108675,600696.8564751529,601130.3905924171,599706.9586254442,600697.4714709208,600161.0820218945,599996.6952947782,599731.5650710461,598487.7848536143,600316.235096023,599775.2457747271,599803.7907752193,600253.6113266664,600099.0379780508,601622.5658839408
700000.0,699618.3219734239,700602.9630477339,700172.2852294993,699006.1174864118,700486.2189826753,700958.9734999124,699284.1630757097,699991.1373167002,700115.2879777241,699978.27783216,699940.940645061,700970.34970565,700246.6729784765,700531.6697757093,701911.0381092606,699663.5563682449,700752.8537279469,699126.6903111489,700036.8513028935,697806.9122746533,699881.6953142224,700649.3464735057,699975.4337978192,696142.5557963349,700572.9148882721,699271.928164594,700148.3672420067,699957.8361440772,699935.1528303829,697372.3137574297,698385.9041221915,698168.5619005865,699994.8423381562,700166.8040242628,700234.5635442522,698177.0174486893,699704.7882341883,699956.8052443034,700248.5751398436,700990.0264362687,699626.2289119232,700784.8629177599,700301.5700437035,699996.0264816665,699661.8565345277,699191.5825868683,700294.7285170722,700140.9961643507,700018.1168176736,700240.0105325894,699527.043692388,702313.2876406382
800000.0,799622.100937178,800629.7235978033,800173.4999664697,799021.954957488,800661.9747172258,801004.8337027959,799285.0114897601,799987.5465857324,800102.0950002881,799985.6255431953,799945.0148513713,800937.7743023705,800352.4144158614,800713.7701622023,801698.103255372,799604.2156410194,801105.030289217,799138.3915620706,800355.4513811127,798434.9825857964,799880.9225969166,800602.5834583263,799955.4807244148,796853.2356044695,800584.7372286491,799625.2961771834,800346.0508137484,799938.7321221321,799901.2097207069,797642.3926216273,798201.9907904278,798350.0318537693,800106.307542467,800277.8433507095,800310.7672502417,798116.6080382679,799778.7691660125,799977.5604693764,799609.4339561934,800655.1976982844,799570.6490237545,800785.1132346983,800440.0104669769,799995.4711961206,799615.943366367,800212.2780045819,800221.7116593212,800591.0219554561,800290.5393240525,800186.4349093605,799021.9847222405,802973.9926548686
900000.0,899674.036976691,900593.4537593345,900156.3636182513,899163.002979722,900798.5524948098,900950.6105909862,899375.7994413795,899984.6410335411,900075.1228498939,899996.2338521646,899956.648294889,900799.1515567356,900440.227699519,900850.6978408805,901270.2587594859,899583.1322156894,901404.3161916636,899259.8083630309,900699.1302476577,899394.1959237392,899894.4671026029,900482.0976039247,899937.2725625733,898115.7440069767,900534.5879952447,900100.9000631667,900544.3411164377,899923.5201315656,899873.5267968541,898268.5735194241,898207.7051069273,898777.7874822385,900228.3795645433,900379.1827500922,900366.370350308,898279.5759176933,899895.3677599655,900005.5390583308,898920.3423054423,900199.0628548879,899558.1820366323,900701.5397584025,900555.6290150812,899995.1087094072,899609.2654234512,901433.9875428156,900112.9405345535,901066.0263605585,900586.0662735169,900104.8306933324,898687.2588633205,903534.8289954374
