Iref,0 Ex,0 Ey,1 Ex,1 Ey,2 Ex,2 Ey,3 Ex,3 Ey,4 Ex,4 Ey,5 Ex,5 Ey,6 Ex,6 Ey,7 Ex,7 Ey,8 Ex,8 Ey,9 Ex,9 Ey
0.0,(2.1826122381338546e-16-7.195632978351796e-15j),(1.0000000000027602-1.235539448529721e-13j),(4.531815356374841e-15-8.759703032379385e-15j),(1.0000000000027565-1.2224943279903755e-13j),(3.3316071699493668e-15-1.406600530495794e-14j),(1.0000000000027627-1.257913315611675e-13j),(1.5094180418618099e-15-1.51909734791289e-14j),(1.0000000000027667-1.2406742300186124e-13j),(6.402741169778086e-15-1.1535911115245767e-14j),(1.000000000002763-1.2394946180549482e-13j),(7.274914304980766e-15-1.8745421881405377e-14j),(1.0000000000027554-1.2348195382871907e-13j),(1.2866658245946766e-15-9.155870506205588e-15j),(1.0000000000027596-1.2582209579781178e-13j),(1.7447309089040626e-15-1.651847061912015e-14j),(1.0000000000027554-1.2554540740339348e-13j),(8.831035873485345e-15-1.5779044737485037e-14j),(1.000000000002765-1.2560612272505267e-13j),(3.971095555132249e-15-1.5504958428280702e-14j),(1.000000000002747-1.2427558981897846e-13j)
200000.0,(-0.267845982010905+0.0006746007386788724j),(0.9633877459386858+0.01192165292203745j),(-0.26794861286289556-0.009352979782245925j),(0.9633877459386816+0.00033705782823546457j),(-0.26810547785708383-8.204864677179013e-05j),(0.9633877459386883+0.0018700227220337586j),(-0.26795618116802+0.006964910519876964j),(0.963387745938692+0.005918274177352471j),(-0.26771136403837154+0.012009435219656922j),(0.9633877459386879-0.008393450086611246j),(-0.26802078382062533-0.001727089776798271j),(0.963387745938681-0.006776988639289906j),(-0.26792300104892486+0.002110620031686175j),(0.9633877459386861+0.009841837529386306j),(-0.2681070424982634-0.0008939548204867745j),(0.96338774593868-0.0013658629325748765j),(-0.2678842593555972+0.0059903646390630436j),(0.9633877459386904-0.00928386206980358j),(-0.26794672138707243+0.006936020308349642j),(0.9633877459386734+0.006363732720218149j)
400000.0,(-0.516079073712014+0.0012998061593539612j),(0.8562318980516006+0.022970348949633818j),(-0.5162768204087415-0.01802109023178039j),(0.8562318980515966+0.0006494350379524835j),(-0.5165790639656322-0.00015808731821403965j),(0.8562318980516027+0.0036031140921891336j),(-0.516291402708911+0.013419820893876997j),(0.8562318980516067+0.011403185801053248j),(-0.5158196950362363+0.023139487447837673j),(0.8562318980516025-0.016172293707019503j),(-0.5164158775881083-0.0033277122490053736j),(0.8562318980515956-0.013057735502822394j),(-0.5162274721007227+0.004066692946935822j),(0.8562318980516015+0.018963011557757734j),(-0.5165820786854408-0.0017224482324577775j),(0.8562318980515946-0.0026317111325100894j),(-0.5161528255387509+0.011542089777647363j),(0.8562318980516046-0.017887917774318866j),(-0.5162731758350959+0.01336415594351645j),(0.8562318980515902+0.01226148438908959j)
600000.0,(-0.7265225290457271+0.0018298377941247355j),(0.6863788906049492+0.032337053021467874j),(-0.7268009118514658-0.025369611333839914j),(0.6863788906049454+0.0009142582305465309j),(-0.7272264021997586-0.00022254621446567363j),(0.6863788906049509+0.005072369489784136j),(-0.7268214401215695+0.018892075388151672j),(0.686378890604954+0.016053105076705893j),(-0.7261573824153522+0.03257516598249453j),(0.6863788906049507-0.0227669286545304j),(-0.7269966727552983-0.004684660716211259j),(0.6863788906049441-0.01838233587337562j),(-0.7267314403741518+0.005724988168016145j),(0.6863788906049508+0.02669562881157447j),(-0.7272306462616066-0.002424812304795175j),(0.6863788906049428-0.003704853394040981j),(-0.7266263548691422+0.01624865497911898j),(0.6863788906049519-0.025182139234392956j),(-0.7267957808092705+0.018813711739895905j),(0.686378890604941+0.017261395188714695j)
800000.0,(-0.8837667295158309+0.002225886040264068j),(0.46626612650024657+0.03933589309953069j),(-0.884105364230371-0.03086044954388618j),(0.4662661265002433+0.0011121361157146355j),(-0.8846229448535309-0.0002707036479131916j),(0.466266126500248+0.006170203554962281j),(-0.8841303349473658+0.02298097257412232j),(0.4662661265002503+0.019527544113894707j),(-0.8833225524314855+0.03962554961434993j),(0.4662661265002478-0.027694465826091464j),(-0.8843434942142184-0.005698571576186371j),(0.466266126500242-0.022360898387207555j),(-0.8840208563376586+0.0069640795537571215j),(0.4662661265002491+0.032473472399833565j),(-0.8846281075095854-0.0029496150541228187j),(0.4662661265002412-0.004506709302949465j),(-0.8838930266790498+0.019765426039249048j),(0.4662661265002485-0.030632410537689704j),(-0.8840991220878094+0.022885648371057034j),(0.4662661265002413+0.02099734925868162j)
1000000.0,(-0.9762975458746286+0.0024589518974095616j),(0.21201125464122586+0.043454382804670816j),(-0.9766716364456676-0.03409153949776581j),(0.2120112546412232+0.001228579424234823j),(-0.97724340751165-0.0002990318633400296j),(0.2120112546412271+0.006816228073673656j),(-0.9766992206994765+0.025387106415355083j),(0.21201125464122847+0.02157208898291689j),(-0.9758068627588663+0.043774378913647355j),(0.21201125464122703-0.030594088540258753j),(-0.9769346983727296-0.0062952002523695965j),(0.21201125464122214-0.02470209463490492j),(-0.9765782798571556+0.007693236691759842j),(0.21201125464122933+0.03587346276323575j),(-0.977249110756439-0.003258426603207557j),(0.21201125464122172-0.004978563246284137j),(-0.9764370662547195+0.021834890578341575j),(0.21201125464122625-0.033839638111320805j),(-0.976664739839772+0.025281801730008734j),(0.21201125464122395+0.02319578334879103j)
1200000.0,(-0.9973394545718345+0.0025119703476173447j),(-0.05776803705497971+0.04439094797594973j),(-0.9977216087607633-0.03482628510761498j),(-0.0577680370549817+0.00125506187404922j),(-0.9983057023296854-0.0003054554136603456j),(-0.057768037054978065+0.006963138365400266j),(-0.9977497861949864+0.025934290069681863j),(-0.05776803705497781+0.02203702904933283j),(-0.9968381951967986+0.04471785901535072j),(-0.05776803705497814-0.031253473162857114j),(-0.9979903398369592-0.0064308577740412876j),(-0.05776803705498188-0.025234491539752733j),(-0.9976262390831556+0.007859068530634982j),(-0.057768037054974915+0.03664663746504918j),(-0.9983115285784496-0.0033286332473783085j),(-0.05776803705498148-0.005085863832456547j),(-0.9974819817747129+0.02230551420094668j),(-0.05776803705497954-0.03456897415173346j),(-0.9977145621799738+0.025826715791647577j),(-0.05776803705497754+0.023695718353608203j)
1400000.0,(-0.9453516721822062+0.0023810598992302003j),(-0.32331729265586695+0.04207700929039353j),(-0.9457139073330287-0.033010884229479426j),(-0.32331729265586756+0.001189644501175864j),(-0.9462675531287744-0.0002895031673806497j),(-0.32331729265586634+0.00660017714575045j),(-0.9457406141062714+0.024582457051464286j),(-0.32331729265586695+0.02088831946255765j),(-0.9448765407435313+0.04238690481705779j),(-0.32331729265586573-0.02962433640305537j),(-0.9459686296259079-0.006095609913872156j),(-0.3233172926558695-0.0239191044609368j),(-0.9456235075417936+0.007449432880014578j),(-0.3233172926558617+0.03473638134397592j),(-0.946273075793896-0.00315509336592428j),(-0.3233172926558682-0.004820753898986407j),(-0.9454867696393225+0.02114283649466651j),(-0.323317292655869-0.03276701324080898j),(-0.9457072261979016+0.024480490261297j),(-0.3233172926558623+0.022460546929634256j)
1600000.0,(-0.8241409785208573+0.002075806799548715j),(-0.5651917985496997+0.03668200394988533j),(-0.8244567705618217-0.028778268306740983j),(-0.5651917985496995+0.001037117638810578j),(-0.8249394278170448-0.00025234281466161336j),(-0.5651917985496989+0.005753922223285093j),(-0.8244800504936661+0.021430595072790853j),(-0.5651917985497008+0.018210074073292247j),(-0.8237267660050792+0.03695219969427437j),(-0.565191798549698-0.025825970834145447j),(-0.8246788319180024-0.005314004624565858j),(-0.5651917985497009-0.020852251824839914j),(-0.8243779596921857+0.006494325508843688j),(-0.5651917985496936+0.030282572131391745j),(-0.8249442425436861-0.0027505139224528762j),(-0.5651917985496989-0.004202645849277193j),(-0.8242587537081774+0.018431994369368286j),(-0.5651917985497026-0.02856570293160656j),(-0.8244509435057088+0.021341702246651183j),(-0.565191798549692+0.01958071405008894j)
1800000.0,(-0.6425829669645916+0.001618563105318889j),(-0.7656804129825714+0.0286009787222882j),(-0.6428291926064363-0.02243836850813029j),(-0.7656804129825704+0.0008086501486825656j),(-0.6432055186521665-0.00019669534472388853j),(-0.76568041298257+0.00448634035187412j),(-0.6428473404388231+0.01670949773339113j),(-0.7656804129825728+0.014198406236188892j),(-0.6422600036096737+0.02881169730875368j),(-0.7656804129825691-0.02013650974977016j),(-0.6430023324563016-0.004143274507432901j),(-0.7656804129825712-0.01625850225338638j),(-0.6427677410928971+0.005063683738185835j),(-0.7656804129825648+0.02361133797029851j),(-0.6432092729259766-0.0021445199843787535j),(-0.7656804129825677-0.0032768001888984783j),(-0.642674795783847+0.01437148796564288j),(-0.7656804129825746-0.022272681950357892j),(-0.6428246457164889+0.016640188014005814j),(-0.7656804129825612+0.015267094213937103j)
2000000.0,(-0.4139721336332258+0.001042810008978129j),(-0.910102455818337+0.018425662845106036j),(-0.414130763548625-0.01445542113103488j),(-0.910102455818335+0.0005209715894348415j),(-0.4143732017742335-0.00012663575846302497j),(-0.9101024558183357+0.0028902497462664684j),(-0.41414244983087845+0.010764864820797585j),(-0.910102455818339+0.009147068509132144j),(-0.4137640680234161+0.018561481697948037j),(-0.9101024558183345-0.012972560993509477j),(-0.4142423035872318-0.002669145939897222j),(-0.910102455818336-0.01047423064164509j),(-0.414091170700887+0.003262265360712866j),(-0.9101024558183302+0.015211176848835873j),(-0.4143756207331857-0.001381485398096574j),(-0.9101024558183318-0.00211101134951392j),(-0.414031291912549+0.009258645627115451j),(-0.9101024558183407-0.0143487535075148j),(-0.4141278291840273+0.010720213388674349j),(-0.9101024558183253+0.00983555026754037j)
