Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
200000.0,199682.15472259594,199719.91171134275,199598.13735285046,199684.77113773575,199701.00705107648,199544.1326570646,199701.77417090873,199666.28393128372,199735.67675742827,199711.9982912042,199727.06460035773,199787.03618564963,199546.52564290413,199769.35613940412,199546.7254784597,199662.42986097594,199633.34741842272,199697.10225040422,199659.02317411714,199643.58635138036,199477.12008327787,199617.11721662767,199781.10016789986,199663.02909007826,199666.65190118924,199678.15834185545,199533.70898592012,199703.63111354638,199663.62287210897,199517.86410069387,199656.89276850247,199715.9931989431,199618.3004003395,199599.92109255458,199653.44666038663,199748.99035458794,199487.3519621983,199694.29115188087,199605.54217305218,199530.4819464559,199633.2535858922,199616.1317811051,199710.67795944738,199600.1231889744,199766.93807975698,199617.22267967064,199567.12895747178,199692.8371089194,199565.23918034844,199559.8683000966,199645.8448841322,199512.4710055169,199726.34936459694,199656.52757669924,199815.93868060334,199664.24167184878,199723.62593729785,199788.91944186614,199760.85256864232,199561.00472795375,199663.345929033,199725.34435958197,199816.70957263757,199660.08978034178,199664.77812510173,199604.04920270116,199777.0206224365,199675.4953463523,199671.82079163182,199548.6116687554,199717.62214402625,199573.65257744174,199687.29770689155,199524.1384203167,199690.757782767,199667.9451972882,199781.73433008118,199666.3093957894,199535.8704189784,199663.7569404626,199670.53901293094,199591.6939682896,199806.74261399932,199819.18028235206,199460.44374527805,199475.7403413536,199791.76122015557,199618.2342375428,199682.97334484468,199580.45136573963,199820.84127192624,199676.78224819072,199729.2740384242,199796.2506894979,199572.47197323828,199563.49547291308,199477.47797826433,199575.91845214905,199602.43352436094,199793.3544370145
400000.0,399296.77166987857,399340.5019921057,399173.9825109978,399247.9172604707,399287.8962398907,399137.02565676934,399354.5298448572,399284.84285055357,399349.2011019965,399312.27001872275,399390.7846008074,399447.42532165354,399141.4573604698,399416.2007351063,399154.6206591758,399279.4897122873,399266.4483619518,399344.8421062354,399276.6642854448,399303.5039821773,399057.6120277333,399238.21808817476,399458.6281373871,399281.715515713,399291.46320073283,399296.08302017726,399147.8138646017,399280.36189761624,399296.62830003863,399122.7451653541,399273.1300316665,399347.6768358271,399162.23066473735,399207.7792723202,399291.29651041393,399384.57792786136,399107.7428648889,399312.0242615944,399184.22237744904,399091.29105510254,399263.89681368455,399257.1247062359,399312.10719098843,399194.27133523783,399391.11896695476,399243.18409573,399117.58281883236,399339.51476243563,399173.7582104071,399225.4736720009,399211.19710061175,399119.4744746227,399390.08747714135,399228.65486516734,399482.8371606045,399279.9684802209,399336.02609833115,399447.1533174534,399374.5881272692,399138.4891116459,399288.47593615815,399373.9261025992,399497.2304830594,399278.3236559202,399286.26371929864,399201.47172350687,399464.27395707904,399294.6568286484,399284.7767249458,399153.6253013669,399318.2192847723,399204.70796378405,399359.0706544469,399104.39868109644,399311.5319809874,399283.52187156765,399462.85985817056,399208.82419798116,399159.54629688035,399288.39964688936,399285.98478472704,399245.4636195583,399442.56107530824,399420.936649924,399059.927148817,399112.27798640647,399435.680157177,399183.72238649015,399302.78160296165,399166.4341727963,399478.0368449149,399319.92576594674,399319.6330490037,399460.9936355312,399181.2002137835,399183.1264461945,399085.4255972376,399207.7148264294,399273.0231880759,399432.1342622632
600000.0,598945.5825671196,599000.8541905772,598779.2036884642,598870.6295679158,598924.9466101232,598743.9200315493,599034.5505322756,598933.01582208,599013.3456517487,598960.3071391806,599077.1809301861,599145.5053415553,598750.7418898481,599102.7184182301,598771.048651023,598927.8550804429,598915.6450662944,599019.5634187001,598921.4405395573,598975.7337414871,598641.1116852727,598878.6706220151,599165.0362603223,598932.2250022736,598947.2443236848,598944.2080022793,598766.7528759841,598915.5990771434,598956.8888679637,598727.7255241307,598921.3940755418,599015.1369807487,598761.0941382255,598836.4826100513,598946.0625951884,599059.0554092542,598722.3858117565,598964.4457409391,598798.7765556887,598676.5269839965,598913.0422504568,598910.6842236511,598965.4706444701,598814.6324040694,599069.3784335254,598887.853977984,598701.1604380747,599008.6599536618,598793.4356645183,598885.45277926,598829.9961417611,598728.6700982305,599077.5411236011,598849.6508073683,599190.4630506184,598923.0585624749,598995.8483009341,599143.2634692944,599044.4217374625,598738.1063019161,598937.4291239146,599052.2514796274,599212.0507706682,598928.2299630399,598938.0447255727,598823.6141520432,599175.0637841554,598946.2485780619,598930.7267697403,598766.2370683688,598970.4720865273,598838.5182190372,599048.1069253527,598699.6257981901,598964.0934967665,598932.0118448758,599173.112631335,598816.9427106616,598781.8864786789,598943.6972317722,598932.7096564175,598901.4640239504,599134.0780704964,599097.1289199967,598651.5365515421,598736.7172773195,599125.2317964459,598788.1867179025,598953.0632741199,598777.2647063037,599183.2910717992,598985.9300422708,598965.7123845164,599163.9483994134,598804.8593993572,598808.8556729805,598683.5091391057,598844.5199176486,598943.7526442871,599120.1432064639
800000.0,798794.5511988067,798861.433018465,798609.8930466401,798753.6169551099,798796.4965100185,798549.7268682859,798879.8338268615,798774.4735927243,798891.8454341367,798830.6329920714,798916.7123733914,799011.633368625,798557.7131006906,798969.2774016447,798570.115981335,798772.0500114982,798735.385431324,798863.1426616631,798758.0957296337,798794.8501786799,798422.6781770006,798701.5704022183,799019.2359380897,798777.7490172624,798792.6510794513,798786.627906437,798560.2116520416,798799.8095591314,798797.3996474957,798509.7653862445,798766.696201679,798871.0512619723,798631.1510639366,798658.9436010108,798768.5393683986,798921.5855662979,798496.7254240462,798815.0794099331,798642.1481872853,798494.1704456399,798736.6937115681,798725.6351836107,798843.5177294199,798643.8137379816,798956.47342255,798710.7146299154,798532.6596013475,798843.6786069423,798597.7108799424,798671.3029789893,798702.3644661371,798515.2489120999,798918.9831509328,798715.3502138845,799063.5317318257,798759.6954249836,798868.3463528327,799009.2398194196,798932.7676235727,798555.5655589472,798769.7505644237,798901.1566457838,799076.7458062506,798773.3621375257,798781.4341638825,798650.8161062555,799021.8220472327,798793.0365997051,798777.0823955069,798562.8287368627,798847.8594221331,798632.2445444514,798879.4353133988,798504.134037356,798810.1286096144,798778.8198902501,799028.5858473106,798706.0211773684,798565.7925390056,798788.4781712517,798776.5041365956,798699.7722809835,799026.6832443597,799015.1750748488,798416.5231577192,798502.4463409259,799001.8194695062,798634.1996394052,798796.4416452459,798601.8943177445,799067.1717951444,798820.7895022745,798848.0894436274,799032.0125563232,798616.3412833045,798606.1829212697,798446.7047995479,798642.7608361144,798742.1616482687,799001.9671641454
1000000.0,998922.2302733262,998990.6101532439,998771.9340304711,998972.229817058,998976.4885752299,998670.4332166206,998956.7087591101,998891.3305467162,999043.5501330852,998992.8302906497,998975.4787071749,999095.0590577334,998676.7838415287,999070.0497095586,998666.5627036996,998892.8888947513,998816.8704424854,998945.0075098476,998872.361443111,998842.1495572098,998539.2917869297,998800.567186051,999072.045065411,998897.5619923443,998904.668264444,998905.0779171628,998644.2787966762,999002.2282101169,998895.3068362038,998596.1918784819,998889.3970999529,998982.667613442,998863.9610757406,998774.1970869448,998846.28290483,999033.4388512952,998557.1743499596,998940.1587729794,998810.4944348081,998664.6263360395,998824.3390560372,998793.3364752594,999010.0701532834,998781.6039298725,999101.2445211008,998803.5586211383,998727.2305750834,998920.2586573738,998697.610759327,998684.4658185835,998909.9602690878,998602.6338688867,998979.1948305318,998909.3573111258,999144.0389387559,998876.3803220034,999016.9064378318,999095.2778691221,999091.672736789,998704.99401005,998871.2360241943,998986.1657347935,999133.8153364287,998893.430179613,998896.0842737205,998782.9523859012,999056.7263082885,998913.2808759585,998904.801893254,998660.9396284265,999015.0004619044,998695.3611289265,998921.5612367064,998639.637641093,998927.826841928,998903.5648756705,999077.8301464876,998955.2822801237,998630.113406147,998900.2127948735,998899.1064543318,998738.0499486557,999160.9562563392,999211.4364119073,998495.6048326286,998535.3939672332,999113.8934057122,998821.3045043085,998913.2778971007,998746.3277484911,999167.982410425,998901.6252784305,999031.9880627808,999111.4311016944,998721.7232843182,998686.5328584181,998513.7090996044,998708.5763169358,998759.4027132255,999124.4490233368
1200000.0,1199206.2423546447,1199261.458554942,1199135.5607113058,1199356.1312620314,1199313.8906298475,1199001.855767333,1199164.5171599588,1199168.1568267231,1199326.538153671,1199303.4308327134,1199162.1055218612,1199285.4710019494,1199004.000105499,1199287.57070614,1198968.4612973875,1199172.39393371,1199066.6009352633,1199163.073094051,1199151.5278138574,1199038.148698983,1198897.4855845782,1199073.9781011262,1199229.4845143452,1199173.640693909,1199168.4490174856,1199183.152382404,1198934.1194036019,1199358.632276288,1199143.1365048923,1198905.5432953557,1199170.391360879,1199231.7018201707,1199287.8054367232,1199074.1856976321,1199086.3135597978,1199274.0126556957,1198835.7554402621,1199217.779230903,1199167.0669935953,1199059.4434942289,1199078.5903425748,1199027.5856637526,1199317.3728715563,1199108.496580553,1199361.810218186,1199067.1934460164,1199141.799299672,1199141.423831812,1198997.8830904737,1198871.7825728983,1199290.4055742775,1198907.248365065,1199165.555490381,1199276.9749738488,1199320.606508916,1199159.4382452948,1199302.8368659113,1199290.0584260616,1199373.1342852516,1199066.4262373513,1199135.8395119256,1199202.0925385475,1199284.0896320825,1199170.444679002,1199166.7840191121,1199103.4886468668,1199195.5542102794,1199188.34439845,1199192.392512997,1198968.895669161,1199324.1122156833,1198951.4000224741,1199092.7132698563,1198996.4906019082,1199199.831940043,1199185.7955070497,1199227.8853082843,1199380.0727976812,1198901.6222075832,1199164.384896745,1199181.9658263691,1198948.1618905133,1199397.5299880537,1199513.5193517646,1198816.8652451052,1198782.1570333124,1199336.155932906,1199204.3108377014,1199187.4818883997,1199090.0204068073,1199362.676658113,1199129.8045824256,1199361.2378891327,1199292.8834919585,1199020.8984210903,1198965.1182018523,1198818.2180233323,1198962.7069592287,1198935.850102085,1199356.4004763174
1400000.0,1399397.608170136,1399431.9631718646,1399408.541798284,1399600.5199125495,1399529.734747466,1399270.787761459,1399296.4782257862,1399360.1820793357,1399491.8444893372,1399498.2946842683,1399281.635067559,1399385.2001070962,1399268.4154760786,1399409.1758346702,1399219.3014604428,1399364.2448164113,1399255.6607237149,1399304.9365544296,1399349.696554451,1399183.659316654,1399210.8354869073,1399279.6920784095,1399312.312545082,1399361.5229931283,1399346.327475434,1399375.3396585123,1399180.2659611118,1399579.4037823824,1399312.1863936943,1399178.3345294122,1399362.5193786162,1399388.2992439969,1399576.087293443,1399302.1645491736,1399264.9172690336,1399417.9619012969,1399090.6855322751,1399402.431087277,1399423.099344969,1399369.838397919,1399267.8611391357,1399208.2912128202,1399503.0447796017,1399352.6099122392,1399501.5626230312,1399264.9148129749,1399456.0258269305,1399293.3251209552,1399242.5825539774,1399041.1209765375,1399541.023595759,1399171.933896739,1399283.19955816,1399522.6977173993,1399403.1590766828,1399360.8118012748,1399475.6115256515,1399393.4889373626,1399528.9573475705,1399349.4637521992,1399325.8531988433,1399337.5263426981,1399352.1184282599,1399359.4434783633,1399352.0986281694,1399344.1222135064,1399269.5236954303,1399374.2646040793,1399388.9847986975,1399226.9765075962,1399511.7981271434,1399169.5130730798,1399206.8490423607,1399287.539422613,1399383.8616332503,1399377.6026253484,1399303.5810653802,1399652.932441929,1399141.642222945,1399343.135677056,1399376.9008219233,1399124.3727396512,1399513.0673779715,1399661.894737605,1399115.614097718,1399019.3790357013,1399453.2095318541,1399479.7358996032,1399375.6442440886,1399352.0288727414,1399451.1204024707,1399287.6371659879,1399561.2252184257,1399383.6383007297,1399258.137360589,1399198.398336389,1399104.9613494868,1399175.069188275,1399084.4081005184,1399477.0376245463
1600000.0,1599321.2161377964,1599340.1167267677,1599370.9342540577,1599511.9671260563,1599442.049424841,1599253.6431586244,1599206.2271400914,1599290.2196795747,1599384.3368710682,1599405.6054362205,1599192.4966846174,1599268.8214703447,1599248.9594667635,1599298.6328814775,1599202.9623378504,1599291.9984409271,1599203.3189744605,1599218.890855593,1599285.497785296,1599119.5220707108,1599228.226653919,1599229.4434629618,1599200.7028918252,1599287.060330648,1599269.112895819,1599304.5745267097,1599167.689626861,1599483.1551854284,1599236.5204643626,1599183.6847081853,1599289.474932643,1599296.2904818193,1599510.5277390582,1599258.69987393,1599207.1738119877,1599316.955007149,1599098.3477671717,1599322.7239720684,1599370.0692569383,1599354.33483096,1599212.227924566,1599157.8194328046,1599401.7208754667,1599308.0354002141,1599380.1674690146,1599212.436021112,1599429.674095369,1599217.2270133628,1599219.8018974052,1599014.0082206302,1599462.808266617,1599170.8993389697,1599191.9525661818,1599448.3393292609,1599276.5007278286,1599297.516864348,1599374.9433217305,1599278.2524848073,1599411.0861343648,1599326.1466340562,1599262.9470112238,1599245.1791475778,1599227.95185217,1599285.6345450343,1599278.6511725688,1599300.206417614,1599161.468131021,1599298.1442747249,1599316.2609509921,1599214.8764024617,1599411.513925505,1599148.6194038282,1599123.241426212,1599277.9216077386,1599307.751464008,1599303.1722512136,1599188.9659260148,1599567.7397111089,1599136.023772685,1599266.697117081,1599305.816520608,1599087.5198448156,1599380.6234152585,1599519.3873462877,1599144.3316539996,1599030.4011637047,1599333.480966178,1599429.984413442,1599302.9248730594,1599316.503074635,1599317.7880149293,1599213.4229540627,1599460.444681503,1599263.2138353488,1599226.90179257,1599178.5713323944,1599131.9679955032,1599148.4774102778,1599039.721943657,1599354.2612125492
1800000.0,1799004.1863049965,1799020.884179585,1799039.1941169994,1799144.9936888153,1799095.813828063,1798946.921144676,1798915.5509375103,1798979.6873561929,1799051.8330877167,1799068.541477329,1798911.6356659697,1798972.3589120358,1798942.8716826902,1798993.2330892314,1798909.6723773982,1798979.130354822,1798913.9108955387,1798925.8607109236,1798976.9227225692,1798847.6599631833,1798928.1550844351,1798930.7468694474,1798921.1507898117,1798974.5603598102,1798960.5956094118,1798993.0463989007,1798881.7571754656,1799124.2664150556,1798935.8170043936,1798898.6600847552,1798975.5623049494,1798986.5595534467,1799137.9718178627,1798951.8856002637,1798919.1721680458,1799006.2920871123,1798828.3108129418,1799006.7705337862,1799033.4350640331,1799020.629361077,1798919.1216063446,1798876.2705309584,1799061.7447490888,1798988.814359806,1799050.460654093,1798916.8881903354,1799081.5214377658,1798927.9396160042,1798923.778122742,1798765.7123964145,1799102.7032807267,1798884.6133665657,1798910.13421288,1799095.777485158,1798980.9269195166,1798987.6815300398,1799044.62517912,1798980.438460223,1799073.9961723501,1799002.926894491,1798961.4277045494,1798949.7954306735,1798945.18038679,1798973.0678590215,1798969.0281320524,1798984.1063783006,1798891.9162292574,1798985.2022306705,1798999.5683692107,1798921.1338300814,1799071.2500060813,1798873.0926361766,1798852.153503193,1798964.0190895346,1798996.1127911366,1798987.9712937276,1798911.1519039252,1799184.6501778285,1798861.8661125207,1798958.414435266,1798992.0455812037,1798823.8492103203,1799055.8558404148,1799160.9317203925,1798866.7006904643,1798776.3424865082,1799021.345415949,1799083.4062145439,1798992.0802177845,1798994.6602910047,1799010.9306039847,1798922.0652520205,1799111.084800103,1798968.6435373765,1798926.9129166813,1798893.6773423273,1798860.7826991985,1798870.78620329,1798786.8092569576,1799036.3507114274
2000000.0,1998610.537213874,1998635.0596418974,1998602.9079363327,1998702.7381956181,1998676.5804368423,1998524.892168951,1998560.9430379607,1998589.068492199,1998661.2534088108,1998663.0269776145,1998567.4476321912,1998628.6713023146,1998523.1167717655,1998635.5256140055,1998502.144696921,1998587.379031054,1998535.2198629864,1998565.7883080537,1998584.6554876321,1998496.6379648577,1998490.053428255,1998540.169067477,1998593.4947992112,1998584.6967131977,1998577.068723689,1998601.868728592,1998479.8743553637,1998696.2727010865,1998560.0806995833,1998485.5804651184,1998583.1427496993,1998611.594858272,1998674.109274009,1998547.584563724,1998545.7394682192,1998636.2948895176,1998430.2610807347,1998616.5689235856,1998601.9119469572,1998567.1692564331,1998538.4842783574,1998505.1034256278,1998658.5604887602,1998571.2905252152,1998672.1818934942,1998531.347487147,1998619.147547256,1998565.454945275,1998517.585899327,1998415.6731602175,1998661.3472614898,1998474.4596494862,1998566.2683745353,1998660.481179771,1998645.044918603,1998593.4029367568,1998652.025222992,1998634.4745233888,1998685.0195542446,1998566.5716688759,1998576.2639895205,1998591.322477381,1998622.2229103544,1998582.68625644,1998581.7473615776,1998569.668143906,1998573.2207511137,1998595.9756383218,1998603.8393124817,1998510.2347648756,1998667.0869275765,1998488.5452883148,1998515.1887530454,1998528.8219716535,1998608.3954523979,1998595.0483592406,1998587.4484119422,1998721.839949515,1998468.380417952,1998574.6291256547,1998598.5261319755,1998463.4102691547,1998690.468580967,1998763.6530314335,1998445.8056397394,1998393.6671109763,1998662.053233446,1998638.514028793,1998602.9867113736,1998568.0821398078,1998666.5520652097,1998555.946665307,1998696.9542546722,1998629.7777879771,1998521.9944892863,1998497.931539733,1998448.2214014984,1998487.6984427695,1998443.7143044183,1998672.4772727042
